staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BT-REJ-001,BT Group,BT.A,BT Group leans on AI to transform customer service experience,BT.A_company_press_release_bt-group-leans-on-ai-to-transform-customer-service-experienc_2024-12-12.html,,press_release,company_primary,not_applicable,AI,B,5,"===== HTML DOCUMENT ===== Source file: BT.A_company_press_release_bt-group-leans-on-ai-to-transform-customer-service-experienc_2024-12-12.html Title: BT Group leans on AI to transform customer service experience Skip to main content S ||| Openreach Nations Scotland Wales Northern Ireland England Media Statements Blogs Image Library Contact BT Group Newsroom BT Group leans on AI to transform customer service experience National press office If you have a media enquiry, please contact the External Communications team at: ht ||| the External Communications team at: https://www.bt.com/media-enquiries Address 1 Braham Street London E1 8EE Share this page BT Group leans on AI to transform customer service experience Share on: X Share on: Facebook Share on: LinkedIn Customers If you are a customer, please call our cust ||| hes new service to support mission-critical communications across the UK BT newsroom 12 December 2024 | 00:01 Europe/London BT Group leans on AI to transform customer service experience Viewing Aimee on mobile phone Download Media Kit Preparing your download... Download An error occurred ||| ownload An error occurred while preparing your download BT Group has deployed Sprinklr’s unified customer experience management platform to deliver AI-enhanced customer support EE virtual assistant Aimee now handles up to 60,000 customer conversations per week, with automation success rates on seve",no,yes,webpage_boilerplate,DUPG-001,rejected,accept,"Correctly rejected as 'webpage_boilerplate' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
BT-REJ-002,BT Group,BT.A,"BT Group's Digital Unit launches 'GenAI Gateway' platform, powered by AWS, accelerating the company's safe adoption of generative AI at scale",BT.A_company_press_release_bt-group-s-digital-unit-launches-genai-gateway-platform-powe_2024-09-24.html,,press_release,company_primary,not_applicable,GenAI;generative AI,A,4,"rm-powe_2024-09-24.html Title: BT Group’s Digital Unit launches ‘GenAI Gateway’ platform, powered by AWS, accelerating the company’s safe adoption of generative AI at scale Skip to main content Skip to main content Skip to primary navigation Skip to search Skip to footer For the home For UK and global busine ||| y Contact BT Group Newsroom BT Group’s Digital Unit launches ‘GenAI Gateway’ platform, powered by AWS, accelerating the company’s safe adoption of generative AI at scale National press office If you have a media enquiry, please contact the External Communications team at: https://www.bt.com/media-enquiries ||| ondon E1 8EE Share this page BT Group’s Digital Unit launches ‘GenAI Gateway’ platform, powered by AWS, accelerating the company’s safe adoption of generative AI at scale Share on: X Share on: Facebook Share on: LinkedIn Customers If you are a customer, please call our customer service number Tеl: 0800 8 ||| ===== HTML DOCUMENT ===== Source file: BT.A_company_press_release_bt-group-s-digital-unit-launches-genai-gateway-platform-powe_2024-09-24.html Title: BT Group’s Digital Unit launches ‘GenAI Gateway’ platform, powered by AWS, accelerating the company’s sa",no,yes,webpage_boilerplate,DUPG-002,rejected,accept,"Correctly rejected as 'webpage_boilerplate' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
BT-REJ-003,BT Group,BT.A,Writing and Maintaining 2 Million Lines a Year Using Amazon Q Developer with BT Group,BT.A_partner_partner_case_study_writing-and-maintaining-2-million-lines-a-year-using-amazon.html,,partner_case_study,technology_partner,not_applicable,agentic AI,A,1,ow so we can improve the quality of the content on our pages. Yes No Create an AWS account Learn What Is AWS? What Is Cloud Computing? What Is Agentic AI? Cloud Computing Concepts Hub AWS Cloud Security What's New Blogs Press Releases Resources Getting Started Training AWS Trust Center AWS So,no,yes,webpage_boilerplate,,rejected,accept,"Correctly rejected as 'webpage_boilerplate' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
BT-REJ-004,BT Group,BT.A,BT Group plc Annual Report 2025,BT.A_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.9,AI,B,1,"Global Fabric. This world-first allows major organisations to make changes to their connectivity at lightning speed, providing people, devices and AI platforms with flexible connectivity to apps and data hosted across multiple cloud providers. These are just some of the ways that we’re bringin",no,no,vague_general_ai_reference,,rejected,accept,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
BT-REJ-005,BT Group,BT.A,BT Group plc Annual Report 2025,BT.A_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.10,AI,B,1,"migrating customers from legacy, high-cost fragmented networks and products to low-touch, automated software-driven services, powered by data and AI. During the year we migrated 1.2m customers off our legacy public switched telephone network (PSTN), with 1,200 of our people across the UK engage",no,no,vague_general_ai_reference,,rejected,accept,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
BT-REJ-006,BT Group,BT.A,BT Group plc Annual Report 2025,BT.A_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.16,AI,B,1,"equires ongoing investment in cutting edge, capital-intensive communications technology to make sure networks can support the latest innovations. AI continues to enhance efficiency, productivity and customer experience. We use it to do things like optimise our network performance, predict maint",no,no,predictive_optimisation,,rejected,accept,"Correctly rejected as 'predictive_optimisation' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
BT-REJ-007,BT Group,BT.A,BT Group plc Annual Report 2025,BT.A_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.19,automation,B,1,",000 customer conversations per week, freeing time for guides to focus on more complex issues. – ‘Service Now’ (a third-party cloud-based workflow automation platform) now supports more than 25,419 Business customers, giving then a better, more streamlined BT experience. – We’ve migrated around 98% of o",no,no,ordinary_automation,,rejected,accept,"Correctly rejected as 'ordinary_automation' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
BT-REJ-008,BT Group,BT.A,BT Group plc Annual Report 2025,BT.A_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.19,AI,B,3,"I solutions ‘in production’, 90 AI-enhanced third-party applications deployed across our digital estate, more than 48,000 employees actively using AI productivity tools. – We’ve rolled out AI Ops. Which enables technology to ‘self-heal’ when problems crop up. This year it fixed an average of 2 ||| lleagues new skills doesn’t just benefit them: it’s also crucial to our success. This year: – We’ve trained 2,500 colleagues on the fundamentals of AI, cloud and digital transformation. – Specifically, we’ve trained 1,500 more people in AI Ops, increasing automated problem fixing by 30%. – We’ve ||| 1,500 more people in AI Ops, increasing automated problem fixing by 30%. – We’ve built learning pathways in our software engineering and data and AI professions, serving more than 5,750 colleagues across the group. – We’ve helped 3,995 Digital colleagues (c. 90% of our BT staff in the unit) co",no,no,predictive_automation_network_ops,DUPG-008,rejected,accept,"Correctly rejected as 'predictive_automation_network_ops' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
BT-REJ-009,BT Group,BT.A,BT Group plc Annual Report 2025,BT.A_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.19,AI,B,2,"– We’ve streamlined customer ordering systems by giving our teams more of the information they need to deliver excellent service. – Use of our Gen-AI enabled EE virtual assistant Aimee has made it easier for customers to prepare for international travel, halving the need for online support. Aim ||| unit) complete 30,000 hours of learning from April to December. The training was on cloud computing, Microservices/Service Oriented Architecture, AI, agility and leadership. More than 100 colleagues are now certified on Amazon Web Services and Google Cloud Platform. – Building on the success of",no,no,vague_general_ai_reference,DUPG-009,rejected,accept,"Correctly excluded from operational staging: this passage's 'Gen-AI enabled EE virtual assistant Aimee... halving the need for online support' detail already corroborates the accepted BT-OP-003 (Sprinklr/Aimee) candidate rather than describing a separate use case. Classification label 'vague' understates it, but the disposition (stay out of operational as a duplicate) is correct."
BT-REJ-010,BT Group,BT.A,BT Group plc Annual Report 2025,BT.A_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.27,Copilot,A,1,ngaged with the workplace adjustment process to make sure they had the right adjustments to enable them to succeed at BT Group. We have rolled out Copilot for colleagues who can benefit from this as a workplace adjustment. We’ve also reviewed and improved our Recruitment and Onboarding processes to,no,no,insufficient_operational_detail,,rejected,accept,"Correctly rejected as 'insufficient_operational_detail' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
