staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
MKS-REJ-001,Marks & Spencer,MKS,"M&S gives every Store Manager and every Store Support Centre colleague latest AI tools with 11,000 Microsoft 365 Copilot licenses",MKS_company_press_release_n-a_2026-03-25.html,,press_release,company_primary,not_applicable,Copilot,A,1,"s_release_n-a_2026-03-25.html Title: M&S gives every Store Manager and every Store Support Centre colleague latest AI tools with 11,000 Microsoft 365 Copilot licenses | Marks & Spencer Skip to main content Open menu shop About Us Open link menu About Us Our Businesses Open link menu Our Businesses",no,yes,webpage_boilerplate,,rejected,correct,"REVIEW: this row captured only page navigation/boilerplate from the press release, not the article body. The genuine Copilot deployment content was read directly from the full extracted text and authored as MKS-OP-001. Marked 'correct' (excluded from rejected promotion) since it is not itself vague content, just boilerplate."
MKS-REJ-002,Marks & Spencer,MKS,M&S Annual Report and Financial Statements 2025,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.15,automation,B,2,"increased focus on restructuring the end-to-end operation, which includes the adoption of a new merchandise and range management system, increased automation in the logistics network to support more profitable online growth, and improving the resilience and flexibility of the supply base. Continued sim ||| proving the resilience and flexibility of the supply base. Continued simplification of store operations and the support centre plus investments in automation and efficiency provide scope for further cost savings. Building the M&S we need to be Reshaping M&S is underpinned by three programmes which aim t",no,no,ordinary_automation,DUPG-001,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
MKS-REJ-003,Marks & Spencer,MKS,M&S Annual Report and Financial Statements 2025,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.19,automation,B,1,"latform to link all buying activities from budgeting to replenishment, removing duplicative manual activities. • Investing in efficient storage and automation in the logistics network. This will increase capacity to serve online orders, improve service and reduce costs. • A focus on better in-store proce",no,no,ordinary_automation,,rejected,,
MKS-REJ-004,Marks & Spencer,MKS,M&S Annual Report and Financial Statements 2025,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.32,Gemini,A,1,"d new stores, supply chain and digital & technology. Store renewal investment was driven by flagship renewals opened in the year at Cribbs Causeway, Gemini and Tamworth. Spend on new stores was driven by the opening of two Full Line stores at Dundee, Washington Galleries and the extension of Fosse Park",no,no,vague_general_ai_reference,,rejected,,
MKS-REJ-005,Marks & Spencer,MKS,M&S Annual Report and Financial Statements 2025,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.58,AI,B,1,"ction, with multi-disciplinary specialists, 24-hour Security Operations Centre and active monitoring of our threat environment, including the use of AI. • Incident management plans. • Prioritised investment in response to the overall increase in security events. • Focused security assurance around c",no,no,vague_general_ai_reference,,rejected,,
MKS-REJ-006,Marks & Spencer,MKS,M&S Annual Report and Financial Statements 2025,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.59,artificial intelligence,B,1,"opment and skills for future success with other business priorities; • navigating a tight labour market in key areas such as technology, digital and artificial intelligence; and • adapting to changing colleague expectations and ensuring cultural alignment in areas like sustainability, diversity, and ethical values. Mit",no,no,vague_general_ai_reference,,rejected,,
MKS-REJ-007,Marks & Spencer,MKS,M&S Annual Report and Financial Statements 2025,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.64,AI,B,1,OUR BOARD Archie Norman Chairman N R Appointed: September 2017 Current appointments: • Chairman of Signal AI. • Chairman of Global Counsel. • Senior Independent Director of Bridgepoint Group plc. • Chairman of M Group. Prior experience: • Experienced Ch,no,no,vague_general_ai_reference,DUPG-003,rejected,,
MKS-REJ-008,Marks & Spencer,MKS,M&S Annual Report and Financial Statements 2025,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.71,automation,B,1,"is critical to support growth aspirations and meet our sustainability and Plan A goals. In Fashion, Home & Beauty, ensuring efficient storage and automation in the network is a focus of the ongoing end-to-end transformation programme. This will increase our capacity to serve online orders, improve ser",no,no,ordinary_automation,,rejected,,
MKS-REJ-009,Marks & Spencer,MKS,M&S Annual Report and Financial Statements 2025,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.84,AI,B,1,"tte’s: • Engagement with the RFP and audit approach tailored to M&S. • Market leading and evolving technology proposition, including investment in AI to drive efficiencies and provide management with real-time insights. • Introductions to the proposed new lead partner and refreshed team, bringin",no,no,audit_analytics,,rejected,,
MKS-REJ-010,Marks & Spencer,MKS,M&S Annual Report and Financial Statements 2025,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.191,Gemini,A,1,005 (Parman House Kingston Store) Limited 100 5502588 Marks and Spencer 2005 (Pudsey Store) Limited 100 5502544 Marks and Spencer 2005 (Warrington Gemini Store) Limited 100 5502502 Marks and Spencer Holdings Limited (iii) 100 11845975 Marks and Spencer Investments 100 4903061 Marks and Spencer Property,no,no,vague_general_ai_reference,DUPG-004,rejected,,
