company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Smiths Group,SMIN,,SMIN_company_annual_report_current_fy2025_2025-09.pdf,p.14,GenAI,A,"gives rise to a range of megatrends that impact Smiths. HOW WE ARE RESPONDING TO THESE MEGATRENDS MEGATRENDS PRIMARY MARKET FORCES TECHNOLOGY – GenAI, quantum computing and Industry 5.0 – New human/machine ecosystems – Protectionism – Security DEMOGRAPHICS – Aging populations – Increased urba",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Smiths Group,SMIN,,SMIN_company_annual_report_current_fy2025_2025-09.pdf,p.18,automation,B,"CFO REVIEW CONTINUE D Capex decreased to £80m (FY2024: £86m) and included planned investment in capacity and automation at John Crane and initiatives under the Acceleration Plan. M&A During the year, we completed the acquisitions of Modular Metal, Wattco and Duc-Pa",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_current_fy2025_2025-09.pdf,p.20,automation,B,al savings from the Acceleration Plan. This performance was in the context of higher investment to increase capacity and efficiency through higher automation and testing capabilities. The programme is substantially completed and expected to finalise in FY2026 and is key to service the current demand and,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_current_fy2025_2025-09.pdf,p.20,automation,B,"tos litigation and costs incurred in relation to the Acceleration Plan. ROCE was 25.2%, down (10)bps, reflecting the higher level of investment on automation and capacity. RD&E and new product development Cash RD&E (research, development and customer- specific engineering) expenditure was broadly flat at",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_current_fy2025_2025-09.pdf,p.23,AI,B,"ontinues to partner with companies and universities in the development of new products. For example, in May 2025 it signed a partnership with Xbat.ai to develop an innovative battery sorting solution, and since April 2024, it has been collaborating with University of Exeter to advance in the enh",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_current_fy2025_2025-09.pdf,p.23,automation,B,"stry-first innovations. As an example in FY2025, its iCMORE APIDS (Automated Prohibited Items Detection System) software solution became the first automation platform to receive regulatory approval for deployment in a live airport environment, with successful implementation at Schiphol Airport. This und",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_current_fy2025_2025-09.pdf,p.24,AI,B,"ucts. Semi-test growth reflected large programme wins from major global technology customers, particularly in test products for high-speed GPU and AI semi- conductor chips, which drove revenue growth significantly above the market. Growth in aerospace and defence was also strong, reflecting high",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_current_fy2025_2025-09.pdf,p.25,AI,B,"olio. It delivers ultra-reliable testing at the fastest speeds for some of the most complex functionality of integrated circuits of chips, used in AI, data centres, 6G communications and advanced computing applications. As integrated circuits evolve – doubling in bandwidth and computational powe",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_current_fy2025_2025-09.pdf,p.30,artificial intelligence,B,wide range of strategic and operational risk areas including: financial performance; tax and treasury; pensions and insurance; geopolitical risk; artificial intelligence and digital innovation; health and safety; acquisitions; litigation; ESG matters; strategic transformation; and our people strategy. Controls and,uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_current_fy2025_2025-09.pdf,p.30,artificial intelligence,B,"the use of certain restricted substances, IT vendor concentration, cyber threats, and the risks and opportunities associated with the adoption of artificial intelligence. The Directors consider the risk management process to be effective. 28Strategic report Governance Financial statements Going Concern and Viabil",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_current_fy2025_2025-09.pdf,p.93,automation,B,cluding fully embedding our Excellence programme in all parts of the business; higher investment to increase capacity and efficiency through higher automation and testing capabilities and the delivery of cost savings between target and maximum. The Committee determined a performance achievement at 75% of,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_current_fy2025_2025-09.pdf,p.102,automation,B,"the Communities of Practice between the John Crane and Flex-Tek businesses, which supports cross-business learning and innovation in areas such as automation, additive manufacturing, and digital technologies and the sharing of best practice and technical expertise. Looking ahead, the Committee is confid",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_previous_fy2024_2024-09.pdf,p.4,AI,B,"al uncertainty, as elections around the world play out. And we continue to see the ripples of transformatory change expand – from digitisation and AI; the accelerating response to climate change; and demographic shifts in all our markets. With that said, the Group’s ability to deliver strong rev",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_previous_fy2024_2024-09.pdf,p.5,AI,B,"merging industries like green steel, and Smiths Detection is working on projects which harness the potential of screening technology combined with AI for use in secondary mining and recycling processes. The Innovation, Sustainability & Excellence Committee has an exhilarating front row seat as t",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_previous_fy2024_2024-09.pdf,p.19,automation,B,"opportunity we can, and will, take better advantage of. For example, deep-seated manufacturing and process knowledge, aftermarket service, digital, automation and material technologies are all mutual characteristics we can better leverage to enhance how we support our customers, how we perform, and to c",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_previous_fy2024_2024-09.pdf,p.21,automation,B,"given an increase in capex to around £110m. This will be weighted towards the second half of the year, reflecting timing of machining capacity and automation investments, mainly in John Crane. FY2024 business performance Smiths delivered organic revenue growth of +5.4% in FY2024. We generated £526m of he",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_previous_fy2024_2024-09.pdf,p.24,automation,B,"to £86m (FY2023: £81m). This equates to 1.7x depreciation and amortisation (FY2023: 1.6x). A key project was investment in machining capacity and automation at John Crane, which will continue into FY2025 resulting in Group capex of around £110m for the year. We spent £64m on the acquisition of HCP in A",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_previous_fy2024_2024-09.pdf,p.29,AI,B,"t. Smiths Detection also benefits from external R&D funding, and during FY2024, was selected for EU funding as part of a consortium to develop new AI-based algorithms for automatic detection of narcotics in passenger baggage, and to develop a maritime customs border control screening system for",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_previous_fy2024_2024-09.pdf,p.33,AI,B,est sockets. It is designed for testing some of the most complex functionality of integrated circuits at the highest speeds and is used by leading AI and GPU semiconductor manufacturers. Product launches during the year included a high- density electrical connector for the medical market and a ne,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_previous_fy2024_2024-09.pdf,p.33,artificial intelligence,B,"est: test socket and probe card solutions for a broad range of chip manufacturers who require higher-performing applications (graphics processing, artificial intelligence and data communication) Fibre-optics and radio frequency (RF) components: broad range of devices, including transceivers for demanding high-reliab",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_previous_fy2024_2024-09.pdf,p.43,artificial intelligence,B,"e meetings during FY2024: organic growth and financial performance; tax, treasury, liquidity, pensions and insurance; geopolitics; cyber security, artificial intelligence and technology; health and safety; acquisitions; litigation; our people strategy; and ESG matters. In addition, a further 16 risk workshops were fa",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Smiths Group,SMIN,,SMIN_company_annual_report_previous_fy2024_2024-09.pdf,p.43,artificial intelligence,B,"y landscape for changes that could limit the use of certain restricted substances, and the risks and opportunities associated with the adoption of artificial intelligence. The Directors consider the risk management process to be effective. 41 Smiths Group plc Annual Report FY2024 Risk management continued Overview St",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
