duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Standard Chartered,STAN-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.11) of STAN_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Standard Chartered,STAN-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.18) of STAN_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Standard Chartered,STAN-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.36) of STAN_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Standard Chartered,STAN-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.38) of STAN_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Standard Chartered,STAN-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.48) of STAN_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Standard Chartered,STAN-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (p.49) of STAN_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Standard Chartered,STAN-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.55) of STAN_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Standard Chartered,STAN-REJ-023,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.166) of STAN_company_annual_report_current_fy2025_2026-02.pdf describe the same audit analytics theme and were consolidated into one row.,yes,,
DUPG-009,Standard Chartered,STAN-GOV-006,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.218) of STAN_company_annual_report_current_fy2025_2026-02.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-010,Standard Chartered,STAN-GOV-007,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.218) of STAN_company_annual_report_current_fy2025_2026-02.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-011,Standard Chartered,STAN-REJ-027,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.218) of STAN_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,Standard Chartered,STAN-REJ-030,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.451) of STAN_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,Standard Chartered,STAN-REJ-035,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.33) of STAN_company_annual_report_previous_fy2024_2025-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,Standard Chartered,STAN-GOV-008,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.34) of STAN_company_annual_report_previous_fy2024_2025-02.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-015,Standard Chartered,STAN-REJ-036,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.34) of STAN_company_annual_report_previous_fy2024_2025-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-016,Standard Chartered,STAN-REJ-037,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.38) of STAN_company_annual_report_previous_fy2024_2025-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-017,Standard Chartered,STAN-REJ-038,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.42) of STAN_company_annual_report_previous_fy2024_2025-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-018,Standard Chartered,STAN-GOV-009,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (not_applicable) of STAN_company_strategy_or_technology_webpage_n-a.html describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-019,Standard Chartered,STAN-GOV-010,governance_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (not_applicable) of STAN_company_strategy_or_technology_webpage_n-a.html describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-020,Standard Chartered,STAN-REJ-039,rejected_candidates_staging,same_source_consolidation,not_applicable,26 passages on the same page (not_applicable) of STAN_company_strategy_or_technology_webpage_n-a.html describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-021,Standard Chartered,STAN-REJ-005;STAN-REJ-031,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.89,Passages in STAN_company_annual_report_current_fy2025_2026-02.pdf and STAN_company_annual_report_previous_fy2024_2025-02.pdf are textually very similar (difflib ratio 0.89).,yes,,
DUPG-022,Standard Chartered,STAN-REJ-010;STAN-REJ-032,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.87,Passages in STAN_company_annual_report_current_fy2025_2026-02.pdf and STAN_company_annual_report_previous_fy2024_2025-02.pdf are textually very similar (difflib ratio 0.87).,yes,,
