staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
SMIN-REJ-001,Smiths Group,SMIN,Smiths Group plc Annual Report & Accounts FY2025,SMIN_company_annual_report_current_fy2025_2025-09.pdf,,annual_report_current,company_primary,p.18,automation,B,1,"CFO REVIEW CONTINUE D Capex decreased to £80m (FY2024: £86m) and included planned investment in capacity and automation at John Crane and initiatives under the Acceleration Plan. M&A During the year, we completed the acquisitions of Modular Metal, Wattco and Duc-Pa",no,no,ordinary_automation,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
SMIN-REJ-002,Smiths Group,SMIN,Smiths Group plc Annual Report & Accounts FY2025,SMIN_company_annual_report_current_fy2025_2025-09.pdf,,annual_report_current,company_primary,p.20,automation,B,2,"al savings from the Acceleration Plan. This performance was in the context of higher investment to increase capacity and efficiency through higher automation and testing capabilities. The programme is substantially completed and expected to finalise in FY2026 and is key to service the current demand and ||| tos litigation and costs incurred in relation to the Acceleration Plan. ROCE was 25.2%, down (10)bps, reflecting the higher level of investment on automation and capacity. RD&E and new product development Cash RD&E (research, development and customer- specific engineering) expenditure was broadly flat at",no,no,ordinary_automation,DUPG-001,rejected,,
SMIN-REJ-003,Smiths Group,SMIN,Smiths Group plc Annual Report & Accounts FY2025,SMIN_company_annual_report_current_fy2025_2025-09.pdf,,annual_report_current,company_primary,p.23,automation,B,1,"stry-first innovations. As an example in FY2025, its iCMORE APIDS (Automated Prohibited Items Detection System) software solution became the first automation platform to receive regulatory approval for deployment in a live airport environment, with successful implementation at Schiphol Airport. This und",no,no,ordinary_automation,,rejected,,
SMIN-REJ-004,Smiths Group,SMIN,Smiths Group plc Annual Report & Accounts FY2025,SMIN_company_annual_report_current_fy2025_2025-09.pdf,,annual_report_current,company_primary,p.23,AI,B,1,"ontinues to partner with companies and universities in the development of new products. For example, in May 2025 it signed a partnership with Xbat.ai to develop an innovative battery sorting solution, and since April 2024, it has been collaborating with University of Exeter to advance in the enh",no,no,vague_general_ai_reference,,rejected,,
SMIN-REJ-005,Smiths Group,SMIN,Smiths Group plc Annual Report & Accounts FY2025,SMIN_company_annual_report_current_fy2025_2025-09.pdf,,annual_report_current,company_primary,p.24,AI,B,1,"ucts. Semi-test growth reflected large programme wins from major global technology customers, particularly in test products for high-speed GPU and AI semi- conductor chips, which drove revenue growth significantly above the market. Growth in aerospace and defence was also strong, reflecting high",no,no,vague_general_ai_reference,,rejected,,
SMIN-REJ-006,Smiths Group,SMIN,Smiths Group plc Annual Report & Accounts FY2025,SMIN_company_annual_report_current_fy2025_2025-09.pdf,,annual_report_current,company_primary,p.25,AI,B,1,"olio. It delivers ultra-reliable testing at the fastest speeds for some of the most complex functionality of integrated circuits of chips, used in AI, data centres, 6G communications and advanced computing applications. As integrated circuits evolve – doubling in bandwidth and computational powe",no,no,vague_general_ai_reference,,rejected,,
SMIN-REJ-007,Smiths Group,SMIN,Smiths Group plc Annual Report & Accounts FY2025,SMIN_company_annual_report_current_fy2025_2025-09.pdf,,annual_report_current,company_primary,p.30,artificial intelligence,B,1,wide range of strategic and operational risk areas including: financial performance; tax and treasury; pensions and insurance; geopolitical risk; artificial intelligence and digital innovation; health and safety; acquisitions; litigation; ESG matters; strategic transformation; and our people strategy. Controls and,no,no,vague_general_ai_reference,,rejected,,
SMIN-REJ-008,Smiths Group,SMIN,Smiths Group plc Annual Report & Accounts FY2025,SMIN_company_annual_report_current_fy2025_2025-09.pdf,,annual_report_current,company_primary,p.93,automation,B,1,cluding fully embedding our Excellence programme in all parts of the business; higher investment to increase capacity and efficiency through higher automation and testing capabilities and the delivery of cost savings between target and maximum. The Committee determined a performance achievement at 75% of,no,no,ordinary_automation,,rejected,,
SMIN-REJ-009,Smiths Group,SMIN,Smiths Group plc Annual Report & Accounts FY2025,SMIN_company_annual_report_current_fy2025_2025-09.pdf,,annual_report_current,company_primary,p.102,automation,B,1,"the Communities of Practice between the John Crane and Flex-Tek businesses, which supports cross-business learning and innovation in areas such as automation, additive manufacturing, and digital technologies and the sharing of best practice and technical expertise. Looking ahead, the Committee is confid",no,no,ordinary_automation,,rejected,,
SMIN-REJ-010,Smiths Group,SMIN,Smiths Group plc Annual Report FY2024 -- Overview and Strategic Report,SMIN_company_annual_report_previous_fy2024_2024-09.pdf,,annual_report_previous,company_primary,p.4,AI,B,1,"al uncertainty, as elections around the world play out. And we continue to see the ripples of transformatory change expand – from digitisation and AI; the accelerating response to climate change; and demographic shifts in all our markets. With that said, the Group’s ability to deliver strong rev",no,no,vague_general_ai_reference,,rejected,,
