company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.9,AI,B,"Global Fabric. This world-first allows major organisations to make changes to their connectivity at lightning speed, providing people, devices and AI platforms with flexible connectivity to apps and data hosted across multiple cloud providers. These are just some of the ways that we’re bringin",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.10,AI,B,"migrating customers from legacy, high-cost fragmented networks and products to low-touch, automated software-driven services, powered by data and AI. During the year we migrated 1.2m customers off our legacy public switched telephone network (PSTN), with 1,200 of our people across the UK engage",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.16,AI,B,"equires ongoing investment in cutting edge, capital-intensive communications technology to make sure networks can support the latest innovations. AI continues to enhance efficiency, productivity and customer experience. We use it to do things like optimise our network performance, predict maint",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.19,AI,B,"Building future AI foundations: – We have more than 50 internally developed AI solutions ‘in production’, 90 AI-enhanced third-party applications deployed across ou",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.19,AI,B,"I solutions ‘in production’, 90 AI-enhanced third-party applications deployed across our digital estate, more than 48,000 employees actively using AI productivity tools. – We’ve rolled out AI Ops. Which enables technology to ‘self-heal’ when problems crop up. This year it fixed an average of 2",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.19,AI,B,"– We’ve streamlined customer ordering systems by giving our teams more of the information they need to deliver excellent service. – Use of our Gen-AI enabled EE virtual assistant Aimee has made it easier for customers to prepare for international travel, halving the need for online support. Aim",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.19,AI,B,"lleagues new skills doesn’t just benefit them: it’s also crucial to our success. This year: – We’ve trained 2,500 colleagues on the fundamentals of AI, cloud and digital transformation. – Specifically, we’ve trained 1,500 more people in AI Ops, increasing automated problem fixing by 30%. – We’ve",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.19,AI,B,"1,500 more people in AI Ops, increasing automated problem fixing by 30%. – We’ve built learning pathways in our software engineering and data and AI professions, serving more than 5,750 colleagues across the group. – We’ve helped 3,995 Digital colleagues (c. 90% of our BT staff in the unit) co",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.19,AI,B,"unit) complete 30,000 hours of learning from April to December. The training was on cloud computing, Microservices/Service Oriented Architecture, AI, agility and leadership. More than 100 colleagues are now certified on Amazon Web Services and Google Cloud Platform. – Building on the success of",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.19,AI,B,"new buildings in Dundee, Manchester and Sheffield – and a new Openreach HQ in London. 2,500 We've trained 2,500 colleagues on the fundamentals of AI, cloud and digital transformation 30,000 We've helped 3,995 Digital colleagues (c. 90% of the unit) complete 30,000 hours of learning from April",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.19,automation,B,",000 customer conversations per week, freeing time for guides to focus on more complex issues. – ‘Service Now’ (a third-party cloud-based workflow automation platform) now supports more than 25,419 Business customers, giving then a better, more streamlined BT experience. – We’ve migrated around 98% of o",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.27,Copilot,A,ngaged with the workplace adjustment process to make sure they had the right adjustments to enable them to succeed at BT Group. We have rolled out Copilot for colleagues who can benefit from this as a workplace adjustment. We’ve also reviewed and improved our Recruitment and Onboarding processes to,likely_genai,medium,"Stage A high-precision generative-AI term 'Copilot' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.31,AI,B,ucts and services are used for good. So we focus on protecting privacy and free expression and preventing online harms. This year we: – developed AI guidance for our people to help them manage AI risks and stay in line with regulation. – refreshed our Consumer Data Principles to make sure we ma,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.31,AI,B,"– attended the BSR Tech Against Trafficking Summit to understand how to use tech to fight human trafficking – focusing on supply chain data, using AI and stopping tech-facilitated trafficking. BT Group plc Annual Report 2025 29 Strategic report",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.32,AI,B,"g broadband and mobile account controls – enhanced PhoneSmart, our online learning platform – adding safety guidelines for parents on issues, like AI and recognising deepfakes. PhoneSmart has now reached over 10,400 learners, with around 3,800 licences issued to those who’ve completed all modul",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.32,AI,B,"cal tips and advice from successful entrepreneurs through our video series, on things like search engine optimisation, boosting productivity with AI and social media. India skills partnership Over six years, BT Group (working with the British Asian Trust) has empowered more than 1.2m young peop",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.40,AI,B,"uted to Government initiatives on industrial strategy, technology development and adoption, mobile markets, planning, business rates, smart data, AI opportunities, cybersecurity, international trade, economic security, fraud and copyright. – We also worked with officials and regulators to agre",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.42,AI,B,"y 2021, BT Sourced is our procurement arm. It focuses on creating more digital and sustainable procurement through cutting- edge technologies like AI and robotics. BT Sourced boosts our efficiency and productivity. It also fosters better collaboration with suppliers and partners – which delivers",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.42,AI,B,"us, our customers and the wider community. BT Sourced highlights this year: – We grew our partnership with start-up Nnamu – using its game theory AI-based agent to recommend negotiation strategies and negotiate autonomously. This is saving us time and money. – Our in-house negotiation analytics",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.42,AI,B,"recommend negotiation strategies and negotiate autonomously. This is saving us time and money. – Our in-house negotiation analytics team explored AI techniques and added new tools. Our Supplier 360 dashboard now uses machine learning and AI to analyse data and model our supply base, providing",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.55,AI,B,"driving these results – including improvements to how we engage with customers. We’re giving them more flexibility to book appointments and using AI to streamline how we manage complex issues. Of course we can still improve our operations, and we’re continuing to develop new solutions which de",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.58,artificial intelligence,B,arket share. – Increasing competitive intensity in our core markets may reduce our market share. Emerging risk: – Failure to harness potential from artificial intelligence and quantum technologies to generate greater commercial opportunities and efficiencies. Examples of what we do to manage these risks – We research,uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.59,AI,B,"orting requirements are growing fast. If we dont adapt quickly, we might fail to deliver our reporting obligations. – Malicious actors might exploit AI and machine learning technologies to commit fraud. Examples of what we do to manage these risks – We have financial and operational controls for pla",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.60,AI,B,"ct Authority’s (FCA) Consumer Duty regulation. – Our compliance programme offers guidance and training, and tests our regulatory controls. Data and AI Sponsor: Chief Security and Networks Officer Enduring risks this category covers We must follow today’s global data and AI regulations while anticip",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.60,AI,B,"icipating and preparing for tomorrow’s. That means actively managing risks like privacy, data architecture, processing and retention. Our data and AI strategy aims to deliver value and efficiency – while giving us a framework to manage risks on complying with data and AI governance and regulation",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BT Group,BT.A,,BT.A_company_annual_report_current_fy2025.pdf,p.60,AI,B,"mework to manage risks on complying with data and AI governance and regulation. Not following data protection laws or regulations – or approaching AI irresponsibly – could damage our reputation and stakeholder trust, harm colleagues, customers or suppliers and/or lead to litigation, fines and pen",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
