staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
GLEN-REJ-001,Glencore,GLEN,"Glencore 2025 Annual Report -- Energising today, Advancing tomorrow",GLEN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.7,AI,B,1,"ranges in 2025, influenced by complex global and macroeconomic factors, including evolving US trade policies, elevated geopolitical tensions and AI thematic investing and positioning. Metals were the key beneficiaries of these drivers, with copper rising from a low of c.$8,500/t amid the Libe",no,no,vague_general_ai_reference,,rejected,,
GLEN-REJ-002,Glencore,GLEN,"Glencore 2025 Annual Report -- Energising today, Advancing tomorrow",GLEN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.11,AI,B,4,"dependent upon the supply, demand and pricing for our commodities. Our market drivers Growing global population, global energy transition and rise of AI technologies impacting demand Development of further trends impacting demand • The industrialisation and urbanisation of developing economies has ||| le by 2050 • All potential decarbonisation pathways require significantly more non-fossil fuel commodities • At the same time, increasing usage of AI technologies is expected to drive significant demand for energy and other commodities needed for the build out of data centres and other infrastr ||| hilst supporting the energy needs of today Key market driver 1 • In the longer term, increasing demands related to a growing global population and AI technology usage are expected to continue driving additional demand for commodities • Technological advances are making renewable energy sources m ||| g coal are expected to become more important given their roles in the technologies and infrastructure that underpin low-carbon energy sources and AI infrastructure Link to strategy Responsible and ethical business practices Effective capital management Strong operational and commercial performa",no,no,vague_general_ai_reference,DUPG-001,rejected,,
GLEN-REJ-003,Glencore,GLEN,"Glencore 2025 Annual Report -- Energising today, Advancing tomorrow",GLEN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.12,AI,B,1,Other sources of increasing demand could contribute to a significant drive towards substitution for energy sources and the commodities needed for AI infrastructure build out • Further advancements could lead to significant technological breakthroughs that disrupt traditional commodity supply c,no,no,vague_general_ai_reference,,rejected,,
GLEN-REJ-004,Glencore,GLEN,"Glencore 2025 Annual Report -- Energising today, Advancing tomorrow",GLEN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.27,artificial intelligence,B,1,"ewable energy technologies, and the metals and minerals required to build them. Population and economic growth as well as increasing demand tied to artificial intelligence and related infrastructure are further expected to drive increasing commodity demand. Changes in commodity use from emerging technologies, adoption",no,no,vague_general_ai_reference,,rejected,,
GLEN-REJ-005,Glencore,GLEN,"Glencore 2025 Annual Report -- Energising today, Advancing tomorrow",GLEN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.28,AI,B,1,"esearch partnerships targeting emissions reduction. Risks and opportunities Development of new technologies, including in connection with the rise of AI and related infrastructure needs, and lower costs for nascent industries may either drive increased demand for our commodities or result in substit",no,no,vague_general_ai_reference,,rejected,,
GLEN-REJ-006,Glencore,GLEN,"Glencore 2025 Annual Report -- Energising today, Advancing tomorrow",GLEN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.44,AI,B,1,"in increasingly differentiated market outcomes. Metals linked to the energy transition, power-grid investment and the accelerating deployment of AI infrastructure and data centres, including copper and aluminium (average prices for both up 9% year over year), benefited from resilient structura",no,no,vague_general_ai_reference,,rejected,,
GLEN-REJ-007,Glencore,GLEN,"Glencore 2025 Annual Report -- Energising today, Advancing tomorrow",GLEN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.53,AI,B,1,"opper prices remained well supported by strong structural demand from the energy transition, power-grid investment and accelerating deployment of AI infrastructure and data centres, combined with supply disruptions at several major mines. These factors sustained prices above $10,000/t for much",no,no,vague_general_ai_reference,,rejected,,
GLEN-REJ-008,Glencore,GLEN,"Glencore 2025 Annual Report -- Energising today, Advancing tomorrow",GLEN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.78,artificial intelligence,B,1,"lting in foreign exchange (FX) exposure. Our primary FX exposure arises in our industrial assets, increases in power generation, demand linked to artificial intelligence and related infrastructure, EVs and battery production, among others, and by closely monitoring fossil fuel demand, particularly with reference t",no,no,vague_general_ai_reference,,rejected,,
GLEN-REJ-009,Glencore,GLEN,"Glencore 2025 Annual Report -- Energising today, Advancing tomorrow",GLEN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.85,AI;artificial intelligence,B,2,"and video content, increasing the potential for phishing or fraud attacks that impersonate senior executives. Given the accelerating pace at which AI is being used to create malware and deepfakes, there is a significant and growing threat to the security and authenticity of digital content, nec ||| mation or operational technology systems could cause a significant disruption to our business. Furthermore, the emergence of machine learning and artificial intelligence has led to an exponential increase in the volume and sophistication of fraud attempts. The use of ‘deepfake’ technology, powered by machine learn",no,no,vague_general_ai_reference,DUPG-002,rejected,,
GLEN-REJ-010,Glencore,GLEN,"Glencore 2025 Annual Report -- Energising today, Advancing tomorrow",GLEN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.115,AI,B,1,"leading current and growing supplier of copper and other key commodities needed for demand tied to the energy transition as well as the buildout of AI data centres and other infrastructure, while continuing to drive and develop Glencore’s cash generative bulks business and marketing capabilities.",no,no,vague_general_ai_reference,,rejected,,
