company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Glencore,GLEN,,GLEN_company_annual_report_current_fy2025_2026-02.pdf,p.7,AI,B,"ranges in 2025, influenced by complex global and macroeconomic factors, including evolving US trade policies, elevated geopolitical tensions and AI thematic investing and positioning. Metals were the key beneficiaries of these drivers, with copper rising from a low of c.$8,500/t amid the Libe",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Glencore,GLEN,,GLEN_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"dependent upon the supply, demand and pricing for our commodities. Our market drivers Growing global population, global energy transition and rise of AI technologies impacting demand Development of further trends impacting demand • The industrialisation and urbanisation of developing economies has",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Glencore,GLEN,,GLEN_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"le by 2050 • All potential decarbonisation pathways require significantly more non-fossil fuel commodities • At the same time, increasing usage of AI technologies is expected to drive significant demand for energy and other commodities needed for the build out of data centres and other infrastr",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Glencore,GLEN,,GLEN_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"hilst supporting the energy needs of today Key market driver 1 • In the longer term, increasing demands related to a growing global population and AI technology usage are expected to continue driving additional demand for commodities • Technological advances are making renewable energy sources m",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Glencore,GLEN,,GLEN_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,g coal are expected to become more important given their roles in the technologies and infrastructure that underpin low-carbon energy sources and AI infrastructure Link to strategy Responsible and ethical business practices Effective capital management Strong operational and commercial performa,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Glencore,GLEN,,GLEN_company_annual_report_current_fy2025_2026-02.pdf,p.12,AI,B,Other sources of increasing demand could contribute to a significant drive towards substitution for energy sources and the commodities needed for AI infrastructure build out • Further advancements could lead to significant technological breakthroughs that disrupt traditional commodity supply c,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Glencore,GLEN,,GLEN_company_annual_report_current_fy2025_2026-02.pdf,p.27,artificial intelligence,B,"ewable energy technologies, and the metals and minerals required to build them. Population and economic growth as well as increasing demand tied to artificial intelligence and related infrastructure are further expected to drive increasing commodity demand. Changes in commodity use from emerging technologies, adoption",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Glencore,GLEN,,GLEN_company_annual_report_current_fy2025_2026-02.pdf,p.28,AI,B,"esearch partnerships targeting emissions reduction. Risks and opportunities Development of new technologies, including in connection with the rise of AI and related infrastructure needs, and lower costs for nascent industries may either drive increased demand for our commodities or result in substit",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Glencore,GLEN,,GLEN_company_annual_report_current_fy2025_2026-02.pdf,p.44,AI,B,"in increasingly differentiated market outcomes. Metals linked to the energy transition, power-grid investment and the accelerating deployment of AI infrastructure and data centres, including copper and aluminium (average prices for both up 9% year over year), benefited from resilient structura",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Glencore,GLEN,,GLEN_company_annual_report_current_fy2025_2026-02.pdf,p.53,AI,B,"opper prices remained well supported by strong structural demand from the energy transition, power-grid investment and accelerating deployment of AI infrastructure and data centres, combined with supply disruptions at several major mines. These factors sustained prices above $10,000/t for much",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Glencore,GLEN,,GLEN_company_annual_report_current_fy2025_2026-02.pdf,p.78,artificial intelligence,B,"lting in foreign exchange (FX) exposure. Our primary FX exposure arises in our industrial assets, increases in power generation, demand linked to artificial intelligence and related infrastructure, EVs and battery production, among others, and by closely monitoring fossil fuel demand, particularly with reference t",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Glencore,GLEN,,GLEN_company_annual_report_current_fy2025_2026-02.pdf,p.85,AI,B,"and video content, increasing the potential for phishing or fraud attacks that impersonate senior executives. Given the accelerating pace at which AI is being used to create malware and deepfakes, there is a significant and growing threat to the security and authenticity of digital content, nec",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
