company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.1,AI,B,RIDING MICRO-CYCLES We explore underwriting cycles and the role of tech and AI in innovation. EXPANDING OUR HORIZONS Our European leaders talk growth in existing markets and expansion into new geographies. CHANGE CHAMPION Q&A,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.3,AI,B,r EARLY REFLECTIONS Q&A with Peter Clarke Group Chair 2-5 34-37 76-77 RIDING MICRO-CY CLES We explore underwriting cycles and the role of tech and AI in innovation. 22-25 How to navigate this report: Video content links External website links External document linksPage referrals within the report,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.6,generative AI,A,"response times around key renewal periods. In Hiscox London Market, we’ve also extended our collaboration with Google Cloud to broaden our use of generative AI in our underwriting and risk modelling, having started with one product line in 2024 – sabotage and terrorism DELIVERING OUR TRANSFORMATION AND",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.6,AI,B,"are making the process of buying insurance from us much more frictionless, whether you’re doing it directly or through a broker. For example, the AI model we’ve introduced in our UK high net worth business is helping to quickly assess broker submissions, categorising them by risk appetite, and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.7,AI,B,"business, including SME cargo and middle-market property – areas that were previously inaccessible to us because of the economics, but where our AI platform has enabled us to reduce our cost structure sufficiently. Q: How will the Group’s transformation and growth ambitions impact Hiscox’s d",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.7,AI,B,"he transformation we’re undertaking is about changing how we do things, not who we are. It means moving from manual processes to digitisation and AI, which is something we’re doing in every single part of the business. It also means encouraging even greater collaboration across business units",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.7,AI,B,"ss. Data fluency is something we are beginning to build in every Hiscox colleague. Every role, at every level, is evolving in some way because of AI and data-driven decision-making, and we want our people to be ready. One of the ways we supported colleagues with this in 2025 was by introducing",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.9,AI,B,"er a decade. Read more on pages 62 to 63. October Signed a multi-year collaboration with Google Cloud, deepening a relationship that pioneered an AI-enhanced lead underwriting solution in Hiscox London Market. Launched the Hiscox Data Navigator, creating a Group-wide repository of data and data",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.16,automation,B,igh net worth Complex and emerging risks Local reach across the USA and Western Europe Omni-channel Augm ented underwriting Digital capability and automation Retail strategy Operational excellence Entrepreneurial culture Powerful brand Retail strategy A focus on high‑quality growth in specialist market,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.17,AI,B,"surance solutions cover risks that others may not, such as the no-show of a star to a photoshoot in our media E&O policy, or offering affirmative AI cover in our tech E&O policy. We build solutions to address specific customer needs – which drives us to explore and innovate, and means we empowe",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.18,AI,B,"26, we will continue to respond to the evolving market conditions by maintaining robust underwriting standards and investing in digital, data and AI capabilities to enhance decision -making and unlock new opportunities – including through our new portfolio solutions division in Hiscox London M",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.18,artificial intelligence,B,"also developing new avenues for growth, including entry into US middle-market property, and building new operational capabilities through Hiscox Artificial Intelligence Laboratories. In Hiscox Re, we are continuing to diversify our portfolio in a transitioning market, supported by a strong pipeline of future pote",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.19,AI,B,"nt and improved service delivery. In 2026, we will consider new ways to reduce friction to the customer journey. We plan to advance our use of AI and automation in both claims and underwriting, expand our digital self-service capabilities, and embed a tailored approach for customer lifetime",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Hiscox,HSX,,HSX_company_annual_report_current_fy2025_2026-03.pdf,p.19,automation,B,"will continue to build our operational maturity by scaling our global operating model and investing in initiatives that deliver standardisation, automation and stronger cross-market coordination. We will also enhance our change management maturity, focusing on activities that create clear, measurable",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
