duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,International Airlines Group,IAG-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.46) of IAG_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,International Airlines Group,IAG-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.62) of IAG_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,International Airlines Group,IAG-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.63) of IAG_company_annual_report_current_fy2025_2025.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-004,International Airlines Group,IAG-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.63) of IAG_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,International Airlines Group,IAG-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.74) of IAG_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,International Airlines Group,IAG-REJ-014,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.80) of IAG_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,International Airlines Group,IAG-REJ-015,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.88) of IAG_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,International Airlines Group,IAG-REJ-022,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.22) of IAG_company_annual_report_previous_fy2024_2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,International Airlines Group,IAG-REJ-025,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.25) of IAG_company_annual_report_previous_fy2024_2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,International Airlines Group,IAG-REJ-029,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.81) of IAG_company_annual_report_previous_fy2024_2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,International Airlines Group,IAG-REJ-030,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.89) of IAG_company_annual_report_previous_fy2024_2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,International Airlines Group,IAG-GOV-010,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.110) of IAG_company_annual_report_previous_fy2024_2024.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-013,International Airlines Group,IAG-STR-001;IAG-STR-006,strategic_candidates_staging;strategic_candidates_staging,repeated_cross_year_disclosure,0.55,Passages in IAG_company_annual_report_current_fy2025_2025.pdf and IAG_company_annual_report_previous_fy2024_2024.pdf are textually very similar (difflib ratio 0.55).,yes,,
DUPG-014,International Airlines Group,IAG-STR-002;IAG-STR-007,strategic_candidates_staging;strategic_candidates_staging,repeated_cross_year_disclosure,0.99,Passages in IAG_company_annual_report_current_fy2025_2025.pdf and IAG_company_annual_report_previous_fy2024_2024.pdf are textually very similar (difflib ratio 0.99).,yes,,
DUPG-015,International Airlines Group,IAG-STR-004;IAG-STR-009,strategic_candidates_staging;strategic_candidates_staging,repeated_cross_year_disclosure,1.00,Passages in IAG_company_annual_report_current_fy2025_2025.pdf and IAG_company_annual_report_previous_fy2024_2024.pdf are textually very similar (difflib ratio 1.00).,yes,,
DUPG-016,International Airlines Group,IAG-GOV-003;IAG-GOV-008,governance_candidates_staging;governance_candidates_staging,repeated_cross_year_disclosure,0.85,Passages in IAG_company_annual_report_current_fy2025_2025.pdf and IAG_company_annual_report_previous_fy2024_2024.pdf are textually very similar (difflib ratio 0.85).,yes,,
DUPG-017,International Airlines Group,IAG-GOV-004;IAG-GOV-009,governance_candidates_staging;governance_candidates_staging,repeated_cross_year_disclosure,0.84,Passages in IAG_company_annual_report_current_fy2025_2025.pdf and IAG_company_annual_report_previous_fy2024_2024.pdf are textually very similar (difflib ratio 0.84).,yes,,
DUPG-018,International Airlines Group,IAG-REJ-017;IAG-REJ-032,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,1.00,Passages in IAG_company_annual_report_current_fy2025_2025.pdf and IAG_company_annual_report_previous_fy2024_2024.pdf are textually very similar (difflib ratio 1.00).,yes,,
