duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Convatec,CTEC-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.11) of CTEC_company_annual_report_current_fy2025_2026.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-002,Convatec,CTEC-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.12) of CTEC_company_annual_report_current_fy2025_2026.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-003,Convatec,CTEC-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.13) of CTEC_company_annual_report_current_fy2025_2026.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-004,Convatec,CTEC-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.41) of CTEC_company_annual_report_current_fy2025_2026.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-005,Convatec,CTEC-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.46) of CTEC_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Convatec,CTEC-GOV-002,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.47) of CTEC_company_annual_report_current_fy2025_2026.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-007,Convatec,CTEC-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.47) of CTEC_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Convatec,CTEC-REJ-015,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.71) of CTEC_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Convatec,CTEC-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.73) of CTEC_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Convatec,CTEC-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.87) of CTEC_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Convatec,CTEC-STR-006,strategic_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.87) of CTEC_company_annual_report_current_fy2025_2026.pdf describe the same technology strategy theme and were consolidated into one row.,yes,,
DUPG-012,Convatec,CTEC-REJ-025,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.7) of CTEC_company_annual_report_previous_fy2024_2025.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-013,Convatec,CTEC-GOV-008,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.23) of CTEC_company_annual_report_previous_fy2024_2025.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-014,Convatec,CTEC-REJ-028,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.23) of CTEC_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,Convatec,CTEC-REJ-031,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.39) of CTEC_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-016,Convatec,CTEC-REJ-009;CTEC-REJ-030,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.61,Passages in CTEC_company_annual_report_current_fy2025_2026.pdf and CTEC_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.61).,yes,,
DUPG-017,Convatec,CTEC-REJ-017;CTEC-REJ-032,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.96,Passages in CTEC_company_annual_report_current_fy2025_2026.pdf and CTEC_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.96).,yes,,
DUPG-018,Convatec,CTEC-REJ-018;CTEC-REJ-032,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.96,Passages in CTEC_company_annual_report_current_fy2025_2026.pdf and CTEC_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.96).,yes,,
DUPG-019,Convatec,CTEC-REJ-021;CTEC-REJ-037,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.94,Passages in CTEC_company_annual_report_current_fy2025_2026.pdf and CTEC_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.94).,yes,,
DUPG-020,Convatec,CTEC-REJ-022;CTEC-REJ-038,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,1.00,Passages in CTEC_company_annual_report_current_fy2025_2026.pdf and CTEC_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 1.00).,yes,,
DUPG-021,Convatec,CTEC-REJ-023;CTEC-REJ-038,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,1.00,Passages in CTEC_company_annual_report_current_fy2025_2026.pdf and CTEC_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 1.00).,yes,,
