track,company,ticker,sector,phase_reached,approved_sources,pending_sources,rejected_sources,downloaded,operational_promoted,strategic_promoted,governance_promoted,rejected_promoted,provisional_use_case_count,confirmed_use_case_count,status,reason
A,GSK plc,GSK,Pharmaceuticals & biotechnology,promoted,2,0,0,2,1,0,1,5,1,1,promoted,"Fully processed through promotion. AR2025 direct URL corrected after a genuine 404 (assets.gskstatic.com -> www.gsk.com, same asset ID, HEAD-verified). 1 confirmed operational use case: generative AI implemented at 20+ sites for investigation-data review."
A,Lloyds Banking Group,LLOY,Banks,phase_a_checkpoint,1,2,0,0,0,0,0,0,0,0,checkpoint_stopped,"2 of 4 candidate rows (50%) remain genuinely ambiguous -- both GenAI-specific press releases (Copilot scaling; AI-powered financial assistant) blocked by application-error pages on lloydsbankinggroup.com across repeated attempts. Exceeds the 30% threshold; left at approval checkpoint."
A,BAE Systems,BA,Aerospace & defence,download_blocked,2,0,1,0,0,0,0,0,0,0,blocked_at_download,"0% ambiguous (2 annual reports approved, 1 Scale AI partner release fetch-verified and rejected as general-AI-only) but both approved annual reports are actively blocked by Incapsula bot-protection on investors.baesystems.com/baesystems.com (confirmed genuine after fixing an unrelated validation gap in 03_download_sources.py that had been silently accepting Incapsula challenge pages as valid downloads). Distinct blocker type from the 30%-ambiguity checkpoint stop."
A,RELX,REL,Media,promoted,3,0,0,3,4,0,0,0,4,4,promoted,"Fully processed through promotion. 4 confirmed operational use cases (a representative, non-exhaustive selection from a much richer official GenAI-product page): Lexis+ with Protege (legal), PharmaPendium AI (regulatory intelligence), ClinicalKey AI (clinical), Ask ICIS (commodities/energy). Several further named products on the same page not separately coded this round."
A,Next plc,NXT,General retailers,promoted,2,0,0,2,0,0,0,2,0,0,promoted,"Fully processed through promotion. No qualifying operational GenAI evidence -- AI/agentic-AI/LLM mentions found are blended within a broad general-AI strategy narrative without an isolated, quantified generative-AI task. One keyword false-positive ('bedrock' used metaphorically) correctly excluded from governance."
B,Shell plc,SHEL,Oil & gas producers,promoted,3,1,2,3,1,0,0,0,1,1,unblocked_and_promoted,"Track B fully resolved this round. Annual Report 2024's genuine HTTP 404 fixed by locating and HEAD-verifying an official replacement URL on the same shell.com archive page. All 3 approved sources now downloaded; fully processed through promotion. 1 confirmed operational use case: SparkCognition/Shell generative-AI subsurface exploration imaging. AI webpage remains pending (still inaccessible to automated fetch after a third attempt)."
B,HSBC,HSBA,Banks,promoted,4,0,1,4,2,0,0,0,2,2,unblocked_and_promoted,"Track B fully resolved this round. Mistral AI release fetch-verified (approved); ESG Data Pack fetch-verified as a short data/metrics appendix (rejected). Fully processed through promotion. 2 confirmed operational use cases: Google Cloud/Gemini partnership; Mistral AI productivity platform."
B,Unilever,ULVR,Personal goods,phase_a_checkpoint,3,2,0,0,0,0,0,0,0,0,still_blocked,"Both pending GenAI press releases (Google Cloud partnership; AI product-shoot release) returned HTTP 403 on repeated retries across sessions on unilever.com. Genuinely inaccessible to automated fetch; needs an actual human browser session."
B,Sage Group,SGE,Software & computer services,phase_a_checkpoint,2,3,0,0,0,0,0,0,0,0,still_blocked,"All 3 pending rows (Sage Copilot press release, product page, Non-Financial Statement) returned HTTP 403 on repeated retries across sessions on sage.com. Genuinely inaccessible to automated fetch; needs an actual human browser session. Sage Copilot is a very likely genuine GenAI product but cannot be fetch-verified from this environment."
B,BP,BP,Oil & gas producers,phase_a_checkpoint,2,2,0,0,0,0,0,0,0,0,still_blocked,"Both pending GenAI sources (Copilot for Microsoft 365 announcement; Wells Assistant speech) returned HTTP 403 on repeated retries across sessions on bp.com. Genuinely inaccessible to automated fetch; needs an actual human browser session."
