staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
ICG-REJ-001,Intermediate Capital Group,ICG,Intermediate Capital Group plc Annual Report and Accounts 2025,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.16,AI,B,1,"phisticated and ICG scales and broadens, these areas are crucial to growing and managing our client base. In addition, investments in areas such as AI, technology and operations help us to take advantage of the substantial data we have at our disposal; to efficiently manage internal processes as",no,no,vague_general_ai_reference,,rejected,,
ICG-REJ-002,Intermediate Capital Group,ICG,Intermediate Capital Group plc Annual Report and Accounts 2025,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.40,AI,B,1,"0 over the year) and very well attended, including panel discussions and guest speakers. We aim to address impactful topics such as gender bias in AI and benefits of sponsorship. Our Together network hosts various LGBTQ+ events for both ICG colleagues and external participants from across the pr",no,no,vague_general_ai_reference,,rejected,,
ICG-REJ-003,Intermediate Capital Group,ICG,Intermediate Capital Group plc Annual Report and Accounts 2025,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.46,artificial intelligence,B,1,"stments in solutions to ensure our data is protected and secure. ICG is responsive to technological enhancements, including the growing presence of Artificial Intelligence, to ensure that we are properly equipped to mitigate evolving cyber security risks, as well as positioning the Group to utilise new tools to suppor",no,no,vague_general_ai_reference,,rejected,,
ICG-REJ-004,Intermediate Capital Group,ICG,Intermediate Capital Group plc Annual Report and Accounts 2025,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.55,RAG,A,1,"risk assessment is performed for all assets. Based on feedback from investment teams, the real estate transition risk assessment was revised from a RAG rating to focus explicitly on: (i) energy performance ratings1, (ii) required capex for regulatory compliance2 and (iii) additional capex for bench",no,no,vague_general_ai_reference,,rejected,,
ICG-REJ-005,Intermediate Capital Group,ICG,Intermediate Capital Group plc Annual Report and Accounts 2025,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.68,AI,B,1,"high quality data available; and – assessed the potential for use of artificial intelligence in the Group’s business, recognising the potential of AI due to the significant processing power available but also highlighting a number of issues and concerns about relying on AI exclusively. Stakehold",no,no,vague_general_ai_reference,,rejected,,
ICG-REJ-006,Intermediate Capital Group,ICG,Intermediate Capital Group plc Annual Report and Accounts 2025,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.71,AI,B,1,"Rosemary is a Non- Executive Director of Proton AG, provider of the world's most secure email. She is a Senior Advisor to SandboxAQ a Quantum and AI company. Rosemary was previously SID, Remuneration Committee Chair and a member of the Audit Committee of YouGov Plc, was previously a Non-Execu",no,no,audit_analytics,DUPG-002,rejected,,
ICG-REJ-007,Intermediate Capital Group,ICG,Intermediate Capital Group plc Annual Report and Accounts 2025,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.86,AI,B,2,"lications and opportunities, while ensuring the development of appropriate risk management frameworks. We are committed to harnessing the power of AI responsibility, aligning with our values and stakeholder expectations. Looking ahead, the Committee will continue to prioritise the monitoring of ||| ther strengthen our cyber risk framework to ensure the Group maintains robust defences against evolving threats, including those posed by advanced AI technologies. Ongoing enhancement of our wider risk and control environment will also be a key focus area. The Risk Committee remains committed to",no,no,vague_general_ai_reference,DUPG-001,rejected,,
ICG-REJ-008,Intermediate Capital Group,ICG,Intermediate Capital Group plc Annual Report and Accounts 2024,ICG_company_annual_report_previous_fy2023-24_2024-06.pdf,,annual_report_previous,company_primary,p.47,automation,B,1,"manage our growth plans more effectively, and investing in the operations platform itself. Transformation and project activity, including workflow automation, is anticipated to yield more efficient and automated processes and a reduction in operational risk over the medium term. Strategic alignment:",no,no,ordinary_automation,,rejected,,
ICG-REJ-009,Intermediate Capital Group,ICG,Intermediate Capital Group plc Annual Report and Accounts 2024,ICG_company_annual_report_previous_fy2023-24_2024-06.pdf,,annual_report_previous,company_primary,p.53,RAG,A,1,"date we have used the latest available validated figures at the time of conducting the assessment. 9. Each potential investments receives a separate RAG rating for transition risk and physical climate-related risks. Red (R) indicates higher risk level, Amber (A) indicates medium level of risk, and gr",no,no,vague_general_ai_reference,,rejected,,
ICG-REJ-010,Intermediate Capital Group,ICG,Intermediate Capital Group plc Annual Report and Accounts 2024,ICG_company_annual_report_previous_fy2023-24_2024-06.pdf,,annual_report_previous,company_primary,p.70,AI,B,1,"s within portfolio companies; and – assessed the potential for use of artificial intelligence in the Group’s business, recognising the potential of AI due to the significant processing power available but also highlighting a number of issues and concerns about relying on AI exclusively. 1. 2. 3.",no,no,vague_general_ai_reference,,rejected,,
ICG-REJ-011,Intermediate Capital Group,ICG,Intermediate Capital Group plc Annual Report and Accounts 2024,ICG_company_annual_report_previous_fy2023-24_2024-06.pdf,,annual_report_previous,company_primary,p.73,AI,B,1,"Rosemary is a Non-executive Director of Proton AG, provider of the world's most secure email. She is a Senior Advisor to SandboxAQ a Quantum and AI company. Rosemary was previously SID, Remuneration Committee Chair and a member of the Audit Committee of YouGov Plc, and was previously a Non- Ex",no,no,audit_analytics,DUPG-002,rejected,,
ICG-REJ-012,Intermediate Capital Group,ICG,Intermediate Capital Group plc Annual Report and Accounts 2024,ICG_company_annual_report_previous_fy2023-24_2024-06.pdf,,annual_report_previous,company_primary,p.92,artificial intelligence,B,1,"nsure that the Group maintains robust procedures and controls that effectively mitigate cyber-related risks, this will include focusing on emerging Artificial Intelligence threats. There will also continue to be a focus on the continued evolution of the wider risk and control environment. The Committee will continue",no,no,vague_general_ai_reference,,rejected,,
