duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Lion Finance Group,BGEO-REJ-001,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.18) of BGEO_company_annual_report_current_fy2025_2026-02.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-002,Lion Finance Group,BGEO-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.33) of BGEO_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Lion Finance Group,BGEO-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.38) of BGEO_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Lion Finance Group,BGEO-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.39) of BGEO_company_annual_report_current_fy2025_2026-02.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-005,Lion Finance Group,BGEO-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.63) of BGEO_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Lion Finance Group,BGEO-REJ-020,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.121) of BGEO_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Lion Finance Group,BGEO-REJ-028,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.183) of BGEO_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Lion Finance Group,BGEO-REJ-030,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.9) of BGEO_company_annual_report_previous_fy2024_2025-04.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Lion Finance Group,BGEO-REJ-031,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.11) of BGEO_company_annual_report_previous_fy2024_2025-04.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Lion Finance Group,BGEO-REJ-032,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.13) of BGEO_company_annual_report_previous_fy2024_2025-04.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Lion Finance Group,BGEO-REJ-035,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.27) of BGEO_company_annual_report_previous_fy2024_2025-04.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-012,Lion Finance Group,BGEO-REJ-036,rejected_candidates_staging,same_source_consolidation,not_applicable,8 passages on the same page (p.27) of BGEO_company_annual_report_previous_fy2024_2025-04.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,Lion Finance Group,BGEO-REJ-041,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.104) of BGEO_company_annual_report_previous_fy2024_2025-04.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,Lion Finance Group,BGEO-REJ-020;BGEO-REJ-041,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.81,Passages in BGEO_company_annual_report_current_fy2025_2026-02.pdf and BGEO_company_annual_report_previous_fy2024_2025-04.pdf are textually very similar (difflib ratio 0.81).,yes,,
DUPG-015,Lion Finance Group,BGEO-REJ-024;BGEO-REJ-042,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.69,Passages in BGEO_company_annual_report_current_fy2025_2026-02.pdf and BGEO_company_annual_report_previous_fy2024_2025-04.pdf are textually very similar (difflib ratio 0.69).,yes,,
DUPG-016,Lion Finance Group,BGEO-REJ-029;BGEO-REJ-044,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.53,Passages in BGEO_company_annual_report_current_fy2025_2026-02.pdf and BGEO_company_annual_report_previous_fy2024_2025-04.pdf are textually very similar (difflib ratio 0.53).,yes,,
