company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
GSK plc,GSK,,GSK_company_annual_report_current_fy2025.pdf,p.5,AI,B,"…using advanced technologies… Pipeline At every step of the R&D process, we are using data tech, including AI, and platform technologies to be faster, more effective and more predictive in discovering and developing innovative medicines and vaccines. Re",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
GSK plc,GSK,,GSK_company_annual_report_current_fy2025.pdf,p.10,AI,B,"ernally acquired assets, particularly in RI&I and oncology and we continue to invest significantly in the transformational capability afforded by AI/ML. The Board also remains committed to the company’s long-standing proactive approach to operating responsibly, evident in 92% of Responsible B",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
GSK plc,GSK,,GSK_company_annual_report_current_fy2025.pdf,p.11,AI,B,"ansforming how GSK works, from development to manufacturing and marketing. There remains profound potential for advanced technologies, including AI, to bring medicines and vaccines to patients with more precision, pace and probability of success. The focus now should be on embedding these tec",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
GSK plc,GSK,,GSK_company_annual_report_current_fy2025.pdf,p.12,AI,B,"resources to the best opportunities to create value. We’ll also have an increased focus on leveraging the practical use of technology, including AI. Evolving GSK to create value for shareholders Looking forward, I see two clear priorities to create value for shareholders. The first is topline.",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
GSK plc,GSK,,GSK_company_annual_report_current_fy2025.pdf,p.14,AI,B,"et against a backdrop of continued rapid acceleration in technological innovation and adoption. As generative and agentic artificial intelligence (AI) becomes more sophisticated, it’s transforming how many of us live and work. For the biopharma industry, one of the most significant use cases for",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
GSK plc,GSK,,GSK_company_annual_report_current_fy2025.pdf,p.14,AI,B,"becomes more sophisticated, it’s transforming how many of us live and work. For the biopharma industry, one of the most significant use cases for AI remains R&D productivity. A proliferation of health data, coupled with the power of AI to interpret ever-larger datasets, offers the potential to d",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
GSK plc,GSK,,GSK_company_annual_report_current_fy2025.pdf,p.14,AI,B,"pret ever-larger datasets, offers the potential to develop medicines and vaccines with more pace, precision and probability of success. Currently, AI adoption is concentrated in areas from early research through to clinical development. Automation can transform processes such as target selection",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
GSK plc,GSK,,GSK_company_annual_report_current_fy2025.pdf,p.14,AI,B,"transform processes such as target selection and molecule design, which are otherwise lengthy, manual and costly. Advanced technologies, including AI, create potential to more deeply understand human biology and develop more targeted solutions to prevent and alter the course of disease. Once dru",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
GSK plc,GSK,,GSK_company_annual_report_current_fy2025.pdf,p.14,AI,B,"eeply understand human biology and develop more targeted solutions to prevent and alter the course of disease. Once drugs are developed, robotics, AI, machine learning and other innovations can all enable manufacturers to get vaccines and medicines of the highest quality standards to those who n",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
GSK plc,GSK,,GSK_company_annual_report_current_fy2025.pdf,p.14,AI,B,"arketing, as well as streamlining corporate processes, data and technology are optimising the pathway to reach patients. Realising the potential of AI at scale depends on human ingenuity, skill and judgement. Around 4 in 10 core job skills are expected to change within the next five years7. Publi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
