company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Convatec,CTEC,,CTEC_company_annual_report_current_fy2025_2026.pdf,p.8,automation,B,"udies, randomised controlled trials and journal publications. We increased our operational resilience with further investments in infrastructure, automation and capacity across our manufacturing network as we respond to growing demand, whilst maintaining our commitment to safety and quality. Looking a",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Convatec,CTEC,,CTEC_company_annual_report_current_fy2025_2026.pdf,p.9,automation,B,"udies, randomised controlled trials and journal publications. We increased our operational resilience with further investments in infrastructure, automation and capacity across our manufacturing network as we respond to growing demand, whilst maintaining our commitment to safety and quality. Looking a",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Convatec,CTEC,,CTEC_company_annual_report_current_fy2025_2026.pdf,p.11,AI,B,"g Convatec Business Services (CBS) beyond Finance, IT and HR activities and CBS will continue to expand in 2026, supported by ongoing adoption of AI and automation. Adjusted G&A1 was flat YoY at $166m, representing 6.8% of revenue (2024: 7.2%). Overall adjusted operating expenses represented 38",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Convatec,CTEC,,CTEC_company_annual_report_current_fy2025_2026.pdf,p.11,automation,B,"ational leverage. Our simplification and productivity initiatives continued to progress well. In Global Quality & Operations, we further increased automation in our facilities and continued to optimise our plant network for scale and efficiency. In commercial areas, our Centres of Excellence (CoE) in G",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Convatec,CTEC,,CTEC_company_annual_report_current_fy2025_2026.pdf,p.12,automation,B,"e the benefits of the network optimisation completed in 2023‑24, with more production capacity at our large Slovakia site. Ongoing investments in automation are also driving improved productivity. Build Investments in R&D, capex and clinical knowledge are clear examples of adding capability to Convatec",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Convatec,CTEC,,CTEC_company_annual_report_current_fy2025_2026.pdf,p.12,automation,B,"in Infusion Care (due to be in operation from 2027), increased capacity for Esteem Body™ and ConvaFoam™ (both due in 2026) and further packaging automation in AWC. Our Marketing & Sales Centre of Excellence (CoE) launched a new global patient service platform in our me+™ programme, which marked its t",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Convatec,CTEC,,CTEC_company_annual_report_current_fy2025_2026.pdf,p.13,automation,B,"e the benefits of the network optimisation completed in 2023‑24, with more production capacity at our large Slovakia site. Ongoing investments in automation are also driving improved productivity. Build Investments in R&D, capex and clinical knowledge are clear examples of adding capability to Convatec",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Convatec,CTEC,,CTEC_company_annual_report_current_fy2025_2026.pdf,p.13,automation,B,"in Infusion Care (due to be in operation from 2027), increased capacity for Esteem Body™ and ConvaFoam™ (both due in 2026) and further packaging automation in AWC. Our Marketing & Sales Centre of Excellence (CoE) launched a new global patient service platform in our me+™ programme, which marked its t",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Convatec,CTEC,,CTEC_company_annual_report_current_fy2025_2026.pdf,p.28,automation,B,"Financial review continued The Group invested $185m (2024: $122m) in growth and operational capex to increase manufacturing capacity and automation, develop new products, improve information technology and digital tools and maintain current operations. Of this, $121m (2024: $59m) related to gro",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Convatec,CTEC,,CTEC_company_annual_report_current_fy2025_2026.pdf,p.29,automation,B,"Financial review continued The Group invested $185m (2024: $122m) in growth and operational capex to increase manufacturing capacity and automation, develop new products, improve information technology and digital tools and maintain current operations. Of this, $121m (2024: $59m) related to gro",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
