staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
INVP-REJ-001,Investec,INVP,Investec yields high productivity returns with Microsoft Copilot for Sales | Microsoft Customer Stories,INVP_partner_partner_case_study_n-a.html,,partner_case_study,technology_partner,not_applicable,AI;Copilot,A;B,6,"===== HTML DOCUMENT ===== Source file: INVP_partner_partner_case_study_n-a.html Title: Investec yields high productivity returns with Microsoft Copilot for Sales | Microsoft Customer Stories This is the Trace Id: cc25b120d7ed9bb9e8fb0215cf366c82 Skip to main content Customer Stories All stories ||| crosoft Customer Stories This is the Trace Id: cc25b120d7ed9bb9e8fb0215cf366c82 Skip to main content Customer Stories All stories AI & Microsoft Copilot Azure Dynamics 365 Microsoft 365 Microsoft Security Microsoft Power Platform Microsoft Teams Microsoft 365 Dynamics 365 Microsoft Power Platform Mic ||| your organization achieve its goals with secure, scalable AI solutions. Explore AI solutions Follow Microsoft Surface Book 3 Surface Pro Microsoft Copilot Microsoft 365 Windows 11 apps Account profile Download Center Microsoft Store Support Extended holiday returns Order tracking Support Microsoft in ||| als for students and parents Azure for students Microsoft AI Microsoft Security Azure Dynamics 365 Microsoft 365 Microsoft Advertising Microsoft 365 Copilot Microsoft Teams Microsoft Developer Microsoft Learn Support for AI marketplace apps Microsoft Tech Community Microsoft Marketplace Microsoft Power P ||| wer Platform Microsoft Teams Microsoft Security Nonprofit Microsoft Security Azure Dynamics 365 Microsoft 365 Microsoft Teams Windows 365 Microsoft AI Azure Space Mixed reality Microsoft HoloLens Microsoft Viva Quantum computing Sustainability Education Automotive Financial services Government Heal ||| rosoft 365 Azure Dynamics 365 Microsoft Power Platform Microsoft Teams Microsoft Security Windows 365 Nonprofit Transform work with Microsoft AI Bring intelligence into the flow of work and help your organization achieve its goals with secure, scalable AI solutions. Explore AI solutions Fol",no,yes,webpage_boilerplate,DUPG-001,rejected,,
INVP-REJ-002,Investec,INVP,Investec plc Annual Report 2024,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,,annual_report_previous,company_primary,p.6,Bedrock,A,1,"n environment that stimulates extraordinary performance Our values Deep client partnerships, built on trust and out-of-the-ordinary service, are the bedrock of our business We are dedicated to building meaningful relationships with all our stakeholders We uphold cast-iron integrity in all we do We are com",no,no,vague_general_ai_reference,,rejected,,
INVP-REJ-003,Investec,INVP,Investec plc Annual Report 2024,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,,annual_report_previous,company_primary,p.16,automation,B,1,chieving net-zero carbon emissions by 2050 and processes to enhance our Scope 3 financed emissions calculations with refined assumptions and systems automation • Approved the enhanced Sustainable and Transition Finance Classification Framework • Noted our reporting readiness with the increased sustainability,no,no,ordinary_automation,,rejected,,
INVP-REJ-004,Investec,INVP,Investec plc Annual Report 2024,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,,annual_report_previous,company_primary,p.19,automation,B,1,"able and Transition Finance Classification Framework, which will serve as the foundation for establishing sustainable finance targets • Endorsed the automation of the Scope 3 financed emissions, aiming to enhance accuracy and efficiency • Reviewed and discussed the emerging sustainability regulations from th",no,no,ordinary_automation,,rejected,,
INVP-REJ-005,Investec,INVP,Investec plc Annual Report 2024,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,,annual_report_previous,company_primary,p.32,AI,B,1,"focused on managing conduct, reputational and operational risks. Keeping abreast of industry-wide trends with respect to artificial intelligence (AI) developments, cyber threats and data management as well as increased reliance on big tech and cloud platforms remains an area of focus and signi",no,no,vague_general_ai_reference,,rejected,,
INVP-REJ-006,Investec,INVP,Investec plc Annual Report 2024,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,,annual_report_previous,company_primary,p.44,artificial intelligence,B,1,"pdates to the Board keep them abreast of the threat landscape and informed on the Group’s security position • In response to the potential impact of artificial intelligence and its use for criminal purposes, the Group is actively engaged in deep fake research and proactive mitigation efforts, including threat simulatio",no,no,vague_general_ai_reference,,rejected,,
INVP-REJ-007,Investec,INVP,Investec plc Annual Report 2024,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,,annual_report_previous,company_primary,p.46,automation,B,1,"to protect clients, markets and the Group from detriment • We manage operational capacity to meet client and industry needs and continue to explore automation to improve efficiency and reduce human error • Key business processes are regularly reviewed and the relevant risks assessed through the risk and co",no,no,ordinary_automation,,rejected,,
INVP-REJ-008,Investec,INVP,Investec plc Annual Report 2024,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,,annual_report_previous,company_primary,p.56,automation,B,1,"agreed audit plans, including assessing Internal Audit resources, Continued Professional Development (CPD), succession, core skills development and automation of audit processes • Monitored and followed up internal audit control findings, including IT, and ensured appropriate mitigation and timeous close-o",no,no,audit_analytics,,rejected,,
INVP-REJ-009,Investec,INVP,Investec plc Annual Report 2024,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,,annual_report_previous,company_primary,p.186,automation,B,1,"educing Scope 3 financed emissions through influencing and engaging with our clients on their net-zero pathways. This year we have invested in the automation of Scope 3 financed emissions calculations, enhanced our data collection efforts and refined our assumptions around Scope 3 emissions. We continue",no,no,ordinary_automation,,rejected,,
INVP-REJ-010,Investec,INVP,Investec plc Annual Report 2024,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,,annual_report_previous,company_primary,p.200,automation,B,1,"insufficient management oversight • Despite the organisation's commitment to digitalisation, there is still a reliance on manual processes. When automation is not possible, process redesign is undertaken to address control gaps. Additionally, there is a strong emphasis on monitoring key controls thro",no,no,ordinary_automation,,rejected,,
INVP-REJ-011,Investec,INVP,Investec plc Annual Report 2024,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,,annual_report_previous,company_primary,p.200,AI,B,1,"f sensitive data for the purpose of extortion • While still in its early stages, threat actors began exploring the use of artificial intelligence (AI) to automate and enhance attack • Targeted security evaluations continue to run internally and by independent specialists to validate controls and",no,no,vague_general_ai_reference,,rejected,,
INVP-REJ-012,Investec,INVP,Investec plc Annual Report 2024,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,,annual_report_previous,company_primary,p.221,automation,B,1,inancials PD Probability of default PRA Prudential Regulation Authority RHS Right hand side ROU Right of use asset RPA technologies Robotic Process Automation technologies RRP Recovery Resolution Plan RWA Risk weighted asset RFR Risk-free rate SA-CCR Standardised Approach for measuring Counterparty Credi,no,no,ordinary_automation,,rejected,,
