company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Rentokil Initial,RTO,,RTO_company_annual_report_current_fy2025_2026-03.pdf,p.6,AI,B,"Alongside these are strong regional and local brands. We have a strong track record of differentiated innovation in both Pest Control, such as AI-enabled connected technologies, and Hygiene & Wellbeing. We are building our expertise in digital and AI to drive real business outcomes. We perf",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rentokil Initial,RTO,,RTO_company_annual_report_current_fy2025_2026-03.pdf,p.11,AI,B,". We have responded to the evolving digital landscape with increased investment in our brand websites to ensure their positioning is optimised for AI-generated search answers. In an industry where business is won locally, city by city, we have continued the roll-out of smaller, local branches thr",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rentokil Initial,RTO,,RTO_company_annual_report_current_fy2025_2026-03.pdf,p.11,AI,B,We have responded to the evolving digital landscape with increased investment in our brand websites to ensure their positioning is optimised for AI-generated search answers Rentokil Initial plc Annual Report 2025 11 Strategic Report Other InformationFinancial StatementsCorporate Governance,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rentokil Initial,RTO,,RTO_company_annual_report_current_fy2025_2026-03.pdf,p.12,generative AI,A,"ellbeing with exciting opportunities ahead. These include investments in field-based technology such as in-field camera optics in our rodent traps, generative AI to support our customers and to lower our costs, and maximising our routes to market through optimised AI search. Investing in our people and buildi",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Rentokil Initial,RTO,,RTO_company_annual_report_current_fy2025_2026-03.pdf,p.12,Gemini,A,"ta capabilities, elevating the use of data and AI through the organisation down to the branch level to support decision making with the roll-out of Gemini for Google Workspace to our c.63,400 global workforce. In just six months, colleagues used Gemini AI on over one million occasions to support their",likely_genai,medium,"Stage A high-precision generative-AI term 'Gemini' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Rentokil Initial,RTO,,RTO_company_annual_report_current_fy2025_2026-03.pdf,p.12,Gemini,A,"ore on pages 50 and 51 COLLEAGUES, CUSTOMERS AND AI AI PRODUCTIVITY Core AI integration Rentokil Initial is actively integrating AI, particularly Gemini AI, into its operations. This strategic adoption aims to enhance efficiency and productivity across the business. We launched Google Gemini AI as a",likely_genai,medium,"Stage A high-precision generative-AI term 'Gemini' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Rentokil Initial,RTO,,RTO_company_annual_report_current_fy2025_2026-03.pdf,p.12,Gemini,A,"ool within email and documents, and as a standalone app to enable further efficiencies. By the end of 2025, all colleagues worldwide had access to Gemini AI, demonstrating a strong commitment to digital transformation, with North America the largest user region. Outcomes-driven AI agents and chatbots",likely_genai,medium,"Stage A high-precision generative-AI term 'Gemini' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Rentokil Initial,RTO,,RTO_company_annual_report_current_fy2025_2026-03.pdf,p.12,Gemini,A,"festations. The Optix service has now been launched in five countries. SPOTLIGHT ON: INNOVATION AND TECHNOLOGY c.63,400 Colleagues have access to Gemini AI >100 AI agents and chatbots in development AI EFFICIENCY AI SERVICE INNOVATION 12 Rentokil Initial plc Annual Report 2025",likely_genai,medium,"Stage A high-precision generative-AI term 'Gemini' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Rentokil Initial,RTO,,RTO_company_annual_report_current_fy2025_2026-03.pdf,p.12,AI,B,"workforce. In just six months, colleagues used Gemini AI on over one million occasions to support their work and we have launched our own in-house AI platform, known internally as RatGPT, which currently has over 100 AI agents in development to help us grow and become more efficient. We’re commit",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rentokil Initial,RTO,,RTO_company_annual_report_current_fy2025_2026-03.pdf,p.12,AI,B,"nt to help us grow and become more efficient. We’re committed to embedding digital transformation across the organisation, and we’re actively using AI to drive real business outcomes. We continue to invest in technology innovation in both Pest Control and Hygiene & Wellbeing with exciting opportun",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
