company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.8,AI,B,"gy and remain alert to emerging risks. We prepare for these changes by continuing to invest in digital transformation and harnessing the power of AI, enhancing our risk management capabilities and deepening our engagement with regulators and policymakers. Our commitment is to safeguard the int",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.9,AI,B,"d your company is now very different from the one it was just three years ago. This year, we’ve continued to raise our game – using technology and AI to make things simpler and smoother for our customers. We’ve cut out unnecessary steps, sped up decision- making and freed up more time to delive",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.9,AI,B,"5 7 Chris O’Shea Group Chief Executive I am confident that the future’s looking good for Centrica. The world’s changing fast, with technology and AI driving up electricity demand like never before. That means more complexity, more need for reliable, sustainable energy. Group Chief Executive’",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"ng a sustainable and resilient business I am confident that the future’s looking good for Centrica. The world’s changing fast, with technology and AI driving up electricity demand like never before. That means more complexity and more need for reliable, sustainable energy – exactly what Sizewel",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.18,artificial intelligence,B,"Our market trends Strategic Report Governance Financial Statements Other Information 16 Growing consumer engagement Advances in technology, such as artificial intelligence and machine learning, are revolutionising the energy sector, unlocking opportunities to improve customer offers, reduce costs and better manage ou",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.24,AI,B,"tigation strategies to support vulnerable customers and ensure regulatory compliance, while accelerating technology transformation. Investments in AI and a Single Customer View platform aim to improve customer experience, maintain stable asset and health and safety risk profiles, and strengthen c",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.39,AI,B,"expectations, and the influence of digital-first experiences. • Complexity of adopting and integrating innovative enabling technologies (including AI), management of legacy systems and effective use of data impact responsiveness to customer demands. • Skilled engineer availability and ability to",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.39,AI,B,her developments underway across all retail businesses to optimise benefit. • Enhancements to our customer interaction are being made through Gen AI. • Ongoing implementation of the strategic labour strategy ensuring availability of skills to service developing propositions and markets. Centric,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.41,AI,B,frequency and complexity of cyber-attacks targeting critical energy infrastructure. • Rising ransomware sophistication and potential for misuse of AI for complex attacks. • Increased digital connectivity and use of operational technology across Centrica can increase supply chain and operational,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.61,AI,B,"f the Board by the Audit and Risk Committee. The Board also sets clear expectations for the ethical and responsible use of Artificial Intelligence (AI) across t h e G r o u p , w i t h d e t a i l e d o v e r s i g h t o f A I - r e l a t e d r i s k s a n d controls delegated to the Audi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.65,AI,B,"ovation globally. His experience includes managing digital/mobile channels and technology platforms across the customer lifecycle, applications of AI and Data Science across wide- ranging business applications, operational excellence and managing fraud risk. CP was the chief digital and analytics",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.68,AI,B,"ing (BOSIET) enhancing the Board’s practical understanding of offshore operational safety. • Artificial intelligence: A dedicated session exploring AI fundamentals, strategic applications, emerging regulatory considerations and implications for the workforce. • Irish energy market: A briefing prov",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.71,artificial intelligence,B,"anning and leadership development • Board effectiveness reviews and private sessions on succession • Training and development for Board members (e.g. artificial intelligence) • Diversity, equity and inclusion (DEI) and S172 stakeholder duties • Customer and brand strategy sessions, including communications and cultural ch",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.71,artificial intelligence,B,"the formal Board effectiveness review and, as a Board, agreed improvement actions, alongside approving targeted training for Directors, including on Artificial Intelligence. In addition, the Board reviewed progress against DEI initiatives and monitored compliance with its Section 172 stakeholder duties, agreeing areas o",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.75,AI,B,"date, IT issues continued to persist in certain areas, and that further upgrade will be required in FY2026. Oversight of Artificial Intelligence (AI) remained an integral part of the Committee’s remit. Corporate governance In anticipation of developments under the UK Corporate Governance Code r",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.75,automation,B,"dered perspectives from Internal Audit and the external auditors on the control environment, with particular attention on opportunities to increase automation in key business processes (including Ensek and Spirit). The Committee continued to monitor management’s remediation of control weaknesses and prog",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.77,AI,B,"29 and readiness for the annual controls declaration; • Further emphasis on IT controls, including emerging considerations relating to Responsible AI; and • Increased attention to CSRD readiness and the developing approach to sustainability assurance. Nathan Bostock Chair of the Audit and Risk Co",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.99,AI,B,"the digital agenda for customer channels and internal business operations. This reduced costs, improved resilience, and laid foundations for scaled AI deployment in 2026 •Leadership strength grew through promotions and capability programmes, internal mobility increased, and critical technical skil",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.99,automation,B,"th spend reduction, disciplined investment and progress on transformation •Progress made on delivery of the strategic technology roadmap focused on automation and simplification •Refreshed procurement strategy has embedded stronger discipline and transparency across the organisation, and delivered perfor",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.232,AI,B,"owind Polska VI Sp z.o.o. Operation of an onshore windfarm Poland AC Ordinary shares 50.0% Garden Topco Limited (iv) Holding company United Kingdom AI Ordinary shares 50.0% Three Rivers Solar 1, LLC Energy supply and/or services United States AA Membership interest 40.0% Three Rivers Solar 2, LL",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.233,AI,B,"North, 11 Bressenden Place, London, SW1E 5BY, United Kingdom (i) AH 4th Floor, Regent House, 50 Frederick Street, Birmingham, B1 3HR, United Kingdom AI Grain Road, Rochester, Kent, ME3 0AB, United Kingdom AJ Lavrska Street 20, 01601 Kyiv, Ukraine AK Level 5, 60 Martin Place, 2000 Sydney NSW, Australi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_current_fy2025_2026-02.pdf,p.258,AI,B,Glossary $ Refers to US dollars unless specified otherwise 2P reserves Proven and probable reserves AGM Annual General Meeting AI Artificial Intelligence AIP Annual Incentive Plan bcf Billion cubic feet CHP Combined Heat and Power CLT Centrica Leadership Team CO2e Universal unit,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.18,artificial intelligence,B,"ts and a challenging economic situation, with some customers struggling to pay bills. Technological transformation Advances in technology, such as artificial intelligence and machine learning, are revolutionising the energy sector, unlocking opportunities to improve customer propositions, reduce costs, and better ma",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.44,AI,B,"tors driving electricity demand. Centrica recognises that understanding and embracing innovative technologies, including Artificial Intelligence (AI), is essential to meeting our customer needs, maintaining our competitive edge, driving innovation and improving operational efficiency. We have",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.44,AI,B,"how customer data is harmonised and unified across all business units, enabling use cases such as hyper-personalisation, advanced forecasting and AI-enabled customer interactions, all aimed at delivering deeper customer insights and more tailored experiences. Global supply chain constraints Evo",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.47,AI,B,"n all relevant jurisdictions, particularly regarding matters such as human rights, climate and the environment, health and safety, cyber security, AI, tax and prevention of financial crime. • Continuous dialogue with Ofgem, the Commission for Regulation of Utilities, the FCA, the PRA and consumer",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.49,automation,B,"and regulatory actions. • Customer-facing business units focus on reducing complaints and addressing customer pain points using enhanced tools and automation, and performing root cause analysis within a continuous improvement approach. • British Gas Energy’s ongoing investment in customer service capabil",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.52,AI,B,ucture and the nature of the industry in which we operate makes us a target for state actors and state-sponsored attackers. • The risk of misuse of AI to create complex attacks is expected to increase rapidly with AI tools becoming cheaper and more accessible. We recognise the opportunity to adopt,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.52,AI,B,"to create complex attacks is expected to increase rapidly with AI tools becoming cheaper and more accessible. We recognise the opportunity to adopt AI to better improve our cyber defences. • The volume, sophistication and frequency of ransomware attacks has evolved, with the most catastrophic brin",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.56,AI,B,"vide a comprehensive view of each customer, thereby enhancing our customer understanding and experience. We are leveraging the opportunities that AI offers, making Centrica an exciting place for digital talent. The People team is committed to building a workforce that is adept at harnessing the",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.87,AI,B,"enges as well as externalities that may impact delivery of strategy. Some of the specific areas covered during the year included digital, data and AI, customers and brand, cyber risk, sustainability, and geopolitical risk. In addition, the Directors have full access to the advice and services of",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.90,AI,B,"vation globally. His experience includes managing digital/ mobile channels and technology platforms across the customer lifecycle, applications of AI and Data Science across wide-ranging business applications, operational excellence and managing fraud risk. In his most recent executive role, CP w",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.103,automation,B,"remain comfortable with the financial results. The business is committed to evolving further the manual and IT controls in place and the extent of automation, as the platform continues its development. The Committee also discussed the challenges relating to external audit findings across some of the Gro",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.268,AI,B,", LLC Energy supply and/or services United States AH Membership interest 50.0% Eurowind Polska VI Sp z.o.o. Operation of an onshore windfarm Poland AI Ordinary shares 50.0% Three Rivers Solar 1, LLC Energy supply and/or services United States AG Membership interest 40.0% Three Rivers Solar 2, LL",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_company_annual_report_previous_fy2024_2024.pdf,p.269,AI,B,"ilmington, New Castle County, DE 19801, United States AH Corporation Service Company, 251 Little Falls Drive, Wilmington DE 19808, United States (xi) AI Ul. Wysogotowska 23, 62-081 Przezmierowo, Wielkpolskie, Poland AJ Mariagervej 58B, DK 9500 Hobro, Denmark AK Block 1, Harcourt Centre, Harcourt Stree",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Centrica,CNA,,CNA_partner_partner_case_study_n-a.html,not_applicable,Copilot,A,=== Source file: CNA_partner_partner_case_study_n-a.html Title: Centrica drives a new wave of Power Platform innovation with Managed Environments and Copilot Studio | Microsoft Customer Stories This is the Trace Id: 35dbbf383943aaccbfdad4373296565e Skip to main content Customer Stories All stories AI,likely_genai,medium,"Stage A high-precision generative-AI term 'Copilot' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Centrica,CNA,,CNA_partner_partner_case_study_n-a.html,not_applicable,Copilot,A,crosoft Customer Stories This is the Trace Id: 35dbbf383943aaccbfdad4373296565e Skip to main content Customer Stories All stories AI & Microsoft Copilot Azure Dynamics 365 Microsoft 365 Microsoft Security Microsoft Power Platform Microsoft Teams Microsoft 365 Dynamics 365 Microsoft Power Platform Mic,likely_genai,medium,"Stage A high-precision generative-AI term 'Copilot' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Centrica,CNA,,CNA_partner_partner_case_study_n-a.html,not_applicable,Copilot,A,ng Microsoft Learn Microsoft Research View Sitemap 6/19/2026 Centrica drives a new wave of Power Platform innovation with Managed Environments and Copilot Studio Share the story Share this story LinkedIn Facebook X WhatsApp Email Executive summary Executive summary Read the story Discover mor,likely_genai,medium,"Stage A high-precision generative-AI term 'Copilot' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Centrica,CNA,,CNA_partner_partner_case_study_n-a.html,not_applicable,Copilot,A,"used to better manage governance and ALM at scale. This set the foundation for the use of advanced Power Platform tools like Power Apps code apps and Copilot Studio. The company has moved to new level of innovation with powerful, customized applications and advanced multi-agent AI solutions. Together, the",likely_genai,medium,"Stage A high-precision generative-AI term 'Copilot' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Centrica,CNA,,CNA_partner_partner_case_study_n-a.html,not_applicable,Copilot,A,"Centrica explains, “The utilities industry is more competitive than ever these days. To stay competitive, we are using tools like Power Platform and Copilot Studio to quickly build internal efficiencies, better serve our customers, and ensure our engineers have access to the best tools for innovation.” T",likely_genai,medium,"Stage A high-precision generative-AI term 'Copilot' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
