staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
SSE-REJ-001,SSE plc,SSE,"SSE creates a compliant, nuanced virtual assistant using Microsoft Copilot Studio and Azure OpenAI | Microsoft Customer Stories",SSE_partner_partner_case_study_n-a.html,,partner_case_study,technology_partner,not_applicable,AI;Copilot;artificial intelligence,A;B,7,"== HTML DOCUMENT ===== Source file: SSE_partner_partner_case_study_n-a.html Title: SSE creates a compliant, nuanced virtual assistant using Microsoft Copilot Studio and Azure OpenAI | Microsoft Customer Stories This is the Trace Id: ed0d37d9cf432240a6f6a27e60ddd82f Skip to main content Customer Stories ||| crosoft Customer Stories This is the Trace Id: ed0d37d9cf432240a6f6a27e60ddd82f Skip to main content Customer Stories All stories AI & Microsoft Copilot Azure Dynamics 365 Microsoft 365 Microsoft Security Microsoft Power Platform Microsoft Teams Microsoft 365 Dynamics 365 Microsoft Power Platform Mic ||| your organization achieve its goals with secure, scalable AI solutions. Explore AI solutions Follow Microsoft Surface Book 3 Surface Pro Microsoft Copilot Microsoft 365 Windows 11 apps Account profile Download Center Microsoft Store Support Extended holiday returns Order tracking Support Microsoft in ||| als for students and parents Azure for students Microsoft AI Microsoft Security Azure Dynamics 365 Microsoft 365 Microsoft Advertising Microsoft 365 Copilot Microsoft Teams Microsoft Developer Microsoft Learn Support for AI marketplace apps Microsoft Tech Community Microsoft Marketplace Microsoft Power P ||| wer Platform Microsoft Teams Microsoft Security Nonprofit Microsoft Security Azure Dynamics 365 Microsoft 365 Microsoft Teams Windows 365 Microsoft AI Azure Space Mixed reality Microsoft HoloLens Microsoft Viva Quantum computing Sustainability Education Automotive Financial services Government Heal ||| Contact Sales Microsoft 365 Dynamics 365 Microsoft Power Platform Microsoft Teams Microsoft Security Nonprofit Transform work with Microsoft AI Bring intelligence into the flow of work and help your organization achieve its goals with secure, scalable AI solutions. Explore AI solutions Fol ||| ified ORGANIZATION SIZE 10,000+ employees COUNTRY/REGION United Kingdom BUSINESS NEED Cloud-scale analytics Employee experience Hybrid cloud Artificial Intelligence INDUSTRY Power and Utilities Share the story Explore related stories Stories in this industry Stories about this customer ""Previous"" ""Next""",no,yes,webpage_boilerplate,DUPG-001,rejected,correct,"REVIEW: this row captured only page navigation/boilerplate from the Microsoft case study, not the article body. The genuine Nero deployment content was read directly from the full extracted text and authored as SSE-OP-001. Marked 'correct' (excluded from rejected promotion) since it is not itself vague content, just boilerplate."
SSE-REJ-002,SSE plc,SSE,SSE plc Annual Report 2025,SSE_company_annual_report_current_fy2025_2025-06.pdf,,annual_report_current,company_primary,p.305,automation,B,1,er Generation Bindoo Windfarm (ROI) Limited Ireland C 100.0 100.0 Power Generation Brickmount Limited Ireland C 100.0 100.0 Power Generation Building Automation Solutions Limited England and Wales D 100.0 100.0 Dormant Coire Glas Hydro Pumped Storage Limited Scotland A 100.0 100.0 Power Generation Comhlacht G,no,no,ordinary_automation,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
SSE-REJ-003,SSE plc,SSE,SSE plc Annual Report 2025,SSE_company_annual_report_current_fy2025_2025-06.pdf,,annual_report_current,company_primary,p.307,AI,B,1,wables Poland Holdings Limited Scotland A 100.0 – Holding Company SSE Renewables Poland sp z.o.o. (formerly Virtomille Investments sp z.o.o.) Poland AI 100.0 – Renewable Development SSE Renewables Services (UK) Limited Northern Ireland F 100.0 100.0 Renewable Development SSE Renewables UK Limited Nor,no,no,vague_general_ai_reference,,rejected,,
SSE-REJ-004,SSE plc,SSE,SSE plc Annual Report 2025,SSE_company_annual_report_current_fy2025_2025-06.pdf,,annual_report_current,company_primary,p.310,AI,B,1,"ay Bay, Hong Kong AG Hiview House, Highgate Road, London, NW5 1TN AH Corporation Service Company, 251 Little Falls Drive, Wilmington, Delaware, 19808 AI Towarowa no.28, suite 00-839, Warsaw, Poland AJ Roppongi Grand Tower, 3-2-1 Roppongi, Minato-ku, Tokyo, Japan AK Stewart Building Esplanade, Lerwick,",no,no,vague_general_ai_reference,,rejected,,
SSE-REJ-005,SSE plc,SSE,SSE plc Annual Report 2024,SSE_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.74,automation,B,1,"ce. To put these figures in context, SSEN Distribution’s licence areas have been severely affected by several named storms. Investment of £35m in automation across network areas has had a tangible, positive impact on SSEN Distribution’s ability to reconfigure the system quickly and remotely, if a stor",no,no,ordinary_automation,,rejected,,
SSE-REJ-006,SSE plc,SSE,SSE plc Annual Report 2024,SSE_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.75,automation,B,1,"ce. To put these figures in context, SSEN Distribution’s licence areas have been severely affected by several named storms. Investment of £35m in automation across network areas has had a tangible, positive impact on SSEN Distribution’s ability to reconfigure the system quickly and remotely, if a stor",no,no,ordinary_automation,,rejected,,
SSE-REJ-007,SSE plc,SSE,SSE plc Annual Report 2024,SSE_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.83,AI,B,1,"grades during the year. The business strives to continually improve customer experience, including through the expansion of digital tools such as AI to enhance the offering. For additional financial performance commentary please refer to the Group Financial Review. Growth opportunities SSE Ai",no,no,vague_general_ai_reference,,rejected,,
SSE-REJ-008,SSE plc,SSE,SSE plc Annual Report 2024,SSE_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.88,AI,B,1,"ng risk themes include the future consequences of geopolitical change, the potential risk and opportunities created by new technologies including AI, market conditions and changes to the regulatory environment. Full details of our Principal Risks can be found on pages 89 to 95 . Risk informed",no,no,vague_general_ai_reference,,rejected,,
SSE-REJ-009,SSE plc,SSE,SSE plc Annual Report 2024,SSE_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.89,AI,B,1,"ng risk themes include the future consequences of geopolitical change, the potential risk and opportunities created by new technologies including AI, market conditions and changes to the regulatory environment. Full details of our Principal Risks can be found on pages 89 to 95 . Risk informed",no,no,vague_general_ai_reference,,rejected,,
SSE-REJ-010,SSE plc,SSE,SSE plc Annual Report 2024,SSE_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.97,AI,B,1,"s and expectations in relation to efficient, innovative and flexible products and services. – Technological developments and innovation, including AI. – Net-zero strategic goals. – Increased competition from market entrants including international oil companies. – Longer-term capital investme",no,no,vague_general_ai_reference,,rejected,,
SSE-REJ-011,SSE plc,SSE,SSE plc Annual Report 2024,SSE_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.128,AI,B,5,"wer presents both risks and opportunities for SSE. To stay abreast of this important topic, the Board received updates on artificial intelligence (AI), cyber security and data protection, led by senior leaders in each specialism. It also took part in an external session with Gartner to explore ||| ity and data protection, led by senior leaders in each specialism. It also took part in an external session with Gartner to explore the use of AI in business and a digital energy system. Approving a new AI framework As part of its work to review the opportunities of AI, the Board approved a ||| a digital energy system. Approving a new AI framework As part of its work to review the opportunities of AI, the Board approved a new group-wide AI framework to support the development of new use cases. The framework outlines several areas of focus, including how AI will support SSE’s strategi ||| egic vision and how the group will assess and govern its unique risk profile. The Board will periodically review the framework to ensure that, as AI matures, SSE’s approach remains a responsible one. Understanding the evolving cyber landscape The Board reviewed SSE’s cyber risks – and the steps ||| of the digital solutions being developed by teams across SSE. These showcased the potential and identified the challenges of digital platforms, AI assistants, and data- driven forecasting and optimisation models, and provided clear insight on how digital ambitions were being pursued. Underst",no,no,vague_general_ai_reference,DUPG-002,rejected,,
