staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
IHG-GOV-001,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.5,artificial intelligence,B,1,"on how we prioritise, manage risk, grow and generate future value. Focus areas in 2025 spanned brand growth; the effective and responsible use of artificial intelligence; in-depth analysis of our operations and performance across our three regions; talent attraction and Company culture; and our approach to cyberse",no,no,safeguards_and_responsible_use,,governance,,
IHG-GOV-002,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.49,artificial intelligence,B,1,"masterbrand awareness, loyalty strategies and responsible business strategies. – Review of competitor activity analysis. – Updates on readiness for artificial intelligence-enabled guest experience tools. – Internal Audit assurance over guest delivery governance processes. Owner preferences for, or ability to invest in",no,no,ai_governance_framework,,governance,,
IHG-GOV-003,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.50,AI,B,1,"formation governance operating framework. – Policies for information security and personal data handling, including emerging requirements related to AI and cloud-based platforms. – Colleague awareness campaigns on phishing, data integrity, and general security education and testing. – Centralised ex",no,no,ai_governance_framework,DUPG-025,governance,,
IHG-GOV-004,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.53,AI;artificial intelligence;generative AI,A;B,4,"hnology and digital innovation are central to guest experience, operational efficiency and our competitive position. The pace of development in AI, generative AI and cloud platforms, combined with expanding ecosystem complexity, creates uncertainty in execution, governance and resilience. O u r m u l t i - ||| ement processes, including phased rollout roadmaps. – Centralised agile delivery and portfolio management tools. – Defined governance processes for generative AI initiatives. – Colleague training on generative AI tools supported by guidance on responsible use. Monitoring and reporting: – Executive-level monit ||| of how the Board obtained assurance on our risk management and resilience during 2025 – External benchmarking and strategic planning discussion on AI-related disruption and risk appetite. – Audit Committee review of spend governance and control of key products. – Internal Audit reviewed governanc ||| on and risk appetite. – Audit Committee review of spend governance and control of key products. – Internal Audit reviewed governance for generative artificial intelligence adoption. The impact of climate-related physical and transition risks Why this uncertainty is important to the achievement of our strategic objecti",no,no,ai_governance_framework,DUPG-008,governance,,
IHG-GOV-005,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.128,automation,B,1,"t of the global financial governance plan, including initiatives to drive compliance improvements, an enhanced testing cycle, progression of the automation of controls and development of the non-financial reporting metric governance framework. – Focused review of the governance and controls relating",no,no,ai_governance_framework,,governance,,
IHG-GOV-006,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.130,AI,B,1,"sidered insights from Executive Committee sponsors on areas where evolving risk dynamics may require enhanced management focus in 2026, including AI and data governance; operational resilience and supply chain assurance; legal and regulatory complexity; ethical and societal expectations; and f",no,no,ai_governance_framework,,governance,,
IHG-GOV-007,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.271,AI,B,1,"ping global regulatory landscape may introduce new requirements for transparency, responsible use, safeguards for personal data and controls over AI-driven processes, increasing compliance costs, obligations and complexity across jurisdictions. Challenges in deploying and managing AI securely",no,no,safeguards_and_responsible_use,,governance,,
IHG-GOV-008,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2024 -- IHG Hotels & Resorts,IHG_company_annual_report_previous_fy2024_2025-02.pdf,,annual_report_previous,company_primary,p.46,automation,B,1,"d labour relations in certain markets. – Growing opportunities for operational efficiency and effectiveness, including organisational models, and automation. – Continuing stakeholder interest in environmental, social and governance performance. – Frequency of climate-related natural disasters. …refr",no,no,ai_governance_framework,,governance,,
IHG-GOV-009,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2024 -- IHG Hotels & Resorts,IHG_company_annual_report_previous_fy2024_2025-02.pdf,,annual_report_previous,company_primary,p.48,AI,B,1,"hip: – Information governance operating framework. – Policies for information security, handling personal data including requirements relating to AI. – Colleague awareness campaigns on phishing and general security education and testing. – Centralised expertise for information security, priva",no,no,ai_governance_framework,DUPG-025,governance,,
IHG-GOV-010,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2024 -- IHG Hotels & Resorts,IHG_company_annual_report_previous_fy2024_2025-02.pdf,,annual_report_previous,company_primary,p.51,generative AI,A,1,"ttee Processes and controls: – Formalised change management processes, including roadmaps for phased rollout of technology initiatives. – Defined generative AI governance processes. Monitoring and reporting: – Executive-level monitoring of current programme execution. – Tracking of technology debt. Our",no,no,ai_governance_framework,,governance,,
