staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
HSBA-GOV-001,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.32,AI,B,2,"tegy with the need for appropriate controls to help mitigate the associated risks. To help meet the Group’s needs and regulatory expectations for AI, whether developed internally or facilitated through third parties, we continue to enhance our Group-wide AI oversight, governance, lifecycle mana ||| ue to enhance our Group-wide AI oversight, governance, lifecycle management and risk framework. HSBC’s Principles for the Ethical Use of Data and AI are available at www.hsbc.com/ai. We continue to focus on improving the quality and timeliness of the data used to support informed management deci",no,no,ai_governance_framework,DUPG-003,governance,,
HSBA-GOV-002,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.58,AI,B,2,"ically. Since its launch in 2024, the Academy has evolved to focus on specialised technical pathways tailored to employee roles and their level of AI involvement. It provides comprehensive training on AI literacy, responsible AI, and AI ethics, with participants earning badges to recognise their ||| training on AI literacy, responsible AI, and AI ethics, with participants earning badges to recognise their achievements. In 2025, we piloted the AI Ambassador mentorship programme to empower a future-ready workforce. This initiative accelerates skills development and expands professional netw",no,no,safeguards_and_responsible_use,DUPG-007,governance,,
HSBA-GOV-003,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.65,AI,B,1,"ur suppliers in respect of the environment, inclusion and human rights. In 2025, we refreshed the Code to include principles on responsible use of AI. We continue to formalise adherence to the Code by seeking to add clauses to our supplier contracts which support the right to audit and act if a",no,no,safeguards_and_responsible_use,,governance,,
HSBA-GOV-004,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.105,AI,B,1,and the impact on payment transparency and wider payment infrastructure. – We conduct risk assessments and have governance in place (for example on AI and digital assets and currencies) to help enable Group-wide cross-risk focus on areas of emerging technology. – We seek to be transparent as to how,no,no,ai_governance_framework,DUPG-034,governance,,
HSBA-GOV-005,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.183,GenAI;agentic AI,A,2,"ocesses for internal ratings-based (‘IRB’) models; – continued enhancements to our framework for the independent validation of models, including new GenAI techniques that are becoming more widely used; and – continued to work closely with businesses and infrastructure teams in developing a governance ||| sses and infrastructure teams in developing a governance framework to manage the range of risks these AI techniques, including machine learning and agentic AI (autonomous systems powered by AI agents), can introduce. Governance and structure We have completed a review of model risk governance committees a",no,no,ai_governance_framework,DUPG-014,governance,,
HSBA-GOV-006,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.201,AI,B,1,"pics with a future focus including regulation, subsidiary governance, culture, customers, building a future-focused board, climate, transformation, AI and geopolitics. Our annual Global Non-executive Director Update is another way we engage and connect with subsidiary directors to provide updates",no,no,ai_governance_framework,,governance,,
HSBA-GOV-007,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.217,GenAI;automation,A;B,2,"– The GTO reviewed and challenged strategies to leverage the opportunities presented by innovation and new technologies, including in relation to GenAI. – The GTO discussed the recent streamlining of governance and approval processes, enhancement of tooling and upskilling of talent, approach to ri ||| s to leverage new technology and tools to simplify processes; and – embedding of operational resilience across the organisation, including further automation of manual controls. Strategic report ESG review Financial review Risk review Corporate Governance Report Financial statements Additional informa",no,no,ai_governance_framework,DUPG-016,governance,,
HSBA-GOV-008,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.5,AI,B,1,eurodivergent. We also expanded our efforts to support customers with disabilities in our branch spaces. Act responsibly – We have strengthened our AI governance processes to help ensure the responsible development and use of AI and launched www.hsbc.com/ai to increase the transparency of our AI,no,no,ai_governance_framework,,governance,,
HSBA-GOV-009,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.15,AI,B,1,s and best practices. Our governance frameworks aim to enable robust prioritisation of use cases whilst mitigating potential risk associated with AI deployment. HSBC Holdings plc Annual Report and Accounts 2024 13 Strategic report,no,no,ai_governance_framework,,governance,,
HSBA-GOV-010,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.15,AI,B,1,"plications. We are supporting our engineers through the scaled roll out of coding assistants to improve technology productivity, and we are using AI to help protect the bank and our customers more effectively against fraud and cyber crime. We are committed to the responsible use of AI, ensuring",no,no,safeguards_and_responsible_use,,governance,,
HSBA-GOV-011,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.40,AI,B,2,lerate delivery of our strategy with the need for appropriate controls to be in place to mitigate the associated risks. HSBC is committed to using AI responsibly. HSBC’s Principles for the Ethical Use of Data and AI are available at www.hsbc.com/ai. We continue to refine and embed governance an ||| d embed governance and controls into our risk management processes to help meet the Group’s needs and increasing regulatory expectations for when AI is both developed internally and enabled through third parties. We continue to focus on improving the quality and timeliness of the data used to i,no,no,ai_governance_framework,DUPG-018,governance,,
HSBA-GOV-012,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.72,AI,B,2,"AI literacy and promoting responsible AI use throughout the bank. Our Global Mandatory Training covers key principles and foundational concepts of AI usage and we have developed foundational and intermediate pathways to raise awareness of AI principles, ethics, risks and governance. We have als ||| s, ethics, risks and governance. We have also developed specific courses tailored for our senior leadership population that focus on understanding AI and exploring its use cases for business and decision making. Skilling the transition to net zero Our Sustainability Academy continues to support",no,no,ai_governance_framework,DUPG-020,governance,,
HSBA-GOV-013,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.72,AI,B,2,"for our senior leader population, focusing on the importance of risk management and protecting the bank from financial crime. Building responsible AI expertise As we continue to enhance our AI capabilities across the organisation, our new AI Academy helps to support advanced skills development ||| ntinue to enhance our AI capabilities across the organisation, our new AI Academy helps to support advanced skills development aligned with HSBC’s AI strategy. This was launched in response to the growing global interest in AI and focuses on fostering AI literacy and promoting responsible AI use",no,no,safeguards_and_responsible_use,DUPG-021,governance,,
HSBA-GOV-014,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.85,AI,B,1,"tual property rights, supporting our consistent and effective management of intellectual property risk in line with our risk appetite. Responsible AI Artificial intelligence (‘AI’) and other emerging technologies provide the opportunity to process and analyse data at a depth and breadth not previo",no,no,safeguards_and_responsible_use,,governance,,
HSBA-GOV-015,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.86,AI,B,1,"vulnerabilities being exploited, data leakage, third-party security exposure and advanced malware. One key area of focus is the increasing use of AI, which could be used to facilitate sophisticated cyber-attacks. We are enhancing governance processes to manage potential cybersecurity risks, alo",no,no,ai_governance_framework,,governance,,
HSBA-GOV-016,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.132,generative AI,A,1,"s. AI and machine learning models remain a key focus. Progress has been made in enhancing governance activity in this area with particular focus on generative AI due to the pace of technological change and regulatory and wider interest in adoption and usage. – We enhanced our processes, framework and control",no,no,ai_governance_framework,,governance,,
HSBA-GOV-017,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.136,AI,B,1,and the impact on payment transparency and wider payment infrastructure. – We conduct risk assessments and have governance in place (for example on AI and digital assets and currencies) to help enable Group-wide cross-risk focus on areas of emerging technology. – We make public commitments as to ho,no,no,ai_governance_framework,DUPG-034,governance,,
HSBA-GOV-018,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.232,AI;generative AI,A;B,2,"of work to redevelop several IRB models for wholesale credit; – enhancing our framework for the independent validation of models accounting for new generative AI techniques becoming more widely used; and – working closely with businesses and functions in developing a governance framework to manage the range ||| oming more widely used; and – working closely with businesses and functions in developing a governance framework to manage the range of risks these AI and Machine Learning (‘ML’) techniques can introduce. Governance and structure Model risk governance committees at the Group, business and functio",no,no,ai_governance_framework,DUPG-027,governance,,
HSBA-GOV-019,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.252,AI,B,1,"nd safety, well- being, cybersecurity, financial crime and conduct and values, personal conflicts of interest, data quality, privacy and security and AI and our changing world. Report of the Directors | Corporate governance report 250 HSBC Holdings plc Annual Report and Accounts 2024",no,no,ai_governance_framework,,governance,,
HSBA-GOV-020,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2024,HSBA_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.280,generative AI,A,1,"GTOC has reviewed strategies to leverage the opportunities presented by innovation and new technologies, including in relation to digital assets and generative AI. These discussions set clear expectations with regard to risk, control and governance frameworks, enhancements (where required) and associated fund",no,no,ai_governance_framework,,governance,,
HSBA-GOV-021,HSBC,HSBA,HSBC and Mistral AI join forces to accelerate AI adoption across global bank,HSBA_company_press_release_hsbc-and-mistral-ai-join-forces-to-accelerate-ai-adoption-ac_2025-12-01.html,,press_release,company_primary,not_applicable,AI,B,1,"help them innovate, simplify daily tasks, and free up time to deliver for our customers.” Both organisations are committed to the responsible use of AI and will work together to ensure all deployments adhere to the highest standards of AI transparency, data privacy, and technology development. Arthu",no,no,safeguards_and_responsible_use,,governance,,
