company,ticker,sector,annual_report_latest_collected,annual_report_previous_collected,separate_sustainability_report_collected,official_web_search_completed,partner_search_completed,provisional_use_case_count,confirmed_use_case_count,no_disclosure_confirmed,manual_review_status,notes,last_updated_date
AstraZeneca,AZN,Pharmaceuticals & biotechnology,collected,collected,collected,complete,complete,6,3,disclosure_found,review_complete,"AstraZeneca completed as the first end-to-end pilot company. 9 sources logged in source_manifest.csv (AZN-001 to AZN-006, AZN-008 to AZN-010; AZN-007 excluded as outside the project's evidence window). 3 confirmed operational use cases (AZN-UC-002, AZN-UC-003, AZN-UC-004C; review_status = reviewed_confirmed, evidence_strength = 2_moderate). provisional_use_case_count = 6 per the coding manual's cumulative definition (is_genai = yes; evidence_strength in 1_weak/2_moderate/3_strong; review_status not reviewed_excluded; duplicate_of_record_id blank) -- this total is inclusive of the 3 confirmed rows plus 3 additional not-yet-reviewed candidates (AZN-UC-004A, AZN-UC-004B, AZN-UC-004E). Non-operational findings (strategic capability building, governance/enablement, rejected/aspirational) are stored separately in their own CSVs and excluded from both counts.",2026-07-15
Tesco,TSCO,Food & drug retailing,collected,collected,collected,incomplete,complete,2,1,disclosure_found,pending_review,"Batch 1: Tesco taken through the semi-automated pipeline (01-07). 5 sources approved/downloaded/extracted (2 annual reports, 1 sustainability report, 2 technology-partner press releases). 2 additional candidate sources (Mistral AI generative-AI agreement; large-scale colleague AI-assistant trial) remain approval_status=pending in tesco_source_candidates.csv, inaccessible to automated fetch -- official_web_search_completed left incomplete until these are manually verified. 2 operational use case(s) promoted with review_status=reviewed_confirmed (evidence_strength/confidence explicitly approved by the human operator). Only the dunnhumby Creative Studio row (evidence_strength=2_moderate) qualifies for confirmed_use_case_count; the Adobe row (evidence_strength=1_weak) counts toward provisional_use_case_count only, per the manual's counting rules.",2026-07-17
BT Group,BT.A,Telecommunications services,collected,collected,collected,complete,complete,4,4,disclosure_found,pending_review,"4 operational use case(s) proposed for promotion, all with review_status=reviewed_confirmed (evidence_strength/confidence explicitly approved by the human operator). Qualify for confirmed_use_case_count (evidence_strength 2_moderate/3_strong): GenAI Gateway: Openreach engineering-note summarisation; GenAI Gateway: contract analysis for Business/legal/procurement; Sprinklr/Aimee generative-AI customer service; Amazon Q Developer for code generation, testing and transformation.",2026-07-17
Rolls-Royce Holdings,RR,Aerospace & defence,collected,collected,not_started,complete,complete,1,1,disclosure_found,pending_review,"1 operational use case(s) proposed for promotion, all with review_status=reviewed_confirmed (evidence_strength/confidence explicitly approved by the human operator). Qualify for confirmed_use_case_count (evidence_strength 2_moderate/3_strong): Databricks cGAN for preliminary aero-engine design generation.",2026-07-17
Experian,EXPN,Support services,collected,not_started,not_started,incomplete,complete,1,1,disclosure_found,review_complete,"1 operational use case(s) proposed for promotion, all with review_status=reviewed_confirmed (evidence_strength/confidence explicitly approved by the human operator). Qualify for confirmed_use_case_count (evidence_strength 2_moderate/3_strong): Experian Assistant for Model Risk Management -- GenAI-enabled documentation and governance automation. 1 company-primary candidate source(s) remain approval_status=pending: Experian Annual Report 2025 (year ended 31 March 2025).",2026-07-20
Rio Tinto,RIO,Mining,collected,collected,not_started,complete,complete,1,1,disclosure_found,review_complete,"1 operational use case(s) proposed for promotion, all with review_status=reviewed_confirmed (evidence_strength/confidence explicitly approved by the human operator). Qualify for confirmed_use_case_count (evidence_strength 2_moderate/3_strong): GPT-like knowledge agent for the Annual Planning Review workshop.",2026-07-20
Admiral Group,ADM,Insurance,not_started,not_started,not_started,incomplete,complete,0,0,pending_sources,review_complete,"0 operational use case(s) proposed for promotion, all with review_status=reviewed_confirmed (evidence_strength/confidence explicitly approved by the human operator). 3 company-primary candidate source(s) remain approval_status=pending: Admiral Group plc Annual Report and Accounts 2025; Admiral Group plc Sustainability Report 2025; Recognising Excellence: Governance and Responsible AI at Admiral Group.",2026-07-20
Informa,INF,Media,collected,collected,collected,incomplete,complete,0,0,pending_sources,review_complete,"0 operational use case(s) proposed for promotion, all with review_status=reviewed_confirmed (evidence_strength/confidence explicitly approved by the human operator). 1 company-primary candidate source(s) remain approval_status=pending: Informa TechTarget Launches AI Visibility and GEO (Generative Engine Optimization) Content Solutions for the Zero-Click B2B Buyer Journey.",2026-07-20
Diageo,DGE,Beverages,collected,collected,not_started,incomplete,complete,3,3,disclosure_found,review_complete,"3 operational use case(s) proposed for promotion, all with review_status=reviewed_confirmed (evidence_strength/confidence explicitly approved by the human operator). Qualify for confirmed_use_case_count (evidence_strength 2_moderate/3_strong): Johnnie Walker x Scott Naismith generative-AI bottle/label personalisation pilot; Generative-AI chatbot for cybersecurity training and phishing simulation; 'What's Your Cocktail?' generative-AI food-pairing recommendation platform. 1 company-primary candidate source(s) remain approval_status=pending: Diageo Distilled Report 2025.",2026-07-20
National Grid plc,NG,Multiline utilities,collected,collected,not_started,incomplete,complete,0,0,pending_sources,review_complete,"0 operational use case(s) proposed for promotion, all with review_status=reviewed_confirmed (evidence_strength/confidence explicitly approved by the human operator). 1 company-primary candidate source(s) remain approval_status=pending: National Grid Responsible Business Report (current year).",2026-07-20
