staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
PRU-REJ-001,Prudential plc,PRU,"Prudential Pioneers Use of Generative AI for Faster and More Frictionless Medical Claims, in Global-first Partnership with Google Cloud",PRU_company_press_release_n-a_2024-10-24.html,,press_release,company_primary,not_applicable,generative AI,A,1,"===== HTML DOCUMENT ===== Source file: PRU_company_press_release_n-a_2024-10-24.html Title: Prudential Pioneers Use of Generative AI for Faster and More Frictionless Medical Claims, in Global-first Partnership with Google Cloud | Prudential plc Skip to main content PLC Contact us",no,yes,webpage_boilerplate,,rejected,accept,"REVIEW: page navigation/boilerplate from the press release, not the article body -- logged for the audit trail; the genuine MedLM content from the same source was captured separately as PRU-STR-003."
PRU-REJ-002,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.13,AI,B,1,"ll prioritise efficient growth, strengthening delivery across markets and channels and consistently converting growth into cash. In technology and AI, we will complete building our strong foundations and move to a more scaled, domain-led deployment embedded in our core customer and distribution p",no,no,vague_general_ai_reference,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
PRU-REJ-003,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.28,AI,B,1,"implifying and modularising our technology platform, so that it is scalable, more resilient and operationally efficient. We are also using data and AI to drive innovation and enhance growth and efficiency. Alongside these operational deliveries we also completed a number of strategic portfolio man",no,no,vague_general_ai_reference,,rejected,,
PRU-REJ-004,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.30,AI,B,2,"h: driving upward mobility of agents to the Million Dollar Round Table (MDRT) level, recruiting high quality agents and using technology, including AI, to support increased productivity and agent activation. To support this, we are carrying out a substantial investment programme which made good p ||| ction processes, with an increasing focus on quality. During 2025 we increased the contribution to APE sales from our MDRT qualifiers, supported by AI-enabled bespoke digital learning & development programmes, and solidified our position as the second-largest MDRT agency force globally. Agency n",no,no,vague_general_ai_reference,DUPG-001,rejected,,
PRU-REJ-005,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.32,AI,B,1,"th market-specific operating models. We also continue to enhance our health underwriting capabilities through data-driven, inclusive guidelines and AI-powered solutions designed to increase underwriting automation and efficiency. In Hong Kong, we launched MedScreen+, an innovative AI underwriting",no,no,ordinary_automation,,rejected,,
PRU-REJ-006,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.32,AI;GenAI,A;B,2,"r claims, underwriting and fraud, waste and abuse management, to better manage medical costs and keep healthcare affordable. In 2025, we deployed a GenAI solution in close partnership with Google to support medical claim adjudication in Malaysia. We also introduced Data Insights from Claims Experienc ||| ore effectively through targeted training and enhanced performance management. Technology also played a role: in Singapore, we introduced a Health AI chatbot to help agents access information more quickly, alongside recognition programmes that incentivise health sales. Together, these actions sup",no,no,vague_general_ai_reference,DUPG-002,rejected,,
PRU-REJ-007,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.33,automation,B,1,"er lifecycle. In 2025, we accelerated this transformation through upgrades to our digital servicing platforms and continued investment in data and automation. A key milestone this year was the enhancement of PRUServices, our d i g i t a l s e l f - s e r v i c e p l a t f o r m , w h i c h n o w i n",no,no,ordinary_automation,,rejected,,
PRU-REJ-008,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.33,AI;artificial intelligence,B,2,"e n a b l e r o f l o n g - t e r m a d v o c a c y — is now active across ten business units7. CEP enables us to tailor communications by using AI to trigger engagement based on r e a l - t i m e e v e n t s , u s i n g t i m i n g a n d c o n t e n t t h a t i s l i k e l y t o b e ||| e l f - s e r v i c e . The proportion of new business-processing through auto- underwriting was 70 per cent in December 2025. We are also leveraging artificial intelligence across several customer t o u c h p o i n t s . A I - e n a b l e d c l a i m s a d j u d i c a t i o n i s i m p r o v i n g s p e e d , ac",no,no,vague_general_ai_reference,DUPG-003,rejected,,
PRU-REJ-009,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.62,AI,B,1,"al Reserve resumed monetary easing. Although US employment, household consumption and income growth were resilient, supported at least in part by an AI infrastructure-related investment cycle, trade policy uncertainty and higher trade barriers weighed on business sentiment and parts of the manufactu",no,no,vague_general_ai_reference,,rejected,,
PRU-REJ-010,Prudential plc,PRU,Prudential plc Annual Report 2025,PRU_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.67,generative AI,A,1,"main prevalent, owing to the accessibility of malicious tools available to potential adversaries, and increasing advancement of technology such as generative AI and other artificial intelligence methods. Regulatory expectations of cyber security and data protection controls are becoming increasingly complex",no,no,vague_general_ai_reference,,rejected,,
