staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
NWG-REJ-001,NatWest Group,NWG,Deploying new generative AI technology to support our colleagues | NatWest Group,NWG_company_press_release_n-a_2025-04.html,,press_release,company_primary,not_applicable,generative AI,A,1,===== HTML DOCUMENT ===== Source file: NWG_company_press_release_n-a_2025-04.html Title: Deploying new generative AI technology to support our colleagues | NatWest Group Skip to main content Online Banking Contact us Menu Close Close Who we are Who we are W,no,yes,webpage_boilerplate,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
NWG-REJ-002,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.11,AI,B,2,"nd Google, have helped us to accelerate and scale our technology strategy, and in turn, increase productivity. In addition, our newly established AI Research Office is at the forefront of cutting-edge research, leading responsible innovation and building further AI capabilities for the bank. Ou ||| ly strengthened our innovation pipeline. These initiatives give us early access to new and emerging technologies. By providing all colleagues with AI tools to support their daily work, we have freed up capacity to better meet customers’ immediate needs and understand their future requirements. A",no,no,vague_general_ai_reference,DUPG-001,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
NWG-REJ-003,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.12,AI,B,2,"future strength will be decided by how seamlessly a bank operates in service of its customers. Harnessed correctly, technological advancement and AI can be a game-changing accelerant, reducing complexity and removing bureaucracy to help make decisions faster, deepen relationships and deliver tr ||| we are focused on keeping customers safe, protecting them from new and emerging risks, and leading in the responsible and ethical use of data and AI. To realise our ambition, it’s essential we drive active balance sheet and risk management. We are bringing more dynamism to how we manage pricing",no,no,vague_general_ai_reference,DUPG-002,rejected,,
NWG-REJ-004,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.22,AI,B,1,"from 10.0 days in 2024 51% of internal and external business service applications on the cloud in 2025 (2024 – 44%) >12,000 coders have access to AI coding assistants Bank-wide simplification Our focus on bank-wide simplification enabled us to reduce complexity in our operating model, drive long-",no,no,vague_general_ai_reference,,rejected,,
NWG-REJ-005,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.24,automation,B,1,"25: • The Security Operations Centre expanded its team of analysts in 2025, increasing coverage of real-time monitoring, backed by investment in automation. This enabled an increasingly rapid response to threats. • Assurance processes continued to be enhanced to ensure new products and services have",no,no,ordinary_automation,,rejected,,
NWG-REJ-006,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.24,AI,B,1,"voice for business in 2025, convening our inaugural Mid-Market Growth Council meeting to support mid-market companies. • Through NatWest Group’s AI Centre of Excellence, we continued to develop the use of AI technologies to enhance our defensive capabilities against the threat of bad actors u",no,no,vague_general_ai_reference,,rejected,,
NWG-REJ-007,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.25,AI;generative AI,A;B,5,"climate-related risks and opportunities The financial services industry is undergoing rapid transformation, driven by accelerated advancements in generative AI, digital technology and data capabilities. These changes are reshaping business models, customer expectations, and risk landscapes. Our response Na ||| e changes are reshaping business models, customer expectations, and risk landscapes. Our response NatWest Group is aiming to be a trusted leader in AI-enabled financial services, investing in AI at scale and modernising our digital services: • We’re transforming our data estate to provide a singl ||| vide a single view of each customer and better anticipate customers’ needs. We have formed strategic partnerships to help us build a centralised, AI-powered data platform, empowering colleagues, and enabling real-time customer engagement. • We’ve embedded AI in our customer journeys to improve ||| mpowering colleagues, and enabling real-time customer engagement. • We’ve embedded AI in our customer journeys to improve the customer experience. AI tools, such as Cora, our virtual assistant, are improving timeliness and quality of responses to customers, and AI has reduced complaints handling ||| to customers, and AI has reduced complaints handling time by c.19 minutes per case, saving the equivalent of over 22,000 hours in 2025. • We use AI to aid in the detection and prevention of fraud and financial crime, with innovations like Tunic Pay enhancing risk assessment and customer protec",no,no,vague_general_ai_reference,DUPG-003,rejected,accept,"REVIEW: describes Cora (virtual assistant) reducing complaints-handling time by ~19 minutes/case (22,000+ hours saved in 2025) -- a concrete, quantified, live claim, but this specific passage does not explicitly label Cora's technology as generative AI/LLM (only 'AI tools'), so is conservatively kept as strategic-adjacent background evidence rather than promoted to a second operational use case. Logged for the audit trail as a borderline case worth revisiting if more explicit language is found."
NWG-REJ-008,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.28,AI,B,3,"ed to rank first among UK banks in the Payment Systems Regulator league tables. Customers’ expectations continue to evolve at pace and we are using AI to create a more connected, agile, and personalised experience for our customers. Cora, our virtual assistant, handled millions of conversations e ||| istant, handled millions of conversations each month, giving customers quick, easy access to help whenever they needed it. We are also leveraging AI to remove complexity for colleagues, saving over 70,000 hours through automated call and chat summaries and another 17,500 hours through faster, h ||| mated call and chat summaries and another 17,500 hours through faster, high- quality complaint responses. Colleagues completed over 20,000 hours of AI learning in 2025 and more than 12,000 engineers bankwide now have access to AI coding assistants, supporting efficiency and faster feature deploy",no,no,vague_general_ai_reference,DUPG-004,rejected,,
NWG-REJ-009,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.31,AI,B,1,"Business performance review continued Additionally, the implementation of AI tools has delivered notable efficiencies. For example, by reducing call summarisation time by more than 70% we have been able to increase the amo",no,no,vague_general_ai_reference,,rejected,,
NWG-REJ-010,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.34,AI;generative AI,A;B,3,"use digital channels to interact with us, enabling our front-line teams to focus their support where customers most value it. We also deployed new generative AI technology, for the benefit of our customers and colleagues. For example, all complaint calls are now summarised and transcribed by AI, this means ||| eans we have a clearer and accurate record of the conversation enabling us to answer complaints faster and improve services. In Business Banking, AI summarisation is helping more than 200 colleagues save time and increase capacity for more impactful customer interactions. We improved flexibility ||| continue to invest in technology to make banking simpler and strengthen customer relationships. This includes equipping relationship managers with AI-enabled tools, enhancing Bankline as a leading digital platform, and expanding more digital journeys with increased product and self-service capab",no,no,vague_general_ai_reference,DUPG-005,rejected,,
NWG-REJ-011,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.35,AI,B,1,"e challenge of how investors access shareholder information in different ways. This included ongoing consideration of investors’ increasing use of AI search. How we engaged • Following the 2024 transaction to acquire the retail banking assets and liabilities of Sainsbury’s Bank, NatWest Group s",no,no,vague_general_ai_reference,,rejected,,
NWG-REJ-012,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.36,AI,B,1,"that shifts the balance towards supporting economic growth, while maintaining proportionate risk management. How we engaged • We introduced a new AI-powered sustainability risk tool that enables NatWest Group to proactively assess and manage supplier risks. It integrates multi-source data and r",no,no,vague_general_ai_reference,,rejected,,
