staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BEZ-REJ-001,Beazley,BEZ,Beazley plc Annual Report and Accounts 2025,BEZ_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.14,AI,B,1,"this saw us establish a Geopolitical Risk Council, which built on the success of our Cyber Threat Council. During the year we also established an AI-specific workstream to address the potential systemic risks of this growing technology. Innovation for long-term growth Innovation is our tool for",no,no,vague_general_ai_reference,,rejected,,
BEZ-REJ-002,Beazley,BEZ,Beazley plc Annual Report and Accounts 2025,BEZ_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.27,artificial intelligence,B,1,"logy and talent. Continuing to develop our understanding and maintaining oversight of emerging risks remains key, including those related to our artificial intelligence and climate-related exposures. Climate risk is a pervasive risk that spans multiple risk categories including strategic, insurance, market and ope",no,no,vague_general_ai_reference,,rejected,,
BEZ-REJ-003,Beazley,BEZ,Beazley plc Annual Report and Accounts 2025,BEZ_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.30,artificial intelligence,B,1,"management systems and processes continue to strengthen our risk management capabilities in an increasingly complex landscape shaped by advances in artificial intelligence, rising geopolitical tensions and climate-related natural hazards. Outlook • While we continue to assess the Group's insurance risk outlook as stab",no,no,vague_general_ai_reference,,rejected,,
BEZ-REJ-004,Beazley,BEZ,Beazley plc Annual Report and Accounts 2025,BEZ_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.34,AI,B,1,"ments Beazley | Annual Report 2025 30 Risk management and compliance continued Risk and Description Priority Key Mitigations Artificial Intelligence (AI) The rapid advancement and proliferation of AI introduces risks across underwriting, operational processes and broader societal impacts. HIGH • Ov",no,no,vague_general_ai_reference,,rejected,,
BEZ-REJ-005,Beazley,BEZ,Beazley plc Annual Report and Accounts 2025,BEZ_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.37,RAG,A,1,"Executive team and the BFL Board. • To monitor culture, we have piloted a tracker with six cultural drivers and measurable metrics, rolled up into RAG statuses and an overall cultural RAG. A first iteration was highlighted to the Executive Committee in January 2026 and will be reported every six",no,no,vague_general_ai_reference,,rejected,,
BEZ-REJ-006,Beazley,BEZ,Beazley plc Annual Report and Accounts 2025,BEZ_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.60,AI,B,1,ompletion rate in 2025 Information Security and Data Protection at Beazley 100% Financial Crime Prevention at Beazley 100% Whistleblowing 100% The AI Mindset: Skills for the future 100% Conduct Risk and Conduct Rules at Beazley 100% Procurement Training 100% Modern Slavery Training 32 relevant co,no,no,vague_general_ai_reference,,rejected,,
BEZ-REJ-007,Beazley,BEZ,Beazley plc Annual Report and Accounts 2025,BEZ_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.123,artificial intelligence,B,1,"and future opportunities. • A deep dive into the Group’s evolving target operating model, to support objectives to de-risk, and to explore evolving artificial intelligence capabilities. • Exploring alternative market opportunities (as described in the strategic report). • Discussing the macroeconomic environment with an",no,no,vague_general_ai_reference,,rejected,,
BEZ-REJ-008,Beazley,BEZ,Beazley plc Annual Report and Accounts 2025,BEZ_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.132,AI;artificial intelligence,B,2,"ted by the Directors in 2025 included topics such as Directors' responsibilities for climate-related matters and other changes to legal duties; an AI session with Beazley senior management and Directors; financial crime; cyber security and risk. As part of its process during 2025, the Committee ||| nd capital; corporate crime; crises and scenario planning; outsourcing and operations; information and cyber security; cloud, data, analytics, and artificial intelligence opportunities and threats; and sustainability reporting. In addition, a number of optional additional training sessions will be provided digitall",no,no,vague_general_ai_reference,DUPG-001,rejected,,
BEZ-REJ-009,Beazley,BEZ,Beazley plc Annual Report and Accounts 2025,BEZ_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.144,automation,B,1,res for the 2024 year end. • Recommending the risk appetite statements for 2025. • Monitoring progress delivery of the systems modernisation and automation programme. Q2 • Approving the 2025 ORSA and accompanying stress test analysis. • Considering the emerging risks to the business. • Recommending th,no,no,ordinary_automation,,rejected,,
BEZ-REJ-010,Beazley,BEZ,Beazley plc Annual Report and Accounts 2025,BEZ_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.146,automation,B,1,"e creep and ensured that the programme remained on track for delivery. The programme has seen large scale new systems rollout during 2025, enhancing automation, operational efficiency and data accuracy. Significant progress in decommissioning legacy systems in 2025 will continue through 2026. The Committee",no,no,ordinary_automation,,rejected,,
