company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Auto Trader Group,AUTO,,AUTO_company_annual_report_current_fy2025_2025-05.pdf,p.6,AI,B,"continue to enhance our product offering, enabling more of the buying journey to be completed online, and have launched ‘Co-Driver’, our suite of AI powered tools, designed to assist customers in advertising their vehicles more efficiently and effectively. We continue to invest in our people,",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Auto Trader Group,AUTO,,AUTO_company_annual_report_current_fy2025_2025-05.pdf,p.8,AI,B,"ortal system saw over 1.8 million logins per month over the last year and our API technology services, which supply data, stock management and now AI-enabled vehicle descriptions and smart image sorting and tagging, were called 91 million times per month (2024: 86 million). This demonstrates how",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Auto Trader Group,AUTO,,AUTO_company_annual_report_current_fy2025_2025-05.pdf,p.8,AI,B,"tion and performance of the car, check the history of the vehicle and whether it has outstanding finance, seamlessly use artificial intelligence (‘AI’) to get a market value for the car they’re buying or selling, consider retailer reviews, apply for finance and reserve cars online. This year we",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Auto Trader Group,AUTO,,AUTO_company_annual_report_current_fy2025_2025-05.pdf,p.8,AI,B,"by improving descriptions and imagery and calling out the unique aspects of each individual vehicle. Co-Driver is an umbrella brand for a range of AI-enabled products that we plan to launch in the years ahead, as we look to make our data, technology and services available to every retailer regar",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Auto Trader Group,AUTO,,AUTO_company_annual_report_current_fy2025_2025-05.pdf,p.8,AI,B,"tailer regardless of their size or technical capability. We believe we have a significant advantage in our platform products, as the output of any AI application will only ever be as good as the data upon which it is based. We have the most complete and comprehensive vehicle dataset in the UK, a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Auto Trader Group,AUTO,,AUTO_company_annual_report_current_fy2025_2025-05.pdf,p.8,AI,B,"whilst reducing the amount of time it takes for retailers to advertise their vehicles. The first three products include Smart Image Management, AI Generated Descriptions and Vehicle Highlights, all of which assist retailers in getting an advert live quickly and accurately and in delivering co",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Auto Trader Group,AUTO,,AUTO_company_annual_report_current_fy2025_2025-05.pdf,p.8,AI,B,"and in delivering consistency and transparency for car buyers. Smart Image Management means retailers just need to upload their images and using AI we will tag and categorise the images, order them and highlight any that are missing. This process utilises the huge amount of consumer data we ha",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Auto Trader Group,AUTO,,AUTO_company_annual_report_current_fy2025_2025-05.pdf,p.8,AI,B,"This process utilises the huge amount of consumer data we have to optimise the image order, to maximise engagement with that retailer’s vehicle. AI Generated Descriptions leverage everything we know about a specific vehicle, the vehicles it is competing with and what buyers of the vehicle are",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Auto Trader Group,AUTO,,AUTO_company_annual_report_current_fy2025_2025-05.pdf,p.14,AI,B,"car buyers. Our customers The most effective sales channel with market-leading insight, data and products. Continue to drive efficiencies with AI and more of the buying journey being completed online. Our people We continue to evolve our culture so everyone can develop and achieve their c",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Auto Trader Group,AUTO,,AUTO_company_annual_report_current_fy2025_2025-05.pdf,p.14,AI,B,r people We continue to evolve our culture so everyone can develop and achieve their career aspirations. Increasingly better informed car buyers AI enabled tools and efficiencies More of the buying journey online Real time vehicle updates for customers Increased choice through new car and,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
