duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Hiscox,HSX-REJ-002,rejected_candidates_staging,webpage_boilerplate,not_applicable,3 webpage-boilerplate passages on the same page/section of HSX_partner_partner_case_study_n-a.html consolidated into one rejected row.,yes,,
DUPG-002,Hiscox,HSX-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.6) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Hiscox,HSX-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.7) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Hiscox,HSX-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.18) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Hiscox,HSX-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.19) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-006,Hiscox,HSX-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.21) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Hiscox,HSX-REJ-015,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.26) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Hiscox,HSX-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.29) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Hiscox,HSX-REJ-020,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.38) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Hiscox,HSX-GOV-002,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.43) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-011,Hiscox,HSX-REJ-021,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.43) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,Hiscox,HSX-REJ-025,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.65) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,Hiscox,HSX-REJ-028,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.92) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,Hiscox,HSX-REJ-031,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.124) of HSX_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,Hiscox,HSX-REJ-033,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (not_applicable) of HSX_company_press_release_n-a_2024-08-12.html describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-016,Hiscox,HSX-REJ-034,rejected_candidates_staging,same_source_consolidation,not_applicable,21 passages on the same page (not_applicable) of HSX_partner_partner_case_study_n-a.html describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-017,Hiscox,HSX-REJ-013;HSX-REJ-032,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.99,Passages in HSX_company_annual_report_current_fy2025_2026-03.pdf and HSX_company_annual_report_previous_fy2024_2025-03.html are textually very similar (difflib ratio 0.99).,yes,,
