company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.9,AI,B,"eview of the Group’s cyber risks and readiness • Digital: ongoing review of the Group’s investment in Digital and Services capability and the use of AI in addition to oversight of the ERP programme • People and culture: talent development, succession planning and whistle-blowing updates • Governa",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.24,large language model,A,"creased pull-through revenues. With a focus on enhancing sales engineer productivity, we have also continued to refine and develop our proprietary large language model-based training and solutions tool, MiM. This tool has been built using our extensive bank of proprietary application knowledge to reduce the time r",likely_genai,medium,"Stage A high-precision generative-AI term 'large language model' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.56,AI,B,"area for our Electric Thermal Solutions (ETS) Business. Datacentres underpin the digital economy, supporting everything from cloud computing to AI-driven applications. ICF, a global consulting and technology firm, predicts that by 2030 up to 25% of USA power production could be consumed by",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.56,AI,B,"bal priorities. This growth is not limited to technology giants; other industries, such as Banking, are also investing heavily in datacentres for AI-driven applications. The expansion of the Datacentre sector drives demand for supporting products and services, such as industrial heaters, heat",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.88,AI,B,"ctrum of emerging risks across operational, financial, strategic, compliance, reputational, market, security and physical domains. The emergence of AI, with the pace of its development and its impact already evident across multiple facets of society, is an area of focus for our Group and our Board",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.88,AI,B,"act already evident across multiple facets of society, is an area of focus for our Group and our Board. While we recognise the significant benefits AI can bring to our organisation, we are also aware of the growing risks it poses. In 2025, we have closely monitored developments in AI, initiated t",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.88,AI,B,"risks it poses. In 2025, we have closely monitored developments in AI, initiated training for our Board and Executives and identified the various AI-related opportunities and risks for our Group. We continue to monitor the evolving role of AI across our business and organisation. In 2026, our fo",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.88,AI,B,"cross our business and organisation. In 2026, our focus will be on strengthening internal awareness of the risks and opportunities associated with AI within the Group. Additionally, we have initiated a review of our AI governance framework, which will be further developed to ensure the secure, re",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.88,AI,B,"ve initiated a review of our AI governance framework, which will be further developed to ensure the secure, responsible and ethical integration of AI within our operations. Key areas of ongoing focus during 2025 included: • Trade policy shifts: the evolving landscape of tariffs and protectionist",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.91,AI,B,"gh-profile cyber incidents, severely disrupting operations and inflicting significant financial losses. Cybercriminals are increasingly deploying AI-enabled attacks with increasing sophistication and scale. Very high High Balanced Low Very low Our commitment to implementing and maintaining robu",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.105,AI,B,"Committee updates received during 2025, which highlighted the growing complexity of risks such as cybersecurity, regulatory change, sustainability, AI and geopolitical factors, the Board decided to expand the Audit Committee’s remit from April 2026, to include risk oversight more fully. This refle",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.106,AI,B,"ing 11 Operational 9 M&A and R&D 11 Restructuring, Rationalisation and Change Management 10 Risk Management 10 Digital strategy 7 Business systems (AI/ Data Management) 9 Digital risk, privacy and cybersecurity 8 Environmental, health and safety 9 Organisational Culture (DE&I) 7 Innovation 9 Board",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.108,AI,B,"December 2020 Skills and experience Angela has over 30 years of leadership experience, with expertise in information technology, including digital/AI, operational excellence and strategy. She held senior executive roles at IBM, including VP of Transformation and COO of Watson Health. In the pas",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.109,LLM,A,"Committee C Colleague Engagement Committee R Remuneration C ommittee RK Risk Management Committee Denotes Committee Chair Céline Barroche LLM, PGDL, ACG Group General Counsel and Company Secretary Appointed as Group General Counsel and Company Secretary September 2024 Skills and experienc",likely_genai,medium,"Stage A high-precision generative-AI term 'LLM' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.122,generative AI,A,"efficiency Our long-term investments in systems are recognised by colleagues and some are seeing the benefits in certain areas, such as the use of generative AI in developing MiM. Co-developed with teams across the Group, MiM is being designed to give sales engineers instant access to trusted internal cont",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.123,AI,B,lleague Engagement Survey and oversight of the action plans resulting from the survey • Focus on the impact of the drive for growth and the use of AI across the Group - with a theme of ‘customer obsession’ Spirax Group plc A nnual Report 2025 121 Governance Report,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.127,AI,B,and monitoring for the Committee. We have also been tracking the emerging opportunities and challenges posed by fast-emerging technologies such as AI. The emergence of AI in particular offers significant opportunities including the ability to deliver enhanced customer experience while also captur,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.127,AI,B,gnificant opportunities including the ability to deliver enhanced customer experience while also capturing greater efficiencies. The pace at which AI applications are evolving makes it an imperative that we monitor carefully the impact on our organisation and that we develop a deep understanding,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.127,AI,B,"itor carefully the impact on our organisation and that we develop a deep understanding of how to manage the associated risks. We currently monitor AI and its impact in a number of our Principal Risks and are taking a holistic approach to AI governance, with the oversight of our Board, as well as",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.127,AI,B,"d our financial performance and resilience. Cybersecurity risk Cybersecurity remains an area of focus with risks increasing due to the emergence of AI. A successful cyberattack has the potential to disrupt operations, compromise sensitive data and impact customer trust and regulatory compliance.",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Spirax Group,SPX,,SPX_company_annual_report_current_fy2025_2026-03.pdf,p.130,artificial intelligence,B,"argeted training and update sessions to ensure members remained informed of evolving regulatory requirements and best practice. Key topics included Artificial Intelligence governance and responsible use, as well as cybersecurity training. The Committee also received ongoing updates on developments in corporate govern",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
