company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.14,AI,B,"this saw us establish a Geopolitical Risk Council, which built on the success of our Cyber Threat Council. During the year we also established an AI-specific workstream to address the potential systemic risks of this growing technology. Innovation for long-term growth Innovation is our tool for",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.27,artificial intelligence,B,"logy and talent. Continuing to develop our understanding and maintaining oversight of emerging risks remains key, including those related to our artificial intelligence and climate-related exposures. Climate risk is a pervasive risk that spans multiple risk categories including strategic, insurance, market and ope",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.30,artificial intelligence,B,"management systems and processes continue to strengthen our risk management capabilities in an increasingly complex landscape shaped by advances in artificial intelligence, rising geopolitical tensions and climate-related natural hazards. Outlook • While we continue to assess the Group's insurance risk outlook as stab",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.34,AI,B,"ments Beazley | Annual Report 2025 30 Risk management and compliance continued Risk and Description Priority Key Mitigations Artificial Intelligence (AI) The rapid advancement and proliferation of AI introduces risks across underwriting, operational processes and broader societal impacts. HIGH • Ov",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.34,AI,B,"ncement and proliferation of AI introduces risks across underwriting, operational processes and broader societal impacts. HIGH • Oversight through AI Steering Committee and AI Governance & Controls Committee; • Responsible AI assessments and policy frameworks; • Third-party controls for ethical de",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.34,AI,B,ommittee; • Responsible AI assessments and policy frameworks; • Third-party controls for ethical deployment; and • Underwriting exposure monitored by AI Exposure Working Group and Emerging & Complex Risk Group. Geopolitical and conflict escalation Intensifying geopolitical tensions and conflict escal,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.37,RAG,A,"Executive team and the BFL Board. • To monitor culture, we have piloted a tracker with six cultural drivers and measurable metrics, rolled up into RAG statuses and an overall cultural RAG. A first iteration was highlighted to the Executive Committee in January 2026 and will be reported every six",likely_genai,medium,"Stage A high-precision generative-AI term 'RAG' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.60,AI,B,ompletion rate in 2025 Information Security and Data Protection at Beazley 100% Financial Crime Prevention at Beazley 100% Whistleblowing 100% The AI Mindset: Skills for the future 100% Conduct Risk and Conduct Rules at Beazley 100% Procurement Training 100% Modern Slavery Training 32 relevant co,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.77,RAG,A,"RIs are designed to provide early warning signals that can be addressed through the Company's governance structure. They use a red, amber and green (RAG) rating system to indicate whether a risk is within the Company's appetite and whether any escalation is necessary. The KRIs related to climate chan",likely_genai,medium,"Stage A high-precision generative-AI term 'RAG' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.110,AI,B,"erwriting divisions and three regulatory platforms, financial and investment performance, operational matters including cyber security, data, IT, and AI governance, as well as oversight of other key functions and activities of the Group. All Executive Directors are members of the Executive Committee",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.123,artificial intelligence,B,"and future opportunities. • A deep dive into the Group’s evolving target operating model, to support objectives to de-risk, and to explore evolving artificial intelligence capabilities. • Exploring alternative market opportunities (as described in the strategic report). • Discussing the macroeconomic environment with an",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.132,AI,B,"ted by the Directors in 2025 included topics such as Directors' responsibilities for climate-related matters and other changes to legal duties; an AI session with Beazley senior management and Directors; financial crime; cyber security and risk. As part of its process during 2025, the Committee",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.132,artificial intelligence,B,"nd capital; corporate crime; crises and scenario planning; outsourcing and operations; information and cyber security; cloud, data, analytics, and artificial intelligence opportunities and threats; and sustainability reporting. In addition, a number of optional additional training sessions will be provided digitall",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.144,automation,B,res for the 2024 year end. • Recommending the risk appetite statements for 2025. • Monitoring progress delivery of the systems modernisation and automation programme. Q2 • Approving the 2025 ORSA and accompanying stress test analysis. • Considering the emerging risks to the business. • Recommending th,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.146,automation,B,"e creep and ensured that the programme remained on track for delivery. The programme has seen large scale new systems rollout during 2025, enhancing automation, operational efficiency and data accuracy. Significant progress in decommissioning legacy systems in 2025 will continue through 2026. The Committee",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.147,AI,B,"The Committee’s key priorities for 2026 are to monitor and mitigate a dynamic set of external risks – especially those related to climate change, AI, cyber and geopolitical instability – while maintaining strong operational and financial resilience and ensuring regulatory compliance across all",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.147,artificial intelligence,B,"the year which included (but were not limited to) geopolitical instability and economic uncertainty, regulatory shift, cyber security threats and artificial intelligence. The principal and emerging risks to the business are described in more detail in the Risk management and compliance report from page 23. • Risk",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_current_fy2025_2026-03.pdf,p.147,artificial intelligence,B,"Specialty Risk impact, multiple catastrophe events with modelling errors, reinsurance exhaustion, Group downgrade risk, geopolitical conflict and artificial intelligence risk. The reverse stress tests carried out in 2025 concluded that the Group is sufficiently capitalised to sustain extreme and plausible events as",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_previous_fy2024_2025-03.pdf,p.13,AI,B,"5623 and with the start of a new partnership with Ki algorithmic underwriting. As we moved through the year, we began to see the real benefits that AI will bring to our underwriting and claims teams, and we also continued to look closely to identify new risks, including the threat of AI-washing or",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_previous_fy2024_2025-03.pdf,p.13,AI,B,"overstate the benefits the technology will bring to their operations. We expect to see improved understanding of the risks and the opportunities of AI continue to come through in 2025. Despite a challenging and volatile claims environment, our success in 2024 is based on our fundamental values, f",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_previous_fy2024_2025-03.pdf,p.55,RAG,A,"Is are designed to provide early warning signals that can be addressed through the Company's governance structure. They use a red, amber, and green (RAG) rating system to indicate whether a risk is within the Company's appetite and whether any escalation is necessary. The KRIs related to climate chan",likely_genai,medium,"Stage A high-precision generative-AI term 'RAG' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Beazley,BEZ,,BEZ_company_annual_report_previous_fy2024_2025-03.pdf,p.71,AI,B,"lping firms build resilience in this era of accelerating risk. The risk areas covered by the reports included geopolitical, cyber & tech (including AI) and a range of boardroom risks, and we published tailored regional versions of the reports in France, Germany, Spain, Singapore/Asia and Canada. I",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_previous_fy2024_2025-03.pdf,p.78,artificial intelligence,B,"e emerging risks which the Group monitors or undertakes focused work on. Key emerging risks in 2024 included geopolitical and conflict escalation, Artificial Intelligence, a systemic cyber event, political and social unrest, supply chain risk and climate change. The Board carries out a robust assessment of the Group",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_previous_fy2024_2025-03.pdf,p.88,artificial intelligence,B,"xecution of the Company's strategy. During the Board’s annual strategy day, we met in New York in person, to discuss the Group's business strategy, Artificial Intelligence, strategy and governance, technology and modernisation, and sustainability. We received valuable insights from external parties such as our banker",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_previous_fy2024_2025-03.pdf,p.101,AI,B,"ion of emerging risk, the timeframe and process of managing emerging risks, and a detailed assessment of Beazley’s emerging risks. • A deep dive on AI C, S, E, Co, En May Purchase of Industry Loss Warranty (ILW) and cyber catastrophe bond For more information, see the section 172 statement (princ",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Beazley,BEZ,,BEZ_company_annual_report_previous_fy2024_2025-03.pdf,p.115,AI,B,"ee agreed the training plan for 2025. Topics will include climate risk; the European Union’s Corporate Sustainability Reporting Directive; emerging AI trends, risks and legislation; financial crime; corporate governance reform; information security and cyber security; and tax. In addition, a numb",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
