duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Prudential plc,PRU-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.30) of PRU_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Prudential plc,PRU-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.32) of PRU_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Prudential plc,PRU-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.33) of PRU_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Prudential plc,PRU-GOV-002,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.68) of PRU_company_annual_report_current_fy2025_2026-03.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-005,Prudential plc,PRU-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.68) of PRU_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Prudential plc,PRU-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.70) of PRU_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Prudential plc,PRU-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.81) of PRU_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Prudential plc,PRU-REJ-014,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.82) of PRU_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Prudential plc,PRU-REJ-015,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.83) of PRU_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Prudential plc,PRU-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.84) of PRU_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Prudential plc,PRU-REJ-025,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.180) of PRU_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,Prudential plc,PRU-REJ-034,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.28) of PRU_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,Prudential plc,PRU-REJ-037,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.69) of PRU_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,Prudential plc,PRU-GOV-014,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.70) of PRU_company_annual_report_previous_fy2024_2025.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-015,Prudential plc,PRU-REJ-038,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.70) of PRU_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-016,Prudential plc,PRU-REJ-042,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.83) of PRU_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-017,Prudential plc,PRU-REJ-043,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.84) of PRU_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-018,Prudential plc,PRU-REJ-044,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.85) of PRU_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-019,Prudential plc,PRU-REJ-045,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.86) of PRU_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-020,Prudential plc,PRU-GOV-023,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.200) of PRU_company_annual_report_previous_fy2024_2025.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-021,Prudential plc,PRU-REJ-054,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.200) of PRU_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-022,Prudential plc,PRU-REJ-056,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.210) of PRU_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-023,Prudential plc,PRU-REJ-059,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (not_applicable) of PRU_company_press_release_n-a_2024-10-24.html describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-024,Prudential plc,PRU-GOV-002;PRU-GOV-014,governance_candidates_staging;governance_candidates_staging,repeated_cross_year_disclosure,0.51,Passages in PRU_company_annual_report_current_fy2025_2026-03.pdf and PRU_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.51).,yes,,
DUPG-025,Prudential plc,PRU-GOV-003;PRU-GOV-015,governance_candidates_staging;governance_candidates_staging,repeated_cross_year_disclosure,0.97,Passages in PRU_company_annual_report_current_fy2025_2026-03.pdf and PRU_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.97).,yes,,
