staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
UU-REJ-001,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2025,UU_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.5,automation,B,1,"ve planning to deliver the best -value solutions in the long term. We exploit innovation to find better ways of working, capitalising on digital and automation opportunities. We continue to raise efficient financing and manage risk prudently. We also leverage partnerships and drive value in our supply chai",no,no,ordinary_automation,,rejected,,
UU-REJ-002,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2025,UU_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.8,artificial intelligence,B,1,"anticipated demand increases, and a fleet of alternative supply vehicles, this helps us to deliver a more resilient water supply. We use sensors and artificial intelligence, and have dedicated teams to detect and fix leaks across our pipes as well as helping customers identify leaks on their property, which can save the",no,no,vague_general_ai_reference,DUPG-003,rejected,,
UU-REJ-003,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2025,UU_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.17,artificial intelligence,B,1,"hnology and innovation Developments New technology and innovation can create opportunities for improvements in service and efficiency. The use of artificial intelligence and machine learning helps us to improve performance, and is central to our Dynamic Network Management approach. We work c losely with suppliers and",no,no,vague_general_ai_reference,DUPG-004,rejected,,
UU-REJ-004,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2025,UU_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.18,automation,B,1,"e planning to deliver the best - value solutions in the long term. We exploit innovation to find better ways of working, capitalising on digital and automation opportunities. We continue to raise efficient financing and manage risk prudently. We also leverage partnerships and drive value in our supply chain",no,no,ordinary_automation,,rejected,,
UU-REJ-005,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2025,UU_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.24,artificial intelligence,B,1,"data: Ageing technology assets, and poor-quality data can threaten efficiency and security. In addition, the pace of technological change (including artificial intelligence), and seeking opportunities through increased automation and system integration, can provide challenges in the adaptability of the workforce and in",no,no,ordinary_automation,DUPG-005,rejected,,
UU-REJ-006,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2025,UU_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.27,machine learning,B,1,"pair and replacement of assets due to proactive and reactive activity. • Dynamic Network Management: Proactive decision making and action driven by machine learning system monitoring of strategically placed sensors. • Licence to operate: Training and competence. Other controls include customer awareness, trade",no,no,vague_general_ai_reference,,rejected,,
UU-REJ-007,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2025,UU_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.33,artificial intelligence,B,2,"this AMP. Technological innovation We recognise technological innovation as an opportunity to improve efficiency, service levels and resilience. Artificial intelligence and machine learning is already central to our Dynamic Network Management approach that we have adopted across our wastewater system, and we continu ||| l expansion could increase the exposure to cyber attacks. Hydrogen generation and the data centre market (driven by factors such as the expansion of artificial intelligence and cloud computing) are expected to grow substantially, both of which require significant amounts of wate r –putting further unprecedented demand",no,no,vague_general_ai_reference,DUPG-001,rejected,,
UU-REJ-008,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2024,UU_company_annual_report_previous_fy2023-24_2024-05.pdf,,annual_report_previous,company_primary,p.25,artificial intelligence,B,1,"ticipated demand increases, and a fleet of alternative supply vehicles, this helps us to deliver a more resilient water supply . We use sensors and artificial intelligence, and have dedicated teams to detect and fix leaks across our pipes as well as helping customers identify leaks on their property , which can save t",no,no,vague_general_ai_reference,DUPG-003,rejected,,
UU-REJ-009,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2024,UU_company_annual_report_previous_fy2023-24_2024-05.pdf,,annual_report_previous,company_primary,p.27,artificial intelligence,B,1,"47 to 48 T echnology and innovation New technology and innovation can create opportunities for improvements in service and efficiency . The use of artificial intelligence and machine learning helps us to improve performance, and is central to our Dynamic Network Management approach as set out in the infographic on",no,no,vague_general_ai_reference,DUPG-004,rejected,,
UU-REJ-010,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2024,UU_company_annual_report_previous_fy2023-24_2024-05.pdf,,annual_report_previous,company_primary,p.33,automation,B,1,"ising efficient financing and managing risk prudently , leveraging partnerships and driving value in our supply chain, capitalising on digital and automation opportunities, and removing areas of duplication or waste. Material themes addressed: • Financial risk management • Innov ation • Responsible s",no,no,ordinary_automation,,rejected,,
UU-REJ-011,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2024,UU_company_annual_report_previous_fy2023-24_2024-05.pdf,,annual_report_previous,company_primary,p.56,artificial intelligence,B,1,": Ageing technology assets, and poor quality data can threaten efficiency and security . In addition, the pace of technological change (including artificial intelligence), and seeking opportunities through increased automation and system integration, can also provide challenges in the adaptability of the workforce",no,no,ordinary_automation,DUPG-005,rejected,,
UU-REJ-012,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2024,UU_company_annual_report_previous_fy2023-24_2024-05.pdf,,annual_report_previous,company_primary,p.57,artificial intelligence,B,1,": Ageing technology assets, and poor quality data can threaten efficiency and security . In addition, the pace of technological change (including artificial intelligence), and seeking opportunities through increased automation and system integration, can also provide challenges in the adaptability of the workforce",no,no,ordinary_automation,DUPG-006,rejected,,
UU-REJ-013,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2024,UU_company_annual_report_previous_fy2023-24_2024-05.pdf,,annual_report_previous,company_primary,p.71,RAG,A,1,"including the addition of satisfactory sludge use and disposal for 2022 – against which company performance is assessed on a red, amber or green (RAG) status. Based on performance across all of the metrics, star ratings (one to four, with four being the highest) are then applied to each water co",no,no,vague_general_ai_reference,,rejected,,
UU-REJ-014,United Utilities,UU,United Utilities Group PLC Integrated Annual Report 2024,UU_company_annual_report_previous_fy2023-24_2024-05.pdf,,annual_report_previous,company_primary,p.107,AI,B,3,"are views and discuss matters of joint interest and focus on the particular challenges posed in the North West. Cyber and artificial intelligence (AI) The board has regular oversight of cyber security matters – cyber risk is a top‑ten risk for United Utilities. As a provider of essential service ||| s. The protection of our customers, our people and our assets is of the utmost importance. During the year, the board was apprised of the group’s AI policy , which sets out guidance for colleagues on the utilisation of AI services, both online and on premise and provides a structure and framewo ||| ets out guidance for colleagues on the utilisation of AI services, both online and on premise and provides a structure and framework within which AI services should be used. Board colleagues As reported last year, Michael Lewis joined the board and the ESG committee on 1 May 2023, and as part o",no,no,vague_general_ai_reference,DUPG-002,rejected,,
