staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
STAN-GOV-001,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.36,AI,B,1,months. This has saved $1.88 million in 2025 and unlocked $1.75 million in productivity through our internal Talent Marketplace. Responsible use of AI The Bank’s AI strategy is to ensure AI is scaled safely and effectively and centred on building the human capability that powers transformation. Ou,no,no,safeguards_and_responsible_use,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Control Tower, AI Safety team oversight)."
STAN-GOV-002,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.50,AI,B,1,"iness models and opportunities. • We have enhanced governance for evolving areas, such as the Digital Asset Risk Committee. • We have instituted an AI Safety Council, which evaluates and assesses AI solutions prior to use. • We apply a tiered approach to evaluate AI systems, proportionate to the",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Control Tower, AI Safety team oversight)."
STAN-GOV-003,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.145,AI,B,1,. • Received workforce engagement updates. • Received updates on new regulations impacting corporate governance. • Received updates on the Group’s AI framework and discussed the establishment of a governance structure to drive adoption across the business. • Received an update on the key amendmen,no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Control Tower, AI Safety team oversight)."
STAN-GOV-004,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.148,artificial intelligence,B,1,"025 in London and provided attendees with an update on the Group’s strategy, the activities of the Board committees and a keynote presentation on artificial intelligence and cyber governance. Provided an opportunity for institutional investors to engage with the Board and ask questions. These covered a diverse range",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Control Tower, AI Safety team oversight)."
STAN-GOV-005,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.172,AI,B,1,"rity (ICS) Risk remained an important priority, with focus placed on our approach to vulnerability management, third parties and responsible use of AI. We dedicated time throughout the year to undertake education sessions on software security vulnerability management, managing quantum computing IC",no,no,safeguards_and_responsible_use,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Control Tower, AI Safety team oversight)."
STAN-GOV-006,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.218,AI,B,2,"t, operational efficiency, risk management, customer onboarding, employee engagement, management reporting and talent acquisition. Our Responsible AI governance has been established for several years and is led by a dedicated team within the Chief Data Office, who have been effectively managing ||| or several years and is led by a dedicated team within the Chief Data Office, who have been effectively managing the centralised governance of all AI use cases. Our approach aligns with leading industry standards, specifically the Monetary Authority of Singapore Fairness, Ethics, Accountability,",no,no,ai_governance_framework,DUPG-009,governance,accept," REVIEW: genuine AI-governance disclosure (AI Control Tower, AI Safety team oversight)."
STAN-GOV-007,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.218,AI,B,2,"ly related to the planning, analysis, design, development, testing, integration, deployment and initial support of technology systems. Responsible AI The Group has been actively embracing AI and digital innovation to stay competitive in the banking, financial services and insurance sector for a n ||| also positions us well for future industry developments. Our Audit Committee receives twice-yearly reports on Data Risk, which includes responsible AI. By order of the Board Scott Corrigan Group Company Secretary 24 February 2026 Standard Chartered PLC Registered No. 966425 Standard Chartered | Ann",no,no,safeguards_and_responsible_use,DUPG-010,governance,accept," REVIEW: genuine AI-governance disclosure (AI Control Tower, AI Safety team oversight)."
STAN-GOV-008,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2024,STAN_company_annual_report_previous_fy2024_2025-02.pdf,,annual_report_previous,company_primary,p.34,AI,B,2,"t disruption and new risks. • We have established enhanced governance for novel areas, such as the Digital Asset Risk Committee and the Responsible AI Council. • We manage data risks through our Compliance Risk Type Framework and information security risks through our Information and Cyber Securit ||| o address evolving legal and regulatory requirements relating to privacy and personal data protection, cross-border data transfers and the use of AI, with progress tracked at executive level risk governance committees. • Risks embedded in key software programmes are continuously reassessed toget",no,no,ai_governance_framework,DUPG-014,governance,accept," REVIEW: genuine AI-governance disclosure (AI Control Tower, AI Safety team oversight)."
STAN-GOV-009,Standard Chartered,STAN,Artificial intelligence | Standard Chartered,STAN_company_strategy_or_technology_webpage_n-a.html,,strategy_or_technology_webpage,company_primary,not_applicable,AI,B,3,"rounded in strong data foundations, transparent governance and human accountability, so innovation can scale with trust. Enterprise Our centralised AI Factory platform helps us quickly build and deploy new solutions. Colleagues We combine enterprise software subscriptions with tailored capabilitie ||| and global connectivity to deliver better outcomes at scale. Geoff Kot Global Head of CIB Business Platforms & Partnerships | Enterprise Co-Head of AI Our AI partnerships Across these applications, our approach remains the same: combining advanced technology with strong governance, responsible inn ||| anced technology with strong governance, responsible innovation and our colleagues’ deep banking expertise. We contribute to sector-wide dialogue on AI maturity and responsible adoption through initiatives such as the IIF-EY Annual Survey on AI Use in Financial Services and the Evident AI Index, help",no,no,ai_governance_framework,DUPG-018,governance,accept," REVIEW: genuine AI-governance disclosure (AI Control Tower, AI Safety team oversight)."
STAN-GOV-010,Standard Chartered,STAN,Artificial intelligence | Standard Chartered,STAN_company_strategy_or_technology_webpage_n-a.html,,strategy_or_technology_webpage,company_primary,not_applicable,AI;LLM,A;B,4,"n Awards 2025 Best New AI Product Launch of the Year and Outstanding Contribution by an AI Team to an Institution for SC GPT, our bespoke enterprise LLM tool Outstanding Contribution by an AI Team to Responsible AI for findings from an in-depth study into fairness in LLMs Best AI Innovation Lab for ||| R&D agency A*STAR. How we use AI AI across our business Empowering colleagues Building for global banking Accelerating engineering Responsible AI At Standard Chartered, we use AI across our business from cross-border trade to affluent client advisory, creating better banking outcomes while rei ||| utomation solutions. Together, these capabilities assist our engineers to accelerate innovation while maintaining quality and security. Responsible AI is embedded throughout our approach. Human judgement remains fundamental – particularly in areas involving risk management, regulatory compliance and ||| y an AI Team to Responsible AI for findings from an in-depth study into fairness in LLMs Best AI Innovation Lab for our engagement with A*STAR Best AI Training Initiative by an Institution for our colleague training platform, the AI Learning Hub Best AI Powered Platform for our AI Factory enterpris",no,no,safeguards_and_responsible_use,DUPG-019,governance,accept," REVIEW: genuine AI-governance disclosure (AI Control Tower, AI Safety team oversight)."
