staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
AUTO-REJ-001,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.6,AI,B,1,"continue to enhance our product offering, enabling more of the buying journey to be completed online, and have launched ‘Co-Driver’, our suite of AI powered tools, designed to assist customers in advertising their vehicles more efficiently and effectively. We continue to invest in our people,",no,no,vague_general_ai_reference,,rejected,accept,"REVIEW: introductory mention of Co-Driver, corroborating AUTO-OP-001; logged for the audit trail rather than duplicated as a separate operational row (same product, same source)."
AUTO-REJ-002,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.8,AI,B,7,"ortal system saw over 1.8 million logins per month over the last year and our API technology services, which supply data, stock management and now AI-enabled vehicle descriptions and smart image sorting and tagging, were called 91 million times per month (2024: 86 million). This demonstrates how ||| tion and performance of the car, check the history of the vehicle and whether it has outstanding finance, seamlessly use artificial intelligence (‘AI’) to get a market value for the car they’re buying or selling, consider retailer reviews, apply for finance and reserve cars online. This year we ||| by improving descriptions and imagery and calling out the unique aspects of each individual vehicle. Co-Driver is an umbrella brand for a range of AI-enabled products that we plan to launch in the years ahead, as we look to make our data, technology and services available to every retailer regar ||| tailer regardless of their size or technical capability. We believe we have a significant advantage in our platform products, as the output of any AI application will only ever be as good as the data upon which it is based. We have the most complete and comprehensive vehicle dataset in the UK, a ||| whilst reducing the amount of time it takes for retailers to advertise their vehicles. The first three products include Smart Image Management, AI Generated Descriptions and Vehicle Highlights, all of which assist retailers in getting an advert live quickly and accurately and in delivering co ||| and in delivering consistency and transparency for car buyers. Smart Image Management means retailers just need to upload their images and using AI we will tag and categorise the images, order them and highlight any that are missing. This process utilises the huge amount of consumer data we ha ||| This process utilises the huge amount of consumer data we have to optimise the image order, to maximise engagement with that retailer’s vehicle. AI Generated Descriptions leverage everything we know about a specific vehicle, the vehicles it is competing with and what buyers of the vehicle are",no,no,vague_general_ai_reference,DUPG-001,rejected,correct,"REVIEW: this row's genuine Co-Driver/AI Generated Descriptions content was used directly (together with the Board Considerations LLM passage) to author AUTO-OP-001. Marked 'correct' (excluded from rejected promotion) since the content is not itself vague, it was simply mis-routed to rejected by the keyword-window matcher."
AUTO-REJ-003,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.14,AI,B,2,"car buyers. Our customers The most effective sales channel with market-leading insight, data and products. Continue to drive efficiencies with AI and more of the buying journey being completed online. Our people We continue to evolve our culture so everyone can develop and achieve their c ||| r people We continue to evolve our culture so everyone can develop and achieve their career aspirations. Increasingly better informed car buyers AI enabled tools and efficiencies More of the buying journey online Real time vehicle updates for customers Increased choice through new car and",no,no,vague_general_ai_reference,DUPG-002,rejected,,
AUTO-REJ-004,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.17,AI;machine learning,B,2,"nature. For much of the past 10 years, we have been building our data science team and working with machine learning and artificial intelligence (‘ AI’). These models underpin most of the metrics we provide to our customers and car buyers, including price flags, valuations, advertising performanc ||| in the past and what we forecast it to do in the future. All our metrics draw on the millions of vehicle and consumer observations we have, using machine learning to turn them into accurate and specific metrics for exactly the car a retailer owns or is looking to buy. We continue to focus on building a robust",no,no,vague_general_ai_reference,DUPG-003,rejected,,
AUTO-REJ-005,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.18,AI,B,1,"uct than price and stock. Our product pipeline is as strong as it has ever been, with opportunities across our advertising marketplace, data and AI, our platform services and Digital Retailing. This combined with the strong foundations we have built with our brand, data, technology, and softw",no,no,vague_general_ai_reference,,rejected,,
AUTO-REJ-006,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.21,AI;LLM,A;B,6,"ave a ‘black box’ and we need to be able to explain how these tools work in the event of a challenge. The Board acknowledged the risks of using an LLM but was confident that appropriate mitigations had been put in place, including extensive testing, quality controls and continual learning. OUTCOM ||| ests. OUR STRATEGIC PRIORITIES Marketplace Digital retailing Platform Working responsibly CONTEXT The Company has invested in machine learning and AI technology for over 10 years. It is widely documented that AI can drive efficiencies, saving time and money for our customers. This inspired us to ||| r 10 years. It is widely documented that AI can drive efficiencies, saving time and money for our customers. This inspired us to develop our first AI-powered ‘Co-Driver’ tools which streamline the advertising process while maintaining accuracy and relevance through the use of Auto Trader’s unriv ||| relevance through the use of Auto Trader’s unrivalled dataset: 1. Smart Image Management: Automates and optimises vehicle image categorisation. 2. AI Generated Descriptions: Instantly crafts vehicle descriptions using extensive data. 3. Vehicle Highlights: Showcases key vehicle features like fuel ||| dditional requirement to ensure the accuracy and reliability of the output is credible and of value to our customers and consumers. As our use of AI evolves, it will create a new type of risk as AI tools have a ‘black box’ and we need to be able to explain how these tools work in the event of ||| her-quality, transparent information to assist them with their buying journey. RELEVANT STAKEHOLDERS • Customers • Our people • Consumers c.250,000 AI vehicle description generations since launch Co-Driver and AI-powered tools CONTEXT Over the past 18 – 24 months, our Manchester head office ha",no,no,vague_general_ai_reference,DUPG-004,rejected,,
AUTO-REJ-007,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.61,generative AI,A,1,"information and assets. These policies cover acceptable use, asset management, access control, bring your own device, document sharing, use of generative AI, the Information Security Programme, key management and cryptography, network security, passwords, security incident management, server security",no,no,vague_general_ai_reference,,rejected,,
AUTO-REJ-008,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.66,AI,B,1,"there is a risk of societal discourse permeating into the workplace, leading to a negative impact upon our culture. • The increasing prevalence of AI creates a new cyber-attack vector. Criminals will continuously seek more sophisticated and effective methods to attack businesses, and we are con",no,no,vague_general_ai_reference,,rejected,,
AUTO-REJ-009,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.71,AI;generative AI,A;B,2,"lder involve increased marketing to consumers to help accelerate the uptake of the product. • We have launched Co-Driver, a suite of customer-facing generative AI products which are designed to help retailers place high-quality adverts whilst at the same time reducing the time it takes to place an advert. We ||| lent activity on our website. The level of fraud remains low and our Trustpilot rating remains high at 4.7 out of 5. • We have expanded our use of AI to improve our prevention and detection of potential frauds and scams, and this will continue to evolve in the coming years. • We have continued to",no,no,vague_general_ai_reference,DUPG-005,rejected,,
AUTO-REJ-010,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.73,AI,B,2,"growing its marketplace, which includes playing a larger role in new car sales and advertising, to surface the power of artificial intelligence (‘AI’) which will enhance our existing data products, and to move more of the car buying process online. As such, key factors likely to affect the futur ||| the future development, performance and position of the Group are: • data and technology: continuous investment is made in developing platform and AI technologies which lead to improvements for consumers, retailers and manufacturers; • market position: the Group is the UK’s largest and most eng",no,no,vague_general_ai_reference,DUPG-006,rejected,,
AUTO-REJ-011,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.89,AI,B,2,"of our financial reporting, internal controls, and the effectiveness of our audit functions. We will aim to stay up-to-date with new areas such as AI and evolving ESG standards and regulations. Additionally, we will closely monitor emerging risks, including geo-political events, cyber security d ||| our financial reporting, internal controls, and the effectiveness of our audit functions. • We will aim to stay up-to-date with new areas such as AI and evolving ESG standards and regulations. • Closely monitor emerging risks, including geo-political events, cyber security developments, regula",no,no,audit_analytics,DUPG-007,rejected,,
AUTO-REJ-012,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.97,AI,B,1,"rowth during the year, and we continued to make good progress in strategic areas including digital retailing as well as new car, leasing, data and AI and our platform services. We have continued to operate a balanced approach between short-term and long-term performance, and create value for o",no,no,vague_general_ai_reference,,rejected,,
AUTO-REJ-013,Auto Trader Group,AUTO,Auto Trader Group plc Annual Report 2025,AUTO_company_annual_report_current_fy2025_2025-05.pdf,,annual_report_current,company_primary,p.113,AI,B,1,"o Auto Trader’s strategy and future success. We continue to invest in data technologies in particular, and the amount of R&D activity related to AI has increased significantly in the last year. The Group enhances its core infrastructure through small-scale, incremental improvements, resulting i",no,no,vague_general_ai_reference,,rejected,,
