company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.2,AI,B,"ones, electric vehicles and household appliances to solar panels, wind turbines, data centres and the systems that power artificial intelligence (AI). They build our homes, offices, railways and airports, and will help feed a healthier and growing global population. Simply put, our products mov",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.14,AI,B,"odern life – from smartphones, electric vehicles and household appliances to solar panels, wind turbines, data centres and the systems that power AI. They build our homes, offices, railways and airports, and will help feed a healthier and growing global population. Simply put, our products move",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.29,AI,B,le cost and performance outcomes over time. » For more information on our Lean approach at Minas-Rio See our case study on page 29 Our approach to AI Operational excellence is strengthened when data and predictive insights are available. Our central technical function holds our digital portfoli,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.29,AI,B,"elationships with strategic partners, allowing us to share best analytical practices and apply consistent process improvements across our assets. AI is pivotal to our approach, unlocking operational value, improving productivity and enabling quicker, more informed decisions across our business.",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.30,generative AI,A,"peed up resource definition, by reducing the time to create a lithology log by around 90%. Industrial systems can be complex, so we are employing generative AI against our internal knowledge stores to better inform and train our people on the ground. Generative AI also accelerates analytical analysis and",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.30,AI,B,AI tools supporting operational excellence We continue to invest in a range of productivity and mining-specific tools designed to support our three pi,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.30,AI,B,". digital twins) so that we can better understand and optimise the complex dynamics at play within our value chains. Elsewhere, the use of advanced AI predictive maintenance tools in particular has yielded significant results in our efforts to ensure consistent process improvement work through b",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.30,AI,B,"ine robotics (e.g. drones, quadrupeds) remains a key focus area to deliver value and further enable safe and stable production at our operations. AI governance Like any new technology, AI comes with risks and benefits. That is why we have established the AI Centre of Excellence and Information",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.30,AI,B,"omes with risks and benefits. That is why we have established the AI Centre of Excellence and Information Management to provide clear governance, AI risk management and learning programmes, to ultimately ensure our use of AI is responsible and value-accretive across the whole of our business. »",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.30,AI,B,"programmes, to ultimately ensure our use of AI is responsible and value-accretive across the whole of our business. » For more information on the AI Centre of Excellence and Information Management See our case study on page 31 28 Anglo American plc Integrated Annual Report 2025 Strategic Report",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.30,artificial intelligence,B,"ng (ACL) reduces the time to create a lithology log by up to 90%. Pictured: Clytie Tamanikwa, team assistant (left), and Tristram Graham, principal, artificial intelligence, view on-screen digital core sample data.",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.30,machine learning,B,"ith our mine plans, while remaining focused on identifying the most value-accretive opportunities for each of our sites. In core logging, advanced machine learning is achieving remarkable results. This previously labour-intensive process has been revolutionised by hyperspectral cameras and computer vision to",uncertain,low,Stage B broader-recall term 'machine learning' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.33,generative AI,A,"loss, inaccurate outputs, ethical concerns, cyber threats and regulatory non-compliance. Additionally, an emerging technology team is focusing on generative AI tools, prioritising mining-specific use cases which will generate a return on investment. This is supplemented with learning programmes to ensure",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.33,AI,B,"We are embracing the potential of artificial intelligence (AI) and other technologies with a clear purpose: to enhance how we work, support our strategy and deliver real value. AI is particularly well suited",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.33,AI,B,". It is about reducing variability, increasing capacity, focusing on efficiency and understanding constraints – all of which can be optimised with AI. Like any new technology, however, AI comes with opportunities and risks. AI adoption also requires cultural change, reshaping our approach to wo",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.33,AI,B,"haping our approach to work and new technology investments. To navigate these complexities, we have established clear governance, supported by our AI Centre of Excellence (AI CoE) and information management (IM) teams, focused on AI governance, risk management and learning programmes to ensure",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Anglo American plc,AAL,,AAL_company_annual_report_current_fy2025_2026-03.pdf,p.33,AI,B,"Excellence (AI CoE) and information management (IM) teams, focused on AI governance, risk management and learning programmes to ensure our use of AI is responsible and value-accretive. Artificial Intelligence Centre of Excellence We have been at the forefront of digitalising the mining sector",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
