staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
NXT-REJ-001,Next plc,NXT,Next plc Annual Report & Accounts January 2026,NXT_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.6,AI,B,1,__ 14 CONTROLLING COSTS TO DELIVER GROWTH _______________________________________________________________________________ 17 NEXT’S APPROACH TO AI ___________________________________________________________________________________________________________ 18 ACCELERATING WAREHOUSE INVESTMENT __,no,no,vague_general_ai_reference,,rejected,,
NXT-REJ-002,Next plc,NXT,Next plc Annual Report & Accounts January 2026,NXT_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.7,AI,B,1,__ 14 CONTROLLING COSTS TO DELIVER GROWTH _______________________________________________________________________________ 17 NEXT’S APPROACH TO AI ___________________________________________________________________________________________________________ 18 ACCELERATING WAREHOUSE INVESTMENT __,no,no,vague_general_ai_reference,,rejected,,
NXT-REJ-003,Next plc,NXT,Next plc Annual Report & Accounts January 2026,NXT_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.9,AI,B,1,"ranges (page 9) and driving growth overseas (page 14). We explain why controlling fixed costs will be central to driving growth (page 17), and how AI can – amongst other things – help in that task (page 18). Recent growth means we must accelerate our warehouse investment programme (page 20) but a",no,no,vague_general_ai_reference,,rejected,,
NXT-REJ-004,Next plc,NXT,Next plc Annual Report & Accounts January 2026,NXT_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.12,AI,B,1,"e made significant improvements to our in-house Product and Data management systems. This has allowed us to introduce a new workflow system and use AI to assist with sales forecasting, sizing ratios and optimising markdown prices. The challenge now is to make sure that we get a return on the inv",no,no,vague_general_ai_reference,,rejected,,
NXT-REJ-005,Next plc,NXT,Next plc Annual Report & Accounts January 2026,NXT_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.13,AI,B,1,"e made significant improvements to our in-house Product and Data management systems. This has allowed us to introduce a new workflow system and use AI to assist with sales forecasting, sizing ratios and optimising markdown prices. The challenge now is to make sure that we get a return on the inv",no,no,vague_general_ai_reference,,rejected,,
NXT-REJ-006,Next plc,NXT,Next plc Annual Report & Accounts January 2026,NXT_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.19,AI,B,1,"we have done over five years to modernise our major software applications and make our data more usable, positions us to harness the potential for AI to improve productivity in virtually every area of the business. 9 Technology cash costs (revenue costs less depreciation plus capex). 17 Stra",no,no,vague_general_ai_reference,,rejected,,
NXT-REJ-007,Next plc,NXT,Next plc Annual Report & Accounts January 2026,NXT_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.20,AI;agentic AI,A;B,12,"livering new software faster and for less cost. But there is much more to do. We are setting up the AI infrastructure with the aim of incorporating agentic AI in our end-to-end software development process. So, not just using AI to assist in the various tasks of specification, coding, testing, deployment ||| NEXT’S APPROACH TO AI In most areas we are only scratching the surface of what AI can do for the business. This section sets out the approach we are taking to ensuring ||| ing the surface of what AI can do for the business. This section sets out the approach we are taking to ensuring we harness as much of the power of AI as possible. NO ‘ AI DEPARTMENT’ We are not developing a central AI function. The benefits AI can bring to software development, range development ||| r challenges so different, that generic advice from a central function would be little more use than a central Spreadsheet Department. The value of AI lies in the applications it supports, not the technology itself, and those best placed to understand the applications are the people who use them ev ||| technology itself, and those best placed to understand the applications are the people who use them every day. Without their input and leadership, AI becomes a solution looking for a problem to solve. Our IT department ensures that the AI technologies we use across the Group are secure and cost e ||| solve. Our IT department ensures that the AI technologies we use across the Group are secure and cost effective. And, although we have no central AI department, NEXT’s way of working is collaborative – cross fertilisation of ideas, sharing of best practices and key people is part of the way we wo ||| front help those still finding their feet. PROGRESS AND OPPORTUNITIES Progress It has been down to our divisional directors to advance the use of AI in their areas. The speed at which various divisions have found practical applications for AI has been very different. The progress of three divis ||| The progress of three divisions illustrates what we have been doing: TECHNOLOGY Unsurprisingly, our Technology teams have made good tactical use of AI. In most areas, teams are using co-pilot software assistants and deploying large language models to document new specifications. We are already se ||| e development process. So, not just using AI to assist in the various tasks of specification, coding, testing, deployment and monitoring; but using AI agents to do some of the work and to pass work between these tasks. CONTACT CENTRES AI has been used in our Contact Centres for some time and has a ||| sts and, more importantly, increasing our quality scores with customers. Encouragingly, there is much more to do. PRODUCT Product teams have used AI to improve sales forecasting, markdown price optimisation, size ratio management, product attribution10 and returns forecasting. In terms of design ||| o improve sales forecasting, markdown price optimisation, size ratio management, product attribution10 and returns forecasting. In terms of design, AI has been useful in visualising paper designs to improve selection decisions and assist manufacturers deliver more accurate initial samples. We are, ||| n visualising paper designs to improve selection decisions and assist manufacturers deliver more accurate initial samples. We are, however, wary of AI-initiated graphics, prints and styling; we feel in this area there is no substitute for an emotional connection to the human eye and hand. 10 Pro",no,no,vague_general_ai_reference,DUPG-001,rejected,accept,"REVIEW: confirmed correctly rejected. Broad 'our approach to AI' narrative blending predictive applications (sales forecasting, markdown optimisation) with a brief mention that Technology teams 'are using co-pilot software assistants and deploying large language models to document new specifications' -- this LLM/Copilot mention is one sentence within a much broader general-AI strategy survey, without deployment scale, outcome, or a dedicated task description of its own. Falls short of a discrete operational use case; flagged as a borderline candidate for future review."
NXT-REJ-008,Next plc,NXT,Next plc Annual Report & Accounts January 2026,NXT_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.21,AI;agentic AI,A;B,16,"livering new software faster and for less cost. But there is much more to do. We are setting up the AI infrastructure with the aim of incorporating agentic AI in our end-to-end software development process. So, not just using AI to assist in the various tasks of specification, coding, testing, deployment ||| NEXT’S APPROACH TO AI In most areas we are only scratching the surface of what AI can do for the business. This section sets out the approach we are taking to ensuring ||| ing the surface of what AI can do for the business. This section sets out the approach we are taking to ensuring we harness as much of the power of AI as possible. NO ‘ AI DEPARTMENT’ We are not developing a central AI function. The benefits AI can bring to software development, range development ||| r challenges so different, that generic advice from a central function would be little more use than a central Spreadsheet Department. The value of AI lies in the applications it supports, not the technology itself, and those best placed to understand the applications are the people who use them ev ||| technology itself, and those best placed to understand the applications are the people who use them every day. Without their input and leadership, AI becomes a solution looking for a problem to solve. Our IT department ensures that the AI technologies we use across the Group are secure and cost e ||| solve. Our IT department ensures that the AI technologies we use across the Group are secure and cost effective. And, although we have no central AI department, NEXT’s way of working is collaborative – cross fertilisation of ideas, sharing of best practices and key people is part of the way we wo ||| front help those still finding their feet. PROGRESS AND OPPORTUNITIES Progress It has been down to our divisional directors to advance the use of AI in their areas. The speed at which various divisions have found practical applications for AI has been very different. The progress of three divis ||| The progress of three divisions illustrates what we have been doing: TECHNOLOGY Unsurprisingly, our Technology teams have made good tactical use of AI. In most areas, teams are using co-pilot software assistants and deploying large language models to document new specifications. We are already se ||| e development process. So, not just using AI to assist in the various tasks of specification, coding, testing, deployment and monitoring; but using AI agents to do some of the work and to pass work between these tasks. CONTACT CENTRES AI has been used in our Contact Centres for some time and has a ||| sts and, more importantly, increasing our quality scores with customers. Encouragingly, there is much more to do. PRODUCT Product teams have used AI to improve sales forecasting, markdown price optimisation, size ratio management, product attribution10 and returns forecasting. In terms of design ||| o improve sales forecasting, markdown price optimisation, size ratio management, product attribution10 and returns forecasting. In terms of design, AI has been useful in visualising paper designs to improve selection decisions and assist manufacturers deliver more accurate initial samples. We are, ||| n visualising paper designs to improve selection decisions and assist manufacturers deliver more accurate initial samples. We are, however, wary of AI-initiated graphics, prints and styling; we feel in this area there is no substitute for an emotional connection to the human eye and hand. 10 Pro ||| vanced as others. For example, our Warehouse team have been rightly focussed on commissioning their new mechanisation, so are not yet making use of AI to help run their day-to-day operations. AI, with its forecasting, scenario planning and optimisation abilities, should be perfectly placed to assi ||| this is a big opportunity for the year ahead. THE COST IMPLICATIONS The cost benefits in some areas are apparent… The most exciting feature of AI is its ability to make us more effective, but productivity gains should also result in cost savings. It is already doing so in Technology and our C ||| . Technology and Cost Centre Costs as a % of Sales The implications for jobs We believe that it is unlikely that AI will displace those already working at the Company. There are two reasons for this: ● NEXT is growing, so any efficiencies are likely to result in ||| ocessing jobs, which tend to have high staff turnover, so can be managed down through natural attrition. Bottom line, at NEXT it appears to us that AI will change people’s jobs rather than replace them, making them much more effective, and taking away many of the tasks they enjoy least. People wil",no,no,vague_general_ai_reference,DUPG-002,rejected,accept,"REVIEW: confirmed correctly rejected -- same passage/theme as NXT-REJ-007 (consolidated duplicate), predominantly describing predictive/forecasting AI applications and general AI strategy, not a discrete generative-AI task."
NXT-REJ-009,Next plc,NXT,Next plc Annual Report & Accounts January 2026,NXT_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.56,automation,B,1,"r Group subsidiaries 12 12 12 Total capital expenditure 237 168 151 Warehousing Warehousing spend of £52m included the completion of some of the automation projects in Elmsall 3, the upgrade of our sortation mechanisation in our other online warehouses and the purchase of new vehicles. In the year ahe",no,no,ordinary_automation,DUPG-005,rejected,,
NXT-REJ-010,Next plc,NXT,Next plc Annual Report & Accounts January 2026,NXT_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.57,automation,B,1,"r Group subsidiaries 12 12 12 Total capital expenditure 237 168 151 Warehousing Warehousing spend of £52m included the completion of some of the automation projects in Elmsall 3, the upgrade of our sortation mechanisation in our other online warehouses and the purchase of new vehicles. In the year ahe",no,no,ordinary_automation,DUPG-007,rejected,,
