duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,National Grid plc,NG-REJ-001,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.9) of NG_company_annual_report_current_fy2025-26.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,National Grid plc,NG-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.16) of NG_company_annual_report_current_fy2025-26.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,National Grid plc,NG-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.21) of NG_company_annual_report_current_fy2025-26.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,National Grid plc,NG-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.23) of NG_company_annual_report_current_fy2025-26.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,National Grid plc,NG-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.40) of NG_company_annual_report_current_fy2025-26.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,National Grid plc,NG-GOV-001,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.52) of NG_company_annual_report_current_fy2025-26.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-007,National Grid plc,NG-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.53) of NG_company_annual_report_current_fy2025-26.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,National Grid plc,NG-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.61) of NG_company_annual_report_current_fy2025-26.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,National Grid plc,NG-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.117) of NG_company_annual_report_current_fy2025-26.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,National Grid plc,NG-REJ-020,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.232) of NG_company_annual_report_current_fy2025-26.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,National Grid plc,NG-REJ-027,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.15) of NG_company_annual_report_previous_fy2024-25.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,National Grid plc,NG-GOV-004,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.59) of NG_company_annual_report_previous_fy2024-25.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-013,National Grid plc,NG-REJ-036,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.132) of NG_company_annual_report_previous_fy2024-25.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-014,National Grid plc,NG-REJ-037,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.268) of NG_company_annual_report_previous_fy2024-25.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,National Grid plc,NG-REJ-010;NG-REJ-028,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.55,Passages in NG_company_annual_report_current_fy2025-26.pdf and NG_company_annual_report_previous_fy2024-25.pdf are textually very similar (difflib ratio 0.55).,yes,,
DUPG-016,National Grid plc,NG-REJ-020;NG-REJ-037,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.76,Passages in NG_company_annual_report_current_fy2025-26.pdf and NG_company_annual_report_previous_fy2024-25.pdf are textually very similar (difflib ratio 0.76).,yes,,
