company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.5,AI,B,"tertainment or business. We deliver transaction, content and experience-focused events of different types and scale. We use technology, including AI, to create a smart and seamless experience, and we capture and apply audience data in ways that increase value for customers. 07 Informa Annual",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.6,AI,B,"tent comes from experts, and when it is academic research, it is typically verified and peer- reviewed too. This makes it highly valuable, both to AI large language models as trustworthy source material and to audiences and specialists looking for human-led insights. Investment case 1. Growth",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.6,AI,B,"We work in geographies that are fast-growing and in a range of specialist markets that are growing at pace too. 5. Opportunities from data and AI We have extensive first-party customer data, which we are using to develop new products and personalise our customer experience. We’re using AI",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.8,AI,B,"Academic Markets, our business has also transformed. We have built strength in the growing area of open access, invested deeply in technology and AI, and grown revenues 50% since 2015. Informa is embracing AI, in all its forms, as a way to develop products more quickly, improve customer expe",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.8,AI,B,"as a way to develop products more quickly, improve customer experience and increase customer value, and unlock colleagues’ time. Our proprietary AI capability, Elysia, is key to this, and work is progressing at pace, with much more to come. Several of these initiatives are being run as part o",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.9,AI,B,"performance in subscription renewals and other pay-to-read services. In 2024, we moved quickly on the opportunity to partner with several leading AI technology companies, providing access to certain archive Taylor & Francis data and content for training large language models. This delivered ad",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.9,AI,B,"o the same degree in 2025. This dynamic meant that while recurring underlying revenue growth was just over 3.5% when excluding this revenue from AI partnerships in 2024, underlying revenues overall fell by around 2% when these non-recurring revenues were included. In B2B Digital Services, 202",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.9,AI,B,"digital services business and Nasdaq-listed TechTarget. This market has remained subdued, as customers have continued to prioritise spending on AI tools over data that supports marketing and sales activity. During the year, the Informa TechTarget leadership team took a number of actions to f",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.10,generative AI,A,"th in 2026. Compounding growth: Specialist Knowledge Demand for trusted and verified knowledge is also on the rise, particularly in a world where generative AI is making it easier to create content of all types and quality. All over the world, people continue to make new discoveries in different fields an",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.10,AI,B,"een, verify and produce research at higher volumes while maintaining its quality and reducing the time it takes to publish. The latest advances in AI are creating many more possibilities for enhancing products, bringing products to market more quickly and redesigning our processes for increased",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.11,AI,B,"r and raising the bar on standards every year: something that is very much in keeping with the goals of One Informa. Growth through the power of AI AI has the potential to fundamentally change how businesses operate. At Informa, we are seizing the transformation opportunity it presents, and a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.11,AI,B,"the potential to fundamentally change how businesses operate. At Informa, we are seizing the transformation opportunity it presents, and at pace. AI is an additional and significant way we can unlock more growth and more value for our customers, extending the leading positions we have built in",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.11,AI,B,", we have put it at the heart of the One Informa programme. In the last couple of years, we have purposefully invested in building a proprietary AI capability, Elysia. Elysia takes the benefits of leading global AI models but combines this with the proprietary data we hold, including our dept",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.11,AI,B,"w, and much more advanced, functionality to our existing brands. We are re-imagining workflows in all our key functions to bring the benefits of AI into all our daily processes. At the same time, our technology, product and AI experts are staying close to the new possibilities that AI is creat",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.13,generative AI,A,"arkets, specialist customers and specialist products and services. Informa’s capability: Elysia Our key investment has been to build a proprietary generative AI capability, Elysia. Elysia draws on a selection of leading AI models. Its power is in its combination with our unique data sets – including the f",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.13,AI,B,"m entering third-party tools too. Innovation at scale Elysia launched to all our colleagues in April 2025. It is available in several ways: as an AI assistant via a dedicated app or normal web browser, built into email and other daily work tools, and as an open technology platform that any col",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.13,AI,B,"in with more precision and speed, and to identify other Informa specialists to collaborate with who cover similar topics. Seizing the power of AI Throughout Informa, we are embracing the power and potential of the newest forms of AI. We are re-engineering how we work in all areas of the b",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.13,AI,B,"ma, we are embracing the power and potential of the newest forms of AI. We are re-engineering how we work in all areas of the business, building AI into our workflows and platforms, using AI capabilities to develop new products and release features and services to customers more quickly, and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.13,AI,B,"ping us create content that is even more timely, relevant and valuable for our audiences, strengthening our position and engagement with them. New AI and data-driven products The combination of leading AI and our proprietary data is allowing us develop new products for customers. One of those i",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.14,AI,B,"Year in review continued Unlocking new customer benefits with AI We are deploying AI across our specialist intelligence businesses, creating new features and services that help customers unlock greater value fro",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.14,AI,B,"from the latest intelligence and benchmarks to our archive of over 250,000 award- winning case studies. In Foodservice, Technomic introduced new AI tools to its Ignite platform. These search across all formats of the industry reports we publish, and unstructured as well as structured data and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.14,AI,B,"esults in charts and tables, making complex data sets much easier to interpret and share, and delivering greater value. Faster product development AI is also quickening the pace of our regular product development, allowing us to bring new features and product improvements to market faster than",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.14,AI,B,"fore. In 2025, for example, Taylor & Francis launched an improved research dashboard for customers to manage their publishing agreements, using an AI coding assistant to significantly speed up development. The new dashboard provides a better experience and allows us to add more advanced feature",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.14,AI,B,"ent. The new dashboard provides a better experience and allows us to add more advanced features more easily in the future. Powering workflows with AI As well as embedding AI into our commercial products and processes, we are building AI into the daily workflows of all our key functions. In Tayl",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.14,AI,B,"cial products and processes, we are building AI into the daily workflows of all our key functions. In Taylor & Francis, this includes introducing AI-driven tools that help editors and peer reviewers with screening research submissions for quality, integrity and ethical checks. We are developing",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.16,AI,B,"learning and access to internal mentors and coaches. We built a specialised Elysia Career Coach agent to sit at the heart of The Campus too. This AI coach provides personalised career guidance and signposts relevant content and opportunities, including open roles, according to colleagues’ prof",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.16,AI,B,"rsonalised career guidance and signposts relevant content and opportunities, including open roles, according to colleagues’ profiles. Diving into AI We accompanied the launch of Elysia in 2025 with a wide-ranging programme of learning and engagement for colleagues, designed to support and ins",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.16,AI,B,"ia in 2025 with a wide-ranging programme of learning and engagement for colleagues, designed to support and inspire everyone to make the most of AI in their roles and teams. This has included creating a trailblazer network of colleagues who have volunteered to become go-to-experts and bring t",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.19,AI,B,"time: for example, the growing importance of food supplements to Natural Products, anti-ageing to Medicine and data centres to Enterprise IT and AI. Changes within the markets we work in can create opportunities: to expand or tailor what we offer or to serve a new sub-community, for example.",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.19,AI,B,"dentifiable companies and professionals in dozens of different ways. New technology allows us to capture a greater range of data, and advances in AI mean that data can be analysed in deeper ways too. Insights from this data can help exhibitors, sponsors and other commercial partners engage the",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.21,generative AI,A,"e can increase the opportunities our customers generate by attracting more buyers to attend and helping them spend time with the right partners. Generative AI is making our processes and products more effective, and we are implementing AI in a systematic way. For example, AI is being used to create and",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.21,AI,B,"g AI in a systematic way. For example, AI is being used to create and hone our content agendas so they are as timely and distinctive as possible. AI is also helping our teams analyse new business opportunities more quickly and target customers in more personalised ways. Focus for 2026 We will",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.21,AI,B,"well in 2025, and the broader LIONS brand, which includes specialist intelligence, advisory and learning products. Here, we launched several new AI-driven products and tools around our subscription businesses during the year and enhanced our existing in-platform AI assistants. These unlock ne",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.22,AI,B,"This data can also be more reliable and provide richer insights that allow for more accurate and personalised targeting of technology buyers. 5. AI is changing the landscape The prevalence of AI is changing the landscape for technology companies. At present, a significant amount of investment",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Informa,INF,,INF_company_annual_report_current_fy2025.pdf,p.22,AI,B,"e landscape The prevalence of AI is changing the landscape for technology companies. At present, a significant amount of investment is going into AI-related infrastructure and research and development, with comparatively less going towards significant product launches and the sales and marketi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
