staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BT-GOV-001,BT Group,BT.A,"BT Group's Digital Unit launches 'GenAI Gateway' platform, powered by AWS, accelerating the company's safe adoption of generative AI at scale",BT.A_company_press_release_bt-group-s-digital-unit-launches-genai-gateway-platform-powe_2024-09-24.html,,press_release,company_primary,not_applicable,AI;GenAI;LLM;foundation model;generative AI;machine learning,A;B,15,"2024 | 00:01 Europe/London BT Group’s Digital Unit launches ‘GenAI Gateway’ platform, powered by AWS, accelerating the company’s safe adoption of generative AI at scale The GenAI Gateway, a generative AI enablement platform, built in collaboration with AWS, enables BT Group to tap into the power of GenAI wi ||| ment teams, is also live. Fabio Cerone, GM EMEA Telco at AWS, said: “The BT Group GenAI Gateway is showcasing how enterprises can effectively deploy generative AI at scale and speed. It’s been a brilliant, pioneering opportunity to collaborate and work backwards from the customer to provide a way to accelerate ||| limit the risk of exploitation of the models (“jailbreak risk”)

A single consolidated Group platform reduces duplication of effort and resources as BT Group scales and accelerates the adoption of generative AI as APIs, security configuration, infrastructure management etc., can be managed centrally, reducing the risk of error along the way

LONDON, 24th September 2024: BT Group’s Digital Unit has announced the launch of an innovative internal platform to help the company tap into the power of large language models (LLMs) from providers such as Anthropic, Meta, Claude, Cohere, and Amazon. The GenAI Gateway, built in collaboration with AWS and using Amazon Bedrock, Amazon SageMaker and AWS Professional Services capabilities, provides secure, private access to a range of natural-language processing and large language models, a critical tool BT Group will use as it embeds AI into the way it runs the business.

Ad-hoc use of LLMs, whilst appropriate for test and development work, is not well suited to large scale use; cost control, security and privacy need more careful management. LLM performance also needs to be monitored, for unexpected errors (e.g. “hallucinations”) and model decay over ||| g Amazon Bedrock, Amazon SageMaker and AWS Professional Services capabilities, provides secure, private access to a range of natural-language processing and large language models, a critical tool BT Group will use as it embeds AI into the way it runs the business.

Ad-hoc use of LLMs, whilst appropriate for test and development work, is not well suited to large scale use; cost control, security and privacy need more careful management. LLM performance also needs to be monitored, for unexpected errors (e.g. “hallucinations”) and model decay over time (where LLMs stop behaving as expected). The GenAI Gateway also gives BT Group protection against ‘lock-in’ to any given LLM if any other issues emerge. The use of GenAI Gateway platform will encourage BT Group engineers to use the right model for the right use case, at the right price, as it supports per-use case budget tracking.

A consolidated platform reduces duplication of effort and resources, as BT Group scales the adoption of generative AI. Application programming interfaces (APIs), security configuration and infrastructure management, can all be managed centrally, reducing the risk of error and the cost of maintaining separate LLMs f ||| BT Group protection against ‘lock-in’ to any given LLM if any other issues emerge. The use of GenAI Gateway platform will encourage BT Group engineers to use the right model for the right use case, at the right price, as it supports per-use case budget tracking.

A consolidated platform reduces duplication of effort and resources, as BT Group scales the adoption of generative AI. Application programming interfaces (APIs), security configuration and infrastructure management, can all be managed centrally, reducing the risk of error and the cost of maintaining separate LLMs for every use case.

GenAI Gateway, deployed on AWS, is accessed via secure APIs, like all the components of BT Group’s modular digital architecture. GenAI Gateway uses Amazon Bedrock, a fully managed service that offers a choice of high-performing foundation models from leading AI companies like AI21 Labs, Anthropic, Cohere, Meta, Mistral AI, Stability AI, and Amazon through a single API; as well Amazon SageMaker, a fully managed service that brings together a broad set of tools to enable high-performance, low-cost machine learning for any use case.  The platform supports prompt security, chat history, FinOps billin ||| ly managed service that brings together a broad set of tools to enable high-performance, low-cost machine learning for any use case.  The platform supports prompt security, chat history, FinOps billing per use case, enterprise search, as well as use of multiple corporate data sources. Central privacy controls include separate tenants for each use case, the use of Personal Identifiable Information filters, the location of the data within the UK and the isolation of trained models from each other, protecting data in line with Group policies and relevant regulation. Guardrails are built into the GenAI Gateway, limiting the risk of jailbreaks or toxic interactions, filtering out queries that go beyond the remit of specific applications – ensuring both performance and ethical guardrails are built-in by design.

Gen AI Gateway is one of the several key enablers we are deploying to enable BT Group as an AI-enabled enterprise, and we will also use our “data fabric” data management platform to help enforce governing policies for how data can be used, as well as to manage access control and data sovereignty restrictions.

GenAI Gateway is live today with the first beta use cases. A trial in Openr ||| cale and speed. It’s been a brilliant, pioneering opportunity to collaborate and work backwards from the customer to provide a way to accelerate deployment of generative AI use cases into production with embedded security and compliance. The GenAI Gateway will trigger the flywheel effect in the adoption of generative AI, delivering quicker results for BT Group and its customers.”

Deepika Adusumilli, Managing Director, Data & AI, BT Group’s Digital Unit said: “AI is helping us reimagine the future of our company. We believe that where our data is a constant, we need flexibility with our LLMs. GenAI Gateway allows us to tap into this powerful new set of technologies at scale, in a way that is safe, responsible, flexible and scalable, delivering the ambition we have for AI to unlock the human potential within BT Group, today and in the future.”

About BT Group

BT Group is the UK’s leading provider of fixed and mobile telecommunications and related secure digital products, solutions and services. We also provide managed telecommunications, security and network & IT infrastructure services to customers across 180 countries.

BT Group consists of three customer-facing units: Consumer serves ||| of large language models (LLMs) from providers such as Anthropic, Meta, Claude, Cohere, and Amazon. The GenAI Gateway, built in collaboration with AWS and using Amazon Bedrock, Amazon SageMaker and AWS Professional Services capabilities, provides secure, private access to a range of natural-language processing and large language models, a critical tool BT Group will use as it embeds AI into the way it runs the business.

Ad-hoc use of LLMs, whilst appropriate for test and development work, is not well suited to large scale use; cost control, security and privacy need more careful management. LLM performance also needs to be monitored, for unexpected errors (e.g. “hallucinations”) and model decay over time (where LLMs stop behaving as expected). The GenAI Gateway also gives BT Group protection against ‘lock-in’ to any given LLM if any other issues emerge. The use of GenAI Gateway platform will encourage BT Group engineers to use the right model for the right use case, at the right price, as it supports per-use case budget tracking.

A consolidated platform reduces duplication of effort and resources, as BT Group scales the adoption of generative AI. Application programming interfaces ||| ission-critical communications across the UK

BT newsroom

Woman working at laptop

Download Media Kit

Preparing your download...

Download

An error occurred while preparing your download

24

September

2024

|

00:01

Europe/London

BT Group’s Digital Unit launches ‘GenAI Gateway’ platform, powered by AWS, accelerating the company’s safe adoption of generative AI at scale

The GenAI Gateway, a generative AI enablement platform, built in collaboration with AWS, enables BT Group to tap into the power of GenAI with safe, secure access to Large Language Models (LLMs) from a scalable number of foundation model providers

Platform supports prompt security, central privacy controls, billing per use case, enterprise search, and use of multiple corporate data sources to enable the company to be flexible and responsible in the use of different AI models required

Ethics and performance are enabled through embedded guardrails that limit the risk of exploitation of the models (“jailbreak risk”)

A single consolidated Group platform reduces duplication of effort and resources as BT Group scales and accelerates the adoption of generative AI as APIs, security configuration, infrastructure management etc., c ||| ital Unit launches ‘GenAI Gateway’ platform, powered by AWS, accelerating the company’s safe adoption of generative AI at scale

The GenAI Gateway, a generative AI enablement platform, built in collaboration with AWS, enables BT Group to tap into the power of GenAI with safe, secure access to Large Language Models (LLMs) from a scalable number of foundation model providers

Platform supports prompt security, central privacy controls, billing per use case, enterprise search, and use of multiple corporate data sources to enable the company to be flexible and responsible in the use of different AI models required

Ethics and performance are enabled through embedded guardrails that limit the risk of exploitation of the models (“jailbreak risk”)

A single consolidated Group platform reduces duplication of effort and resources as BT Group scales and accelerates the adoption of generative AI as APIs, security configuration, infrastructure management etc., can be managed centrally, reducing the risk of error along the way

LONDON, 24th September 2024: BT Group’s Digital Unit has announced the launch of an innovative internal platform to help the company tap into the power of large languag ||| managed centrally, reducing the risk of error along the way

LONDON, 24th September 2024: BT Group’s Digital Unit has announced the launch of an innovative internal platform to help the company tap into the power of large language models (LLMs) from providers such as Anthropic, Meta, Claude, Cohere, and Amazon. The GenAI Gateway, built in collaboration with AWS and using Amazon Bedrock, Amazon SageMaker and AWS Professional Services capabilities, provides secure, private access to a range of natural-language processing and large language models, a critical tool BT Group will use as it embeds AI into the way it runs the business.

Ad-hoc use of LLMs, whilst appropriate for test and development work, is not well suited to large scale use; cost control, security and privacy need more careful management. LLM performance also needs to be monitored, for unexpected errors (e.g. “hallucinations”) and model decay over time (where LLMs stop behaving as expected). The GenAI Gateway also gives BT Group protection against ‘lock-in’ to any given LLM if any other issues emerge. The use of GenAI Gateway platform will encourage BT Group engineers to use the right model for the right use case, at th ||| ng.

A consolidated platform reduces duplication of effort and resources, as BT Group scales the adoption of generative AI. Application programming interfaces (APIs), security configuration and infrastructure management, can all be managed centrally, reducing the risk of error and the cost of maintaining separate LLMs for every use case.

GenAI Gateway, deployed on AWS, is accessed via secure APIs, like all the components of BT Group’s modular digital architecture. GenAI Gateway uses Amazon Bedrock, a fully managed service that offers a choice of high-performing foundation models from leading AI companies like AI21 Labs, Anthropic, Cohere, Meta, Mistral AI, Stability AI, and Amazon through a single API; as well Amazon SageMaker, a fully managed service that brings together a broad set of tools to enable high-performance, low-cost machine learning for any use case.  The platform supports prompt security, chat history, FinOps billing per use case, enterprise search, as well as use of multiple corporate data sources. Central privacy controls include separate tenants for each use case, the use of Personal Identifiable Information filters, the location of the data within the UK and the is ||| rement teams, is also live.

Fabio Cerone, GM EMEA Telco at AWS, said: “The BT Group GenAI Gateway is showcasing how enterprises can effectively deploy generative AI at scale and speed. It’s been a brilliant, pioneering opportunity to collaborate and work backwards from the customer to provide a way to accelerate deployment of generative AI use cases into production with embedded security and compliance. The GenAI Gateway will trigger the flywheel effect in the adoption of generative AI, delivering quicker results for BT Group and its customers.”

Deepika Adusumilli, Managing Director, Data & AI, BT Group’s Digital Unit said: “AI is helping us reimagine the future of our company. We believe that where our data is a constant, we need flexibility with our LLMs. GenAI Gateway allows us to tap into this powerful new set of technologies at scale, in a way that is safe, responsible, flexible and scalable, delivering the ambition we have for AI to unlock the human potential within BT Group, today and in the future.”

About BT Group

BT Group is the UK’s leading provider of fixed and mobile telecommunications and related secure digital products, solutions and services. We also provide manag ||| ses into production with embedded security and compliance. The GenAI Gateway will trigger the flywheel effect in the adoption of generative AI, delivering quicker results for BT Group and its customers.”

Deepika Adusumilli, Managing Director, Data & AI, BT Group’s Digital Unit said: “AI is helping us reimagine the future of our company. We believe that where our data is a constant, we need flexibility with our LLMs. GenAI Gateway allows us to tap into this powerful new set of technologies at scale, in a way that is safe, responsible, flexible and scalable, delivering the ambition we have for AI to unlock the human potential within BT Group, today and in the future.”

About BT Group

BT Group is the UK’s leading provider of fixed and mobile telecommunications and related secure digital products, solutions and services. We also provide managed telecommunications, security and network & IT infrastructure services to customers across 180 countries.

BT Group consists of three customer-facing units: Consumer serves individuals and families in the UK; Business covers companies and public services in the UK and internationally; Openreach is an independently governed, wholly owned subsidi ||| ntrally, reducing the risk of error and the cost of maintaining separate LLMs for every use case.

GenAI Gateway, deployed on AWS, is accessed via secure APIs, like all the components of BT Group’s modular digital architecture. GenAI Gateway uses Amazon Bedrock, a fully managed service that offers a choice of high-performing foundation models from leading AI companies like AI21 Labs, Anthropic, Cohere, Meta, Mistral AI, Stability AI, and Amazon through a single API; as well Amazon SageMaker, a fully managed service that brings together a broad set of tools to enable high-performance, low-cost machine learning for any use case.  The platform supports prompt security, chat history, FinOps billing per use case, enterprise search, as well as use of multiple corporate data sources. Central privacy controls include separate tenants for each use case, the use of Personal Identifiable Information filters, the location of the data within the UK and the isolation of trained models from each other, protecting data in line with Group policies and relevant regulation. Guardrails are built into the GenAI Gateway, limiting the risk of jailbreaks or toxic interactions, filtering out queries that go beyond the re",no,no,ai_enablement_platform_and_guardrails,DUPG-005,governance,accept,"Substantive safe-GenAI-Gateway governance: prompt security, central privacy controls, per-use-case billing/access control, guardrails against jailbreak/toxic interactions, LLM-agnostic model governance."
BT-GOV-002,BT Group,BT.A,BT Group plc Annual Report 2025,BT.A_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.31,AI,B,1,ucts and services are used for good. So we focus on protecting privacy and free expression and preventing online harms. This year we: – developed AI guidance for our people to help them manage AI risks and stay in line with regulation. – refreshed our Consumer Data Principles to make sure we ma,no,no,safeguards_and_responsible_use,,governance,accept,Substantive: 'developed AI guidance for our people to help them manage AI risks and stay in line with regulation' -- genuine responsible-AI enablement content.
BT-GOV-003,BT Group,BT.A,BT Group plc Annual Report 2025,BT.A_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.60,AI,B,2,"icipating and preparing for tomorrow’s. That means actively managing risks like privacy, data architecture, processing and retention. Our data and AI strategy aims to deliver value and efficiency – while giving us a framework to manage risks on complying with data and AI governance and regulation ||| mework to manage risks on complying with data and AI governance and regulation. Not following data protection laws or regulations – or approaching AI irresponsibly – could damage our reputation and stakeholder trust, harm colleagues, customers or suppliers and/or lead to litigation, fines and pen",no,no,ai_governance_framework,DUPG-012,governance,accept,Substantive: explicit 'data and AI governance and regulation' framework and risk-appetite language on using AI responsibly.
BT-GOV-004,BT Group,BT.A,BT Group plc Annual Report 2025,BT.A_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.60,AI,B,1,"akeholder trust, harm colleagues, customers or suppliers and/or lead to litigation, fines and penalties. Our risk appetite We want to use data and AI ethically to grow our business, while following global regulations and contractual clauses. We aim to protect BT Group, colleagues, customers, part",no,no,safeguards_and_responsible_use,,governance,accept,Substantive: 'We want to use data and AI ethically to grow our business' -- explicit responsible-AI risk-appetite commitment.
BT-GOV-005,BT Group,BT.A,BT Group plc Annual Report 2025,BT.A_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.87,AI,B,1,"ard, had induction sessions covering the following areas: – Group strategy – Consumer – Business – Openreach – Security & Networks – Digital, Data & AI – Governance – HR and our colleagues – Regulatory context – Corporate Affairs – Investor relations, financial processes, funding and risk managemen",no,no,ai_governance_framework,,governance,reject,"New-director induction-session agenda listing many unrelated topics (HR, investor relations, corporate affairs, regulatory context); 'Digital, Data & AI' appears only as one incidental bullet, not substantive AI oversight content."
BT-GOV-006,BT Group,BT.A,BT Group plc Annual Report 2024,BT.A_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.39,AI,B,2,"ucts and services are used for good. So we focus on protecting privacy and free expression and preventing online harms. This year we published an AI standard for colleagues, to ensure our use, development, purchase and sale of AI is consistent with the responsible tech principles, thereby help ||| se, development, purchase and sale of AI is consistent with the responsible tech principles, thereby helping to reduce risk at every stage of the AI life cycle. Selling tech We sell to customers around the world. This year we: – enhanced sales due diligence in Business by adding checks for nega",no,no,safeguards_and_responsible_use,DUPG-018,governance,accept,Substantive: 'published an AI standard for colleagues... consistent with the responsible tech principles... reduce risk at every stage of the AI life cycle' -- genuine AI governance policy.
BT-GOV-007,BT Group,BT.A,BT Group plc Annual Report 2024,BT.A_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.66,AI,B,1,"e right AI skills and capabilities. We must also apply responsible technology principles that maintain our stakeholders’ trust. The growing use of AI also means relying even more on data, which creates new challenges and risks. Given the synergies between the two, we’ve expanded our Data GRC to",no,no,safeguards_and_responsible_use,DUPG-031,governance,accept,"Substantive: describes an actual governance-structure change -- 'expanded our Data GRC' to cover the growing use of AI -- genuine risk/compliance oversight expansion, not incidental."
BT-GOV-008,BT Group,BT.A,BT Group plc Annual Report 2024,BT.A_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.69,AI,B,2,"ation Officer What this category covers We must follow today’s global data regulations while anticipating and preparing for tomorrow’s. Our data and AI strategy aims to create value and enable efficiency, while giving us a robust framework for us to comply with data and AI governance and regulation ||| ciency, while giving us a robust framework for us to comply with data and AI governance and regulation. It also includes managing risks as we build AI solutions. Not following data protection laws or regulations or taking a responsible approach to AI could damage our reputation and stakeholder tr",no,no,ai_governance_framework,DUPG-021,governance,accept,"Substantive: explicit 'data and AI governance and regulation' framework, responsible-AI risk language."
BT-GOV-009,BT Group,BT.A,BT Group plc Annual Report 2024,BT.A_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.99,AI,B,1,"EO, Openreach. The sessions included the following areas: – Group Strategy – Consumer – Business – Openreach – Corporate Affairs – Digital, Data & AI – Security & Networks – HR & our colleagues – Financial processes, funding and risk management – Regulatory context – Governance. In addition, Ruth m",no,no,ai_governance_framework,,governance,reject,"Another Board/exec induction-session agenda listing unrelated topics (HR, investor relations, regulatory context); 'Digital, Data & AI' is again only one incidental bullet, not substantive AI oversight content -- same pattern as BT-GOV-005."
BT-GOV-010,BT Group,BT.A,BT Group plc Annual Report 2024,BT.A_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.109,generative AI,A,1,"pages 34 to 39. Responsible: new technology must earn trust and transform life for the better. The Committee: – provided challenge to explore how generative AI can be used to build trust, support growth and reduce risk relating to its adoption – reviewed the application of BT Group’s responsible tech princ",no,no,safeguards_and_responsible_use,,governance,accept,"Substantive Board/Committee oversight: 'The Committee: provided challenge to explore how generative AI can be used to build trust, support growth and reduce risk relating to its adoption... reviewed the application of BT Group's responsible tech principles.' Genuine, GenAI-specific Committee oversight."
