staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
HLMA-REJ-001,Halma plc,HLMA,Halma plc Annual Report and Accounts 2025,HLMA_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.14,automation,B,1,", we invested £45.6m (2024: £35.2m), principally in plant, equipment and vehicles. The increase reflects investment in manufacturing facilities and automation to support our future growth. We anticipate capital expenditure to be approximately £50m in the coming year. As appropriate, we capitalise product",no,no,ordinary_automation,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
HLMA-REJ-002,Halma plc,HLMA,Halma plc Annual Report and Accounts 2025,HLMA_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.20,AI,B,2,"edures; and synthetic bone grafts for clinical applications. The sector has an increasing footprint in women’s health with artificial intelligence (AI) based clinical decision support tools for childbirth and sample collection devices for cervical cancer screening. Sector companies also supply cr ||| an men due to lower effectiveness of, and investment in, treatments for women, poorer care delivery and lack of data 1. Our company PeriGen provides AI powered algorithms to prevent complications during childbirth, whilst Rovers, a recent acquisition, provides sample collection devices for cervical",no,no,vague_general_ai_reference,DUPG-001,rejected,,
HLMA-REJ-003,Halma plc,HLMA,Halma plc Annual Report and Accounts 2024,HLMA_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.23,automation,B,1,"), principally as result of the change in the mix of revenues in the Environmental & Analysis Sector. We are also continuing to invest group‑wide in automation and technology upgrades, including enhanced cybersecurity, improved data and analytics capabilities and upgrades to operating technology both at t",no,no,ordinary_automation,,rejected,,
HLMA-REJ-004,Halma plc,HLMA,Halma plc Annual Report and Accounts 2024,HLMA_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.26,automation,B,1,"ork. Further, in June 2024 all companies will migrate to a unified people platform, Workday, which will further enhance data accessibility, process automation and the employee experience, supporting our companies’ growth and competitiveness on a global scale. Over time, this technology platform will also",no,no,ordinary_automation,,rejected,,
HLMA-REJ-005,Halma plc,HLMA,Halma plc Annual Report and Accounts 2024,HLMA_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.50,automation,B,1,"e capital expenditure to increase to approximately £38m in the coming year, reflecting investment in the expansion of manufacturing facilities and automation to support future growth. Lease right‑of‑use asset additions and remeasurements were £18.6m (2023: £32.2m). This included additions of £3.2m as a",no,no,ordinary_automation,,rejected,,
HLMA-REJ-006,Halma plc,HLMA,Halma plc Annual Report and Accounts 2024,HLMA_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.67,AI,B,1,dures; and synthetic bone grafts for clinical applications. The sector has an increasing footprint in women’s health with artificial intelligence (AI) based clinical decision support tools for childbirth and sample collection devices for cervical cancer screening. Sector companies also supply cri,no,no,vague_general_ai_reference,DUPG-003,rejected,,
HLMA-REJ-007,Halma plc,HLMA,Halma plc Annual Report and Accounts 2024,HLMA_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.68,AI,B,1,"ll health compared to men due to lower effectiveness of treatments for women, worse care delivery and lack of data 1. Our company PeriGen provides AI‑powered algorithms to prevent complications during childbirth, whilst Rovers, a recent acquisition, provides sample collection devices for cervica",no,no,vague_general_ai_reference,,rejected,,
HLMA-REJ-008,Halma plc,HLMA,Halma plc Annual Report and Accounts 2024,HLMA_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.70,automation,B,1,"ompanies. • In June 20 24 all companies will migrate to a unified people platform, Workday, which will further enhance data accessibility, process automation and the employee experience, supporting our companies’ growth and competitiveness on a global scale. • Conti nued to improve the onboarding experie",no,no,ordinary_automation,,rejected,,
HLMA-REJ-009,Halma plc,HLMA,Halma plc Annual Report and Accounts 2024,HLMA_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.84,artificial intelligence,B,1,"subtle and build gradually over hours. Early warning system for healthcare workers PeriGen, a Halma company based in North Carolina, US, provides Artificial Intelligence based software solutions to interpret this data in real time, updating the care team and enhancing the delivery of care during childbirth. PeriGen",no,no,vague_general_ai_reference,,rejected,,
HLMA-REJ-010,Halma plc,HLMA,Halma plc Annual Report and Accounts 2024,HLMA_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.109,AI,B,1,"erging risks were monitored and assessed during the review this year, such as the speed of change in technology, increasing regulation on data and AI, erosion of social cohesion, and climate ‑relat ed risk (see also TCFD Statement section at page 90), currently, none of these is expected to beco",no,no,vague_general_ai_reference,,rejected,,
