company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Standard Life,SDLF,,SDLF_company_annual_report_current_fy2025_2026-03-16.pdf,p.19,automation,B,"nsformation Programme. Through this dedicated programme, a new finance organisation design was created, enabling streamlined processes, increased automation and enhanced controls. The additional tools and capabilities delivered by this transformation, combined with other initiatives which simplify cur",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Life,SDLF,,SDLF_company_annual_report_current_fy2025_2026-03-16.pdf,p.41,AI,B,"sistent geopolitical tensions, alongside a competitive market environment that is evolving as customer expectations and artificial intelligence (‘AI’) capabilities advance. In addition, the recent escalation of conflict in the Middle East has contributed to ongoing uncertainty. Despite this ba",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Life,SDLF,,SDLF_company_annual_report_current_fy2025_2026-03-16.pdf,p.41,AI,B,ffectiveness and adapting to an evolving risk landscape. This includes the continued development of our approaches to emerging risk areas such as AI and nature-related risks. The RMF consists of a number of key components that collectively enable comprehensive oversight and effective risk manag,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Life,SDLF,,SDLF_company_annual_report_current_fy2025_2026-03-16.pdf,p.43,AI,B,business change programmes such as migrations or transformation. There is also a key risk that it will be harder to attract new capabilities (e.g. AI) in a competitive market and impact our ability to deliver our ambition. There is ongoing monitoring of the capability and capacity required to sup,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Life,SDLF,,SDLF_company_annual_report_current_fy2025_2026-03-16.pdf,p.43,AI,B,"g environment remains stable. The Group continues to build on its future-focused skills needed to support long-term growth, including investment in AI and data capability, leadership development and targeted upskilling to ensure colleagues can succeed and support delivery of the Group strategy as",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Life,SDLF,,SDLF_company_annual_report_current_fy2025_2026-03-16.pdf,p.43,AI,B,"ategies or asset managers, when we believe this can offer better risk-adjusted returns to customers. Emerging technologies Impact Mitigating actions AI presents opportunities across our organisation. However, it presents a range of risks, most notably a change in the competitive landscape, customer",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Life,SDLF,,SDLF_company_annual_report_current_fy2025_2026-03-16.pdf,p.43,AI,B,"opportunities for many industries; however, this may create risk to existing encryption techniques. The Group continues to develop and enhance its AI Framework to support safe adoption of AI to deliver business benefits. This includes ensuring controls are fit for purpose and in line with our sta",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Life,SDLF,,SDLF_company_annual_report_current_fy2025_2026-03-16.pdf,p.45,AI,B,"Risk Officer (‘CRO’) and Head of Regulatory Relationships, providing insights on regulatory views and strategic impact. Artificial Intelligence (‘AI’) and cyber security are priority areas for both Boards. Emerging risks now include emerging technologies, covering both AI and quantum risks. St",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Life,SDLF,,SDLF_company_annual_report_current_fy2025_2026-03-16.pdf,p.45,AI,B,"w include emerging technologies, covering both AI and quantum risks. Standard Life takes its oversight and management of these matters seriously. AI will be applied across our business, technology, data and people. AI-related risk, including the investment-focused ‘AI bubble’ highlighted in H2",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Life,SDLF,,SDLF_company_annual_report_current_fy2025_2026-03-16.pdf,p.45,AI,B,"2026, comprising of both Group and Life Companies Non-Executive Directors, to provide expert guidance and challenge on items such as the Group’s AI strategy. Board changes Sherry Coutu was appointed as a Director of the Group Board on 1 May 2025 and Chair of the Group Board Remuneration Commi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Life,SDLF,,SDLF_company_annual_report_current_fy2025_2026-03-16.pdf,p.47,artificial intelligence,B,"up Board Remuneration Committee, while always being mindful of the Company’s stakeholders. • Deep understanding of the role posed by technology, Artificial Intelligence and cyber within the business environment, which offers a unique insight into the ways in which the Group can capitalise on opportunities and kee",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
