staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_finding_type,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
SMT-STR-001,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.9,AI,B,1,"07 SCOTTISH MORTGAGE INVESTMENT TRUST PLC STRATEGIC REPORT Conversely, we added to companies that will benefit from the broader adoption of AI tools. Meta has rebuilt its business with greater efficiency, while embedding AI more deeply into its product and advertising stack. It has many o",no,no,embedding_ai_into_operations,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
SMT-STR-002,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.22,AI,B,1,"ces for this and customers can choose whether their data stays fast and local or distributed and cheap. Prince is optimistic about the scale of the AI opportunity, however, admits that the speed of adoption is harder to ascertain and as such Cloudflare’s capital expenditure commitments to date ha",no,no,embedding_ai_into_operations,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
SMT-STR-003,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.39,AI,B,1,total assets Sinovation Fund III 0.1 Sana Biotechnology <0.1 Arch Venture Partners Overage <0.1 ARCH Ventures Fund X <0.1 ARCH Ventures <0.1 Global AI Opportunities Fund 10 <0.1 Illumina 10 <0.1 WI Harper Fund 10 <0.1 Innovation Works Development Fund 10 <0.1 Bolt Projects Holdings Inc <0.1 Ind,no,no,embedding_ai_into_operations,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
SMT-STR-004,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.46,AI,B,1,"in biotech start-ups 6,220 <0.1 7,051 ARCH Ventures Fund IX Venture capital fund to invest in biotech start-ups 5,516 <0.1 7,472 Global AI Opportunities Fund Artificial intelligence based algorithmic trading 5,237 <0.1 4,580 ARCH Ventures Fund XII Venture capital fund to invest",no,no,embedding_ai_into_operations,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
SMT-STR-005,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.89,AI,B,1,IPEV guidelines (commonly referred to as ‘trigger’ events). Significant holdings The Company has a significant holding in the shares of the Global AI Opportunities Fund and in the limited partnership of the WI Harper Fund VII (see note 9 on page 94). The Company has taken advantage of the exempti,no,no,embedding_ai_into_operations,DUPG-017,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
SMT-STR-006,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.96,AI,B,4,"portion of shares held % Latest Financial Statements Capital and reserves (’000)Name Business Country of incorporation Profit/(loss) (’000) Global AI Opportunities Fund Artificial intelligence based algorithmic trading Not applicable* Class A† 89.6% 31/03/2024 £5,098 (£55) WI Harper Fund VII ||| ortion of shares held % Latest Financial Statements Capital and reserves (’000) Profit/(loss) (’000)Name Business Country of incorporation Global AI Opportunities Fund Artificial intelligence based algorithmic trading Not applicable* Class A† 89.6% 31/03/2023 £5,455 (£278) WI Harper Fund VI ||| WI Harper Fund VII Venture capital fund Not applicable* Not applicable 80.0% 31/12/2023 US$6,717 (US$516) * The registered address of the Global AI Opportunities Fund is: Level E Capital SICAV p.l.c., 171, Old Bakery Street, Valletta, VLT 1455, Malta. The address of the WI Harper Fund VII is: 50 ||| tta, VLT 1455, Malta. The address of the WI Harper Fund VII is: 50 California Street, Suite 2580, San Francisco, California 94111, U.S.A. † Global AI Opportunities Fund information represents the holding in Class A. No other share classes are held by the Company.",no,no,embedding_ai_into_operations,DUPG-008,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
SMT-STR-007,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.35,AI,B,1,s Fund IX 0.1 ARCH Ventures Fund X Overage 0.1 ARCH Ventures Fund X 0.1 Innovation Works Development Fund 10 0.1 WI Harper Fund VII 10 0.1 Global AI Opportunities Fund 10 <0.1 Indigo Agriculture Inc <0.1 Uptake Technologies Inc <0.1 Illumina 10 <0.1 Udacity Inc <0.1 Intarcia Therapeutics – Tota,no,no,embedding_ai_into_operations,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
SMT-STR-008,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.43,AI,B,1,"MENT TRUST PLC STRATEGIC REPORT Name Business Fair value 31 March 2024 £’000 % of total assets Notes * Fair value 31 March 2023 £’000 Global AI Opportunities Fund Artificial intelligence based algorithmic trading 4,580 <0.1 4,728 Blockstream Corporation Inc Series B-1 Pref. Financial so",no,no,embedding_ai_into_operations,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
SMT-STR-009,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.85,AI,B,1,IPEV guidelines (commonly referred to as ‘trigger’ events). Significant holdings The Company has a significant holding in the shares of the Global AI Opportunities Fund and in the limited partnership of the WI Harper Fund VII (see note 9 on page 90). The Company has taken advantage of the exempti,no,no,embedding_ai_into_operations,DUPG-017,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
SMT-STR-010,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.92,AI,B,4,"rtion of shares held % Latest Financial Statements Capital and reserves (’000)Name Business Country of incorporation Profit/(loss) (’000) Global AI Opportunities Fund Artificial intelligence based algorithmic trading Not applicable* Class A† 89.6% 31/03/2023 £5,455 (£278) WI Harper Fund VI ||| rtion of shares held % Latest Financial Statements Capital and reserves (’000) Profit/(loss) (’000)Name Business Country of incorporation Global AI Opportunities Fund Artificial intelligence based algorithmic trading Not applicable* Class A† 87.9% 31/03/2022 £5,840 (£36) WI Harper Fund VII ||| Harper Fund VII Venture capital fund Not applicable* Not applicable 80.8%# 31/12/2022 US$8,065 (US$2,260) * The registered address of the Global AI Opportunities Fund is: Level E Capital SICAV p.l.c., 171, Old Bakery Street, Valletta, VLT 1455, Malta. The address of the WI Harper Fund VII is: 50 ||| tta, VLT 1455, Malta. The address of the WI Harper Fund VII is: 50 California Street, Suite 2580, San Francisco, California 94111, U.S.A. † Global AI Opportunities Fund information represents the holding in Class A. No other share classes are held by the Company. # The holding percentage for the",no,no,embedding_ai_into_operations,DUPG-016,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
