staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
WEIR-REJ-001,Weir Group,WEIR,Weir Group plc Annual Report 2025,WEIR_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.5,automation,B,1,"mining technology solutions demands a combination of deep customer insight, world class engineering and materials science, enabled by intelligent automation. Working in close partnership with our customers, we help them to…",no,no,ordinary_automation,DUPG-013,rejected,,
WEIR-REJ-002,Weir Group,WEIR,Weir Group plc Annual Report 2025,WEIR_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.9,AI,B,1,"f their lives. – Achieve and sustain a zero harm workplace – Nurture our inclusive ‘One Weir’ culture – Create a future-ready workforce enabled by AI Read more about our People pillar on pages 29 to 30 → Customer We will be the most admired business in our sector. Working in partnership, we d",no,no,vague_general_ai_reference,,rejected,,
WEIR-REJ-003,Weir Group,WEIR,Weir Group plc Annual Report 2025,WEIR_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.15,AI,B,1,ion also includes Weir’s Software Solutions business which provides a suite of equipment- agnostic planning and decision software (Micromine®) and AI- powered monitoring technologies that optimise performance from exploration to extraction. → Read more on pages 45 to 46 Divisional revenue1 £70,no,no,vague_general_ai_reference,,rejected,,
WEIR-REJ-004,Weir Group,WEIR,Weir Group plc Annual Report 2025,WEIR_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.21,AI,B,1,"more critical metals. Our customers recognise the need for new solutions – across process technology, real-time data and digital enablement, and AI enhanced process automation – to mitigate risk at new and existing mines and drive higher production yields. Over the past several years we have",no,no,ordinary_automation,,rejected,,
WEIR-REJ-005,Weir Group,WEIR,Weir Group plc Annual Report 2025,WEIR_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.22,automation,B,1,"th Weir’s purpose Market opportunity: Across the industry, leading miners are prioritising productivity gains and operating efficiency, deploying automation, digital analytics and process innovations to offset declining grades and rising input costs. Research by McKinsey3 highlights that mining produ",no,no,ordinary_automation,,rejected,,
WEIR-REJ-006,Weir Group,WEIR,Weir Group plc Annual Report 2025,WEIR_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.22,AI,B,3,"and rare earths – continues to accelerate, driven by electric vehicles, grid build-out, renewable energy and the data centre boom associated with AI. The IEA’s Global Critical Minerals Outlook 2025 1 projects continued strong growth and highlights copper’s expanding role in grids and clean tec ||| by commodity; see pie chart page 14). Industry forecasts point to copper demand rising steeply through the next decade amid electrification and AI infrastructure, with long mine lead times, declining ore grades and geographic concentration creating persistent supply challenges. AI-enabled da ||| lobal.weir/untapped Notes 1. https://www.iea.org/reports/global-critical- minerals-outlook-2025 2. https://theoregongroup.com/commodities/ copper/ai-data-centers-to-drive-2-of- global-copper-demand-by-2030/ 3. https://www.mckinsey.com/industries/ metals-and-mining/our-insights/ performing-under",no,no,vague_general_ai_reference,DUPG-001,rejected,,
WEIR-REJ-007,Weir Group,WEIR,Weir Group plc Annual Report 2025,WEIR_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.23,AI,B,3,"ttlenecking, brownfield expansions and efficiency upgrades across comminution, slurry handling and wear-intensive circuits, alongside adoption of AI-enabled monitoring and mine-to-mill optimisation. Why Weir is well poised to benefit: Weir’s purpose – enabling the sustainable and efficient del ||| th the integration of digital solutions, including the Micromine® software suite, we can connect intelligent products with advanced analytics and AI to optimise mine design, improve throughput, reduce equipment wear, lower energy use and enhance water efficiency – creating measurable sustainab ||| mining production expands. Conclusion: Well placed to outgrow attractive markets Rising multi-decade demand for metals enabling electrification, AI and energy resilience, coupled with persistent supply constraints creates a supportive backdrop for high-quality mining technology partners like",no,no,vague_general_ai_reference,DUPG-002,rejected,,
WEIR-REJ-008,Weir Group,WEIR,Weir Group plc Annual Report 2025,WEIR_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.30,AI,B,1,initiatives – Achieve and sustain a zero harm workplace – Nurture our inclusive ‘One Weir’ culture – Create a future-ready workforce enabled by AI Link to sustainability strategy Champion zero harm Nurture our culture People KPIs Total incident rate1 0.52 (2024: 0.42) Employee net promo,no,no,vague_general_ai_reference,,rejected,,
WEIR-REJ-009,Weir Group,WEIR,Weir Group plc Annual Report 2025,WEIR_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.31,AI,B,1,pages 139 to 142 è è è 2026 bonus measures Strategic measures Maintain engagement score in top decile of manufacturing companies Deliver AI upskilling training ESG measures Safety — improve our safety TIR Inclusion — improve our female gender diversity across all job bands Read more,no,no,vague_general_ai_reference,,rejected,,
WEIR-REJ-010,Weir Group,WEIR,Weir Group plc Annual Report 2025,WEIR_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.36,automation,B,1,"nned by our strengths in engineering and materials science, manufacturing know-how and deep customer insight, increasingly enabled by intelligent automation. We have some of the world’s leading metallurgists, materials scientists, data scientists and foundry experts in our team, and our exotic alloys",no,no,ordinary_automation,DUPG-014,rejected,,
