staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
NWG-GOV-001,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.24,AI,B,1,"re of Excellence, we continued to develop the use of AI technologies to enhance our defensive capabilities against the threat of bad actors using AI and machine learning for deep fakes and advanced phishing. • We enhanced our approach to identity and access management to safeguard sensitive i",no,no,safeguards_and_responsible_use,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-002,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.25,Copilot,A,1,"elves standards for responsible AI with our AI and Data Ethics Code of Conduct. In 2025, we rolled out AI tools including GitLab Duo and Microsoft Copilot to colleagues to help meet customer needs safely and responsibly. Scaling our capabilities in technology We operate in a highly-regulated marke",no,no,safeguards_and_responsible_use,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-003,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.45,AI,B,1,"egistered on the app. In 2025, we forged partnerships to drive inclusive growth and innovation. Our collaboration with Google supports responsible AI adoption, boosting digital capability for entrepreneurs. With JCDecaux UK, they empower early-stage businesses to scale through Out-of-Home adver",no,no,safeguards_and_responsible_use,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-004,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.48,AI,B,1,"igital services and adopt emerging technologies that support our customers, maintaining accessibility, stability, and responsible use of data and AI, is essential. Enhancements to mobile apps and online platforms We recognise there is always room to strengthen the services we provide and our de",no,no,safeguards_and_responsible_use,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-005,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.49,AI,B,1,"our governance processes by removing unnecessary steps. More broadly, we are enhancing our risk framework and controls with the aim to ensure our AI systems are robust, secure and properly governed. NatWest Group’s Enterprise-Wide Risk Management Framework (EWRMF) provides the appropriate guar",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-006,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.49,AI,B,5,"n strengthening our internal capabilities to safely embed AI and data ethics across our organisation and customer journeys. We continued to embed AI and data ethics into our AI development, procurement, deployment and use across the bank, and we also grew our Responsible AI Team to support with ||| ur Responsible AI Team to support with this. Through a partnership with the University of Edinburgh, we are upskilling team members in responsible AI. A second cohort of 32 colleagues completed a bespoke practitioners’ course based on the University’s Data and AI Ethics masters course, with mor ||| a bespoke practitioners’ course based on the University’s Data and AI Ethics masters course, with more cohorts planned for 2026. We published our AI and Data Ethics (AIDE) Code of Conduct to be transparent about our approach to the development, procurement, deployment and use of AI. In addition ||| (AIDE) Code of Conduct to be transparent about our approach to the development, procurement, deployment and use of AI. In addition, the Responsible AI Team refined the AIDE process to include a triage for all AI use cases. This system allows us to assess ethical risks proportionately across us ||| NatWest Group’s Enterprise-Wide Risk Management Framework (EWRMF) provides the appropriate guardrails to ensure the safe and secure deployment of AI.(1) Improving digital accessibility Our aim is to provide a consistent and accessible experience for all our customers, which includes engaging dis",no,no,safeguards_and_responsible_use,DUPG-006,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-007,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.133,AI,B,2,"t Framework and delivery of internal ratings-based models to comply with regulatory expectations. During 2025, BRC also devoted time to discussing AI deployment within the NatWest Group, with particular focus on enhancement of risk management controls as well as the development and governance o ||| eployment within the NatWest Group, with particular focus on enhancement of risk management controls as well as the development and governance of AI models. In addition to the above principal areas of focus, the committee continued its oversight of NatWest Group’s other key financial and non-fi",no,no,ai_governance_framework,DUPG-018,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-008,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.136,AI,B,1,"f the validation process and requested enhanced reporting in the Group Risk Report to improve committee oversight. The development and governance of AI models was specifically considered by BRC, including the need to ensure appropriate resource and skillsets throughout the model lifecycle. Through i",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-009,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.274,AI,B,1,"ice. • NatWest Group is also evaluating alternative rules mapping approaches, including a regulatory traceability model supported by an integrated AI-enabled platform. This will simplify governance, reduce complexity, and improve consistency, while ensuring its framework remains resilient and f",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-010,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.275,AI,B,1,"ice. • NatWest Group is also evaluating alternative rules mapping approaches, including a regulatory traceability model supported by an integrated AI-enabled platform. This will simplify governance, reduce complexity, and improve consistency, while ensuring its framework remains resilient and f",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-011,NatWest Group,NWG,NatWest Group plc 2025 Annual Report and Accounts,NWG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.415,artificial intelligence,B,1,"NatWest Group outsources certain activities, including with respect to the implementation of technologies, innovation (such as cloud services and artificial intelligence) and responding to regulatory and market changes. Strategic report Financial review Governance and remuneration Risk and capital management Financi",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-012,NatWest Group,NWG,NatWest Group plc 2024 Annual Report and Accounts,NWG_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.29,AI,B,1,"cial review Governance and remuneration Risk and capital management Financial statements Additional information Market environment continued AI and machine learning are also transforming the cybersecurity landscape. While they create new opportunities, they also present new challenges, low",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-013,NatWest Group,NWG,NatWest Group plc 2024 Annual Report and Accounts,NWG_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.29,AI,B,1,"acts. Additionally, NatWest Group is working on delivering compliance in relation to the EU’s Digital Operational Resilience Act (DORA) and the EU AI Act. We are in the process of providing the appropriate mechanisms to ensure that impacted entities have the necessary safeguards in place. Thro",no,no,safeguards_and_responsible_use,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-014,NatWest Group,NWG,NatWest Group plc 2024 Annual Report and Accounts,NWG_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.100,AI,B,1,"ed executive remuneration and the wider workforce, the new performance management system Beyond, NatWest Group’s evolving purpose and responsible AI. Culture strategy As part of the Board strategy sessions careful consideration was given to the cultural shift required to deliver the renewed",no,no,safeguards_and_responsible_use,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-015,NatWest Group,NWG,NatWest Group plc 2024 Annual Report and Accounts,NWG_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.103,AI,B,1,"iews on executive remuneration and the wider workforce, the new performance management approach Beyond, evolving our purpose, and responsible AI. The CAP Chair reported to the Board on those discussions in June and December and followed up with Panel members post-Board, ensuring a co",no,no,safeguards_and_responsible_use,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-016,NatWest Group,NWG,NatWest Group plc 2024 Annual Report and Accounts,NWG_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.274,artificial intelligence,B,1,ures which provide comprehensive coverage of the key operational risks. - The introduction of an effective and well-defined approach to leverage artificial intelligence to enhance controls articulation and manage controls data quality on an ongoing basis. GovernanceGovernance The risk governance arrangements in,no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-017,NatWest Group,NWG,NatWest Group plc 2024 Annual Report and Accounts,NWG_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.275,artificial intelligence,B,1,sures which provide comprehensive coverage of the key operational risks. - The introduction of an effective and well-defined approach to leverage artificial intelligence to enhance controls articulation and manage controls data quality on an ongoing basis. G Go ov ve er rn na an nc ce e The risk governance arrangem,no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure.
NWG-GOV-018,NatWest Group,NWG,NatWest Group plc 2024 Annual Report and Accounts,NWG_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.426,AI,B,1,"minimum wage), modern slavery, accessible banking and financial inclusion, financial crime, data privacy breaches, innovation, digitalisation and AI, and lack of support for the vulnerable; and (ii) governance-related risks (including board diversity, ethical corporate culture, executive compen",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance disclosure.
