duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Polar Capital Technology Trust,PCT-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.12) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-002,Polar Capital Technology Trust,PCT-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.16) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Polar Capital Technology Trust,PCT-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,11 passages on the same page (p.17) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Polar Capital Technology Trust,PCT-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,9 passages on the same page (p.18) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Polar Capital Technology Trust,PCT-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,13 passages on the same page (p.19) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Polar Capital Technology Trust,PCT-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.20) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Polar Capital Technology Trust,PCT-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,9 passages on the same page (p.21) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Polar Capital Technology Trust,PCT-STR-005,strategic_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.21) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same technology strategy theme and were consolidated into one row.,yes,,
DUPG-009,Polar Capital Technology Trust,PCT-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.22) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-010,Polar Capital Technology Trust,PCT-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (p.22) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Polar Capital Technology Trust,PCT-REJ-014,rejected_candidates_staging,same_source_consolidation,not_applicable,10 passages on the same page (p.23) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,Polar Capital Technology Trust,PCT-REJ-015,rejected_candidates_staging,same_source_consolidation,not_applicable,9 passages on the same page (p.24) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,Polar Capital Technology Trust,PCT-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.25) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,Polar Capital Technology Trust,PCT-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,10 passages on the same page (p.26) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,Polar Capital Technology Trust,PCT-REJ-018,rejected_candidates_staging,same_source_consolidation,not_applicable,9 passages on the same page (p.27) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-016,Polar Capital Technology Trust,PCT-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,11 passages on the same page (p.28) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-017,Polar Capital Technology Trust,PCT-REJ-020,rejected_candidates_staging,same_source_consolidation,not_applicable,8 passages on the same page (p.29) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-018,Polar Capital Technology Trust,PCT-REJ-021,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.30) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-019,Polar Capital Technology Trust,PCT-REJ-022,rejected_candidates_staging,same_source_consolidation,not_applicable,9 passages on the same page (p.31) of PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
