duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Kingfisher plc,KGF-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.10) of KGF_company_annual_report_current_fy2024-25_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Kingfisher plc,KGF-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.11) of KGF_company_annual_report_current_fy2024-25_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Kingfisher plc,KGF-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.65) of KGF_company_annual_report_current_fy2024-25_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Kingfisher plc,KGF-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.67) of KGF_company_annual_report_current_fy2024-25_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Kingfisher plc,KGF-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.6) of KGF_company_annual_report_previous_fy2023-24_2024-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Kingfisher plc,KGF-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.10) of KGF_company_annual_report_previous_fy2023-24_2024-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Kingfisher plc,KGF-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.11) of KGF_company_annual_report_previous_fy2023-24_2024-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Kingfisher plc,KGF-REJ-018,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.64) of KGF_company_annual_report_previous_fy2023-24_2024-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Kingfisher plc,KGF-REJ-020,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (not_applicable) of KGF_company_press_release_n-a_2023-11.html describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Kingfisher plc,KGF-REJ-007;KGF-REJ-018,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.53,Passages in KGF_company_annual_report_current_fy2024-25_2025-03.pdf and KGF_company_annual_report_previous_fy2023-24_2024-03.pdf are textually very similar (difflib ratio 0.53).,yes,,
