company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Metlen Energy & Metals,MTLN,,MTLN_company_annual_report_current_fy2025_2026.pdf,p.11,AI,B,"• 7 research projects to increase competitiveness and explore the implementation of an industrial circular economy • Development of 7 innovative AI chain solutions for smart grid, storage, energy demand forecasting Social Capital • Central consultation with the participation of 622 represent",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Metlen Energy & Metals,MTLN,,MTLN_company_annual_report_current_fy2025_2026.pdf,p.19,automation,B,"plan, report, and manage performance across the Group. At the same time, we are expanding the use of digital platforms and technologies to improve automation, reporting, insights, and analytics, enabling our teams to focus increasingly on higher-value activities, stronger business partnering, and long-t",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Metlen Energy & Metals,MTLN,,MTLN_company_annual_report_current_fy2025_2026.pdf,p.58,artificial intelligence,B,"erations, enhancing collaboration between Business Sectors, Production Technology, and Information Technology. Combined with the strategic use of Artificial Intelligence, this approach aims to achieve tangible results more quickly and efficiently. It fosters a flexible and collaborative environment where cross- fun",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Metlen Energy & Metals,MTLN,,MTLN_company_annual_report_current_fy2025_2026.pdf,p.62,artificial intelligence,B,"et the requirements of a new generation of consumers, where every consumer can become an energy manager through technology. Using modern tools and artificial intelligence systems, as well as photovoltaic installations and digital meters, the Energy Sector provides customised energy solutions tailored to the profile",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Metlen Energy & Metals,MTLN,,MTLN_company_annual_report_current_fy2025_2026.pdf,p.66,artificial intelligence,B,"is, only the completed questionnaires were used, while reasonableness checks were applied to verify the relevance of the answers. With the use of artificial intelligence tools, each answer was correlated with the corresponding Topic or Subtopic of the ESRS Standards, while in cases of multiple correlation, the answ",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Metlen Energy & Metals,MTLN,,MTLN_company_annual_report_current_fy2025_2026.pdf,p.104,AI,B,"opean and international aluminium industry roadmaps (Net Zero by 2050: Science based Decarbonisation Pathways for the European Aluminium Industry, AI GHG Pathways and IRENA), covering the necessary technologies and mechanisms for the pathway toward 2050. The Group’s transition plan encompasses",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Metlen Energy & Metals,MTLN,,MTLN_company_annual_report_current_fy2025_2026.pdf,p.196,automation,B,"onsecutive shifts without adequate rest. Moving forward, the integration of the process into METLEN Success Factors is planned in order to enhance automation and monitoring, reducing the negative impact of work circularity and enhancing shift predictability for workers. c) Monitoring and evaluation of w",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Metlen Energy & Metals,MTLN,,MTLN_company_annual_report_current_fy2025_2026.pdf,p.240,artificial intelligence,B,"plemention Years MDR-A_68-c 10 – Reduced Inequalities “AMEA (PWD) – Annotators 2” Science For You (SCIFY) Training of People with Disabilities in Artificial Intelligence, Annotation Skills Development for the Development of Artificial Intelligence Systems. 205 2024-2025 Modernisation of the Printing – Lithography De",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Metlen Energy & Metals,MTLN,,MTLN_company_annual_report_current_fy2025_2026.pdf,p.252,generative AI,A,"cial Intelligence (AI) software and solutions for Energy and “Smart Cities”, because it combines Energy Machine Learning Models, Location AI and Generative AI. Specifically, Avokado offers: S4-4_33-b a) an AI platform under the trade name AVOX™ for the green energy transition of businesses, organisations",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Metlen Energy & Metals,MTLN,,MTLN_company_annual_report_current_fy2025_2026.pdf,p.252,GenAI,A,"S), c) a digital Artificial Intelligence toolkit under the brand name Avokado AI™ to meet the specialised needs of the energy industry, d) a smart GenAI CORTEX digital assistant for B2B customers. MDR-A_66 During 2025, the following projects/new products and services were underway: S4-4_32-b 1. P",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
