staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
SPX-REJ-001,Spirax Group,SPX,Spirax Group plc Annual Report 2025,SPX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.9,AI,B,1,"eview of the Group’s cyber risks and readiness • Digital: ongoing review of the Group’s investment in Digital and Services capability and the use of AI in addition to oversight of the ERP programme • People and culture: talent development, succession planning and whistle-blowing updates • Governa",no,no,vague_general_ai_reference,,rejected,,
SPX-REJ-002,Spirax Group,SPX,Spirax Group plc Annual Report 2025,SPX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.24,large language model,A,1,"creased pull-through revenues. With a focus on enhancing sales engineer productivity, we have also continued to refine and develop our proprietary large language model-based training and solutions tool, MiM. This tool has been built using our extensive bank of proprietary application knowledge to reduce the time r",no,no,vague_general_ai_reference,,rejected,correct,"Fragment of the MiM large-language-model tool narrative, over-consolidated/duplicated across five rejected rows (SPX-REJ-002, 010, 013, 015, 020) spanning both the current and previous annual reports. The fuller current-AR passage (p.24) confirms this is a named, company-developed LLM tool piloted with 200 sales colleagues in 2025 (freeing ~4 hours/person/week) and now rolled out to over 1,000 sales colleagues. Split out to new operational staging row SPX-OP-001. This row marked reviewer_decision=correct to exclude it from rejected-findings promotion, since its qualifying content has moved to SPX-OP-001."
SPX-REJ-003,Spirax Group,SPX,Spirax Group plc Annual Report 2025,SPX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.56,AI,B,2,"area for our Electric Thermal Solutions (ETS) Business. Datacentres underpin the digital economy, supporting everything from cloud computing to AI-driven applications. ICF, a global consulting and technology firm, predicts that by 2030 up to 25% of USA power production could be consumed by ||| bal priorities. This growth is not limited to technology giants; other industries, such as Banking, are also investing heavily in datacentres for AI-driven applications. The expansion of the Datacentre sector drives demand for supporting products and services, such as industrial heaters, heat",no,no,vague_general_ai_reference,DUPG-001,rejected,,
SPX-REJ-004,Spirax Group,SPX,Spirax Group plc Annual Report 2025,SPX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.88,AI,B,3,"ctrum of emerging risks across operational, financial, strategic, compliance, reputational, market, security and physical domains. The emergence of AI, with the pace of its development and its impact already evident across multiple facets of society, is an area of focus for our Group and our Board ||| act already evident across multiple facets of society, is an area of focus for our Group and our Board. While we recognise the significant benefits AI can bring to our organisation, we are also aware of the growing risks it poses. In 2025, we have closely monitored developments in AI, initiated t ||| risks it poses. In 2025, we have closely monitored developments in AI, initiated training for our Board and Executives and identified the various AI-related opportunities and risks for our Group. We continue to monitor the evolving role of AI across our business and organisation. In 2026, our fo",no,no,vague_general_ai_reference,DUPG-003,rejected,,
SPX-REJ-005,Spirax Group,SPX,Spirax Group plc Annual Report 2025,SPX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.91,AI,B,1,"gh-profile cyber incidents, severely disrupting operations and inflicting significant financial losses. Cybercriminals are increasingly deploying AI-enabled attacks with increasing sophistication and scale. Very high High Balanced Low Very low Our commitment to implementing and maintaining robu",no,no,vague_general_ai_reference,,rejected,,
SPX-REJ-006,Spirax Group,SPX,Spirax Group plc Annual Report 2025,SPX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.105,AI,B,1,"Committee updates received during 2025, which highlighted the growing complexity of risks such as cybersecurity, regulatory change, sustainability, AI and geopolitical factors, the Board decided to expand the Audit Committee’s remit from April 2026, to include risk oversight more fully. This refle",no,no,audit_analytics,,rejected,,
SPX-REJ-007,Spirax Group,SPX,Spirax Group plc Annual Report 2025,SPX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.106,AI,B,1,"ing 11 Operational 9 M&A and R&D 11 Restructuring, Rationalisation and Change Management 10 Risk Management 10 Digital strategy 7 Business systems (AI/ Data Management) 9 Digital risk, privacy and cybersecurity 8 Environmental, health and safety 9 Organisational Culture (DE&I) 7 Innovation 9 Board",no,no,vague_general_ai_reference,,rejected,,
SPX-REJ-008,Spirax Group,SPX,Spirax Group plc Annual Report 2025,SPX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.108,AI,B,1,"December 2020 Skills and experience Angela has over 30 years of leadership experience, with expertise in information technology, including digital/AI, operational excellence and strategy. She held senior executive roles at IBM, including VP of Transformation and COO of Watson Health. In the pas",no,no,vague_general_ai_reference,,rejected,,
SPX-REJ-009,Spirax Group,SPX,Spirax Group plc Annual Report 2025,SPX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.109,LLM,A,1,"Committee C Colleague Engagement Committee R Remuneration C ommittee RK Risk Management Committee Denotes Committee Chair Céline Barroche LLM, PGDL, ACG Group General Counsel and Company Secretary Appointed as Group General Counsel and Company Secretary September 2024 Skills and experienc",no,no,vague_general_ai_reference,DUPG-006,rejected,,
SPX-REJ-010,Spirax Group,SPX,Spirax Group plc Annual Report 2025,SPX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.122,generative AI,A,1,"efficiency Our long-term investments in systems are recognised by colleagues and some are seeing the benefits in certain areas, such as the use of generative AI in developing MiM. Co-developed with teams across the Group, MiM is being designed to give sales engineers instant access to trusted internal cont",no,no,vague_general_ai_reference,,rejected,correct,"Fragment of the MiM large-language-model tool narrative, over-consolidated/duplicated across five rejected rows (SPX-REJ-002, 010, 013, 015, 020) spanning both the current and previous annual reports. The fuller current-AR passage (p.24) confirms this is a named, company-developed LLM tool piloted with 200 sales colleagues in 2025 (freeing ~4 hours/person/week) and now rolled out to over 1,000 sales colleagues. Split out to new operational staging row SPX-OP-001. This row marked reviewer_decision=correct to exclude it from rejected-findings promotion, since its qualifying content has moved to SPX-OP-001."
SPX-REJ-011,Spirax Group,SPX,Spirax Group plc Annual Report 2025,SPX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.127,AI,B,3,"and monitoring for the Committee. We have also been tracking the emerging opportunities and challenges posed by fast-emerging technologies such as AI. The emergence of AI in particular offers significant opportunities including the ability to deliver enhanced customer experience while also captur ||| gnificant opportunities including the ability to deliver enhanced customer experience while also capturing greater efficiencies. The pace at which AI applications are evolving makes it an imperative that we monitor carefully the impact on our organisation and that we develop a deep understanding ||| d our financial performance and resilience. Cybersecurity risk Cybersecurity remains an area of focus with risks increasing due to the emergence of AI. A successful cyberattack has the potential to disrupt operations, compromise sensitive data and impact customer trust and regulatory compliance.",no,no,vague_general_ai_reference,DUPG-004,rejected,,
SPX-REJ-012,Spirax Group,SPX,Spirax Group plc Annual Report 2025,SPX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.132,AI,B,1,mer needs: the Committee challenged management to demonstrate how customer insights are captured and acted upon and how investments in digital and AI capabilities are aligned with strategic objectives. The Committee encouraged management to continue developing the Group’s Digital and Services Gr,no,no,vague_general_ai_reference,,rejected,,
SPX-REJ-013,Spirax Group,SPX,Spirax Group plc Annual Report 2024,SPX_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.15,large language model;machine learning,A;B,2,"stomers’ predictive maintenance and process optimisation, delivered through our sales engineers. Early in 2024, we developed ‘MiM’, our proprietary large language model that curates our highly specialised technical, sector and application knowledge. For our sales engineers, MiM accelerates the learning journey of n ||| ur proof-of-concept pilots in WMFTS and extend these to ETS through the retrofit of selected industrial process heaters in our installed base with machine learning capabilities. We will also begin to scale-up the adoption of MiM within our direct sales force. Decarbonising Thermal Energy During 2024, we made",no,no,vague_general_ai_reference,DUPG-005,rejected,correct,"Fragment of the MiM large-language-model tool narrative, over-consolidated/duplicated across five rejected rows (SPX-REJ-002, 010, 013, 015, 020) spanning both the current and previous annual reports. The fuller current-AR passage (p.24) confirms this is a named, company-developed LLM tool piloted with 200 sales colleagues in 2025 (freeing ~4 hours/person/week) and now rolled out to over 1,000 sales colleagues. Split out to new operational staging row SPX-OP-001. This row marked reviewer_decision=correct to exclude it from rejected-findings promotion, since its qualifying content has moved to SPX-OP-001."
SPX-REJ-014,Spirax Group,SPX,Spirax Group plc Annual Report 2024,SPX_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.28,AI,B,1,"n more connected to customers, augmenting the physical ‘walk the plant’ capabilities of our 2,150 direct sales engineers (DSEs) with connected and AI-enabled digital products that enable us to ‘walk the data’. By leveraging our DSEs deep knowledge of customer operations and product application pr",no,no,vague_general_ai_reference,,rejected,,
SPX-REJ-015,Spirax Group,SPX,Spirax Group plc Annual Report 2024,SPX_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.62,large language model,A,1,"5.1 million tonnes • Proof of concept underway for fully operational machine- learning pumps at customer sites • Development of MiM, our proprietary large language model that curates our highly specialised technical, sector and application knowledge to support our direct sales engineers 2. Promise two: An inclusive",no,no,vague_general_ai_reference,,rejected,correct,"Fragment of the MiM large-language-model tool narrative, over-consolidated/duplicated across five rejected rows (SPX-REJ-002, 010, 013, 015, 020) spanning both the current and previous annual reports. The fuller current-AR passage (p.24) confirms this is a named, company-developed LLM tool piloted with 200 sales colleagues in 2025 (freeing ~4 hours/person/week) and now rolled out to over 1,000 sales colleagues. Split out to new operational staging row SPX-OP-001. This row marked reviewer_decision=correct to exclude it from rejected-findings promotion, since its qualifying content has moved to SPX-OP-001."
SPX-REJ-016,Spirax Group,SPX,Spirax Group plc Annual Report 2024,SPX_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.102,AI,B,1,"table captures some of the skills and experience of Spirax Group Board members relevant to our Together for Growth Strategy. Board members Digital, AI and technology Engineering Financial expertise Industrial expertise International expertise M&A and R&D Operat",no,no,vague_general_ai_reference,,rejected,,
SPX-REJ-017,Spirax Group,SPX,Spirax Group plc Annual Report 2024,SPX_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.104,AI,B,1,"Board December 2020 Areas of experience Engineering, operational, strategy, international business, M&A, manufacturing, senior management, Digital/AI Background Angela held senior executive roles at IBM, including VP of Transformation and COO of Watson Health. She served as Board Liaison for The",no,no,vague_general_ai_reference,,rejected,,
SPX-REJ-018,Spirax Group,SPX,Spirax Group plc Annual Report 2024,SPX_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.105,LLM,A,1,"e is a Chartered Director with the Institute of Directors. External appointments Chief Executive Officer of TT Electronics plc A N C Céline Barroche LLM, PGDL, ACG Group General Counsel and Company Secretary Appointed as Group General Counsel and Company Secretary September 2024 Areas of experience",no,no,vague_general_ai_reference,DUPG-006,rejected,,
SPX-REJ-019,Spirax Group,SPX,Spirax Group plc Annual Report 2024,SPX_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.129,automation,B,1,"cs capabilities and is ensuring it has the skills to support the Group’s ERP upgrade programmes, as well as being able to take advantage of further automation opportunities which consistent finance IT platforms will provide. The target is for analytics to be fully embedded across the Internal Audit proce",no,no,audit_analytics,,rejected,,
SPX-REJ-020,Spirax Group,SPX,Spirax Group plc Annual Report 2024,SPX_company_annual_report_previous_fy2024_2025-03.pdf,,annual_report_previous,company_primary,p.139,AI,B,1,d as a result of increased customer connections (including product pull-through) and the new innovation framework supported the development of MiM (AI) tool to increase sales engineers’ efficiency. Total (up to 10%) Achievement assessed as 8% L.S. Burdett Measure Achievement Health and Safety Reduct,no,no,vague_general_ai_reference,,rejected,correct,"Fragment of the MiM large-language-model tool narrative, over-consolidated/duplicated across five rejected rows (SPX-REJ-002, 010, 013, 015, 020) spanning both the current and previous annual reports. The fuller current-AR passage (p.24) confirms this is a named, company-developed LLM tool piloted with 200 sales colleagues in 2025 (freeing ~4 hours/person/week) and now rolled out to over 1,000 sales colleagues. Split out to new operational staging row SPX-OP-001. This row marked reviewer_decision=correct to exclude it from rejected-findings promotion, since its qualifying content has moved to SPX-OP-001."
