staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
SHEL-REJ-001,Shell plc,SHEL,Shell plc Annual Report and Accounts 2025,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,,annual_report_current,company_primary,p.7,artificial intelligence,B,1,"llion 53 million tonnes 71 gCO2e/MJ We are in a world defined by more uncertainty -- from increasingly fragmented geopolitics, to the rapid rise of artificial intelligence and the pressures of climate change. Energy sits at the heart of this changing world, highlighting the critical role of our sector. As I write this",no,no,vague_general_ai_reference,,rejected,,
SHEL-REJ-002,Shell plc,SHEL,Shell plc Annual Report and Accounts 2025,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,,annual_report_current,company_primary,p.27,AI,B,2,"tegories. The private sector also proved agile, with companies front-loading imports and re-routing trade flows and supply chains. The potential of AI to boost future productivity and economic growth supported a boom in related investments, including electricity infrastructure and generation. This ||| er than the 2.8% growth recorded the previous year -- but with some of the import tariff impact and uncertainty offset by increased investments in AI technologies and related infrastructure. Economic performance in the Eurozone was mixed, with southern Europe more robust as a result of strong pri",no,no,vague_general_ai_reference,DUPG-001,rejected,,
SHEL-REJ-003,Shell plc,SHEL,Shell plc Annual Report and Accounts 2025,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,,annual_report_current,company_primary,p.43,AI,B,1,"al years. Our people Across Shell, people development is a priority. In the GoA, we have upskilled our teams through additional training, such as in AI and data literacy, and safety technology and robotics -- enhancing their operational capability to help us drive performance. Shell puts a focus on",no,no,vague_general_ai_reference,,rejected,,
SHEL-REJ-004,Shell plc,SHEL,Shell plc Annual Report and Accounts 2025,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,,annual_report_current,company_primary,p.58,AI,B,1,"uids certified by Intel for use in data centres worldwide Data centres are vital for the internet, but the rapid growth of artificial intelligence (AI) and big data has created a challenge for managing the heat generated by these centres. Without efficient cooling, servers risk overheating and thi",no,no,vague_general_ai_reference,,rejected,,
SHEL-REJ-005,Shell plc,SHEL,Shell plc Annual Report and Accounts 2025,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,,annual_report_current,company_primary,p.72,AI,B,2,"on energy system of the future. In 2025, we invested $1,170 million in R&D. We combine our expertise in R&D with digital solutions, often powered by AI, to help accelerate innovation and effectively scale up. Shell's Technology organisation and our businesses work together to determine the content, ||| vering Shell's strategy. We are transforming our IT systems to support our evolving portfolio of businesses. We invest in new technologies, such as AI and quantum computing, enhancing our IT capabilities to improve the experience of our customers and make Shell a more efficient organisation. Digit",no,no,vague_general_ai_reference,DUPG-002,rejected,,
SHEL-REJ-006,Shell plc,SHEL,Shell plc Annual Report and Accounts 2025,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,,annual_report_current,company_primary,p.73,AI,B,2,"recognised for innovation Pearl GTL in Qatar, the world's largest gas-to-liquids plant, has embraced smart technologies and artificial intelligence (AI) to enhance safety, efficiency and sustainability. This innovation was recognised by the World Economic Forum's Global Lighthouse Network in Septe ||| in September 2025. The plant employs machine-vision systems to detect hazards in real time and alert supervisors, helping prevent safety incidents. AI also monitors equipment health, reducing manual inspections and enabling early intervention. Photo: Ormen Lange, Norway, 2025. Strategic Report | P",no,no,vague_general_ai_reference,DUPG-003,rejected,,
SHEL-REJ-007,Shell plc,SHEL,Shell plc Annual Report and Accounts 2025,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,,annual_report_current,company_primary,p.87,AI,B,1,"d other electrification solutions. Other examples of R&D areas include safety; performance products, such as lubricants and polymers; automation and AI. Decarbonising our value chains and operations We seek to base the decarbonisation of our value chains and operations on an understanding of the dec",no,no,ordinary_automation,,rejected,,
SHEL-REJ-008,Shell plc,SHEL,Shell plc Annual Report and Accounts 2025,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,,annual_report_current,company_primary,p.113,AI,B,2,"asis for companies and joint ventures in which Shell is the operator, unless stated otherwise. Technology and safety We are using digitalisation and AI to gather and process data from our operations and to improve analysis and reporting. This enables us to act more quickly to ensure safe and effici ||| ysis and reporting. This enables us to act more quickly to ensure safe and efficient operations. We continue to expand the deployment of T-Pulse, an AI-automated safety monitoring solution developed by Detect Technologies. T-Pulse uses closed circuit television (CCTV) to identify and report real-ti",no,no,vague_general_ai_reference,DUPG-004,rejected,,
SHEL-REJ-009,Shell plc,SHEL,Shell plc Annual Report and Accounts 2025,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,,annual_report_current,company_primary,p.127,artificial intelligence,B,1,", management and the Board considered the emerging risks presented by the pace and evolution of digital technological developments in areas such as artificial intelligence and quantum computing, given their potential impacts, for example, on cyber security. Management and the Board also considered how technological d",no,no,vague_general_ai_reference,,rejected,,
SHEL-REJ-010,Shell plc,SHEL,Shell plc Annual Report and Accounts 2025,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,,annual_report_current,company_primary,p.128,generative AI,A,1,"s or projects, we could find ourselves at a competitive disadvantage or unable to obtain competitive returns. Furthermore, the mainstream arrival of generative AI has the ability to modify how companies improve efficiency and where they compete, potentially altering dynamics of our commodity-type markets, affe",no,no,vague_general_ai_reference,,rejected,,
