staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
STAN-REJ-001,Standard Chartered,STAN,Artificial intelligence | Standard Chartered,STAN_company_strategy_or_technology_webpage_n-a.html,,strategy_or_technology_webpage,company_primary,not_applicable,artificial intelligence,B,1,===== HTML DOCUMENT ===== Source file: STAN_company_strategy_or_technology_webpage_n-a.html Title: Artificial intelligence | Standard Chartered Skip to content Contact us Straight2Bank Online banking Private banking Your local website Bahrain Bangladesh Botswana,no,yes,webpage_boilerplate,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
STAN-REJ-002,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.7,AI,B,1,"• Third, and related to the first two factors, is the contest for strategic resources that underpin the adoption of AI and data-intensive technologies. This is driving unprecedented demand for data centres, reliable energy and critical minerals, further reshaping g",no,no,vague_general_ai_reference,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
STAN-REJ-003,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.10,AI,B,1,"n serving our clients in the most productive way – through continuous transformation of our technology, adoption of advanced data skills (including AI), simplification of our processes, and disciplined expense management – has served us well. Initiatives such as Fit for Growth and other ongoing t",no,no,vague_general_ai_reference,,rejected,,
STAN-REJ-004,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.11,AI,B,2,"rvices, trade and payments. • Address evolving client demand and drive client satisfaction with investments in digitisation, product innovation and AI capabilities. • Enhance our ability to serve sophisticated financial institutions in fast-growing client segments such as Sponsors and Fintech. • ||| igital platforms, client centres, people and brand. • Deliver personalised and trusted advisory and differentiated solutions to clients, leveraging AI and digital tools to grow client engagement and wealth penetration. • Build a robust pipeline of future affluent clients as we continue to reshape",no,no,vague_general_ai_reference,DUPG-001,rejected,,
STAN-REJ-005,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.16,generative AI,A,1,"antidote to economic scarring concerns. Within emerging markets, countries in Asia are best placed to take advantage of digitalisation, including generative AI (GenAI). • Relatively younger populations, and the adoption of digital technology, will allow emerging markets to become increasingly important to",no,no,vague_general_ai_reference,DUPG-021,rejected,,
STAN-REJ-006,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.17,AI,B,1,"ed period of tariff-reprieve and the front-loading of exports to the US. However, normalisation of exports may be a growth drag in 2026. Meanwhile, AI-related activity may continue to support growth, either via manufacturing or investment. More domestically driven economies, including those of In",no,no,vague_general_ai_reference,,rejected,,
STAN-REJ-007,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.18,AI,B,2,".3% 2.0% US We expect a gradual acceleration of US growth in 2026, underpinned by strong investment growth amid corporate tax cuts and the race for AI build out. Despite softer employment growth, which partly reflects supply-side factors such as lower immigration, we expect high productivity growt ||| will continue to benefit from rising South–South trade as global trade is re-routed in a more fragmented world. In parallel, policymakers’ focus on AI should add impetus to the US–GCC investment corridor. Europe Actual and projected growth by market in 2025 and 2026 2026 2025 1.2% 1.4% 2026 2025 1.",no,no,vague_general_ai_reference,DUPG-002,rejected,,
STAN-REJ-008,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.29,AI,B,1,"gh hyper-personalised advisory-led propositions. This will be powered by a best-in-class open architecture solutions platform, enhanced by data and AI. • Accelerate investment in our growth engines – To drive growth and market share, we will accelerate investment in our core enablers: our affluent",no,no,vague_general_ai_reference,,rejected,,
STAN-REJ-009,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.30,AI,B,1,"ntly invest in 26 ventures across three high-conviction themes: Digital Banking & Lifestyle, Trade & Supply Chains and Digital Assets, enabled by AI, Web3/Blockchain, ESG and Quantum (Next Horizon ventures) Standard Chartered | Annual Report 202528",no,no,vague_general_ai_reference,,rejected,,
STAN-REJ-010,Standard Chartered,STAN,Standard Chartered PLC Annual Report 2025,STAN_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.33,AI,B,1,"aling new business models across three high-conviction themes of Digital Banking & Lifestyle, Trade & Supply Chains and Digital Assets, enabled by AI, Web3/Blockchain, ESG and Quantum. We do this by connecting ecosystems, partners and clients to create value and new sources of revenues, providin",no,no,vague_general_ai_reference,DUPG-022,rejected,,
