company,ticker,candidate_title,current_url,direct_download_url,current_approval_status,blocker_type,exact_manual_action,evidence_needed,acceptable_official_alternative,proposed_status_if_verified,notes
Compass Group,CPG,Compass Group Annual Report 2025,https://www.compass-group.com/en/investors/annual-report-archive.html,https://www.compass-group.com/content/dam/compass-group/corporate/oar-2025/oar-page/annual-report-2025.pdf,approved,403_domain_wide,"Open the direct_download_url in a real browser (compass-group.com returns HTTP 403 to all automated fetch attempts on both this and the previous-year report; one follow-up search for an alternative official URL found only the same link, confirming a domain-wide block rather than a broken link).",Direct-download or manual save of the full PDF text so it can be screened for explicit generative-AI/LLM/copilot language.,None found this session.,approved_if_downloaded,"Prior search surfaced only general risk-governance language about 'the democratisation of generative AI' as a data-confidentiality risk topic with a responsible-AI-use framework -- genuinely undetermined whether the full report contains an operational GenAI disclosure; this is a document-access blocker, not a GenAI-relevance ambiguity."
Compass Group,CPG,Compass Group Annual Report 2024,https://www.compass-group.com/en/investors/annual-report-archive.html,https://www.compass-group.com/content/dam/compass-group/corporate/oar-2024/annual-report-2024.pdf,approved,403_domain_wide,"Same manual action as the current-year report.",Same as above.,None found this session.,approved_if_downloaded,"Same domain-wide block."
Lloyds Banking Group,LLOY,Lloyds Banking Group plc Annual Report 2024,https://www.lloydsbankinggroup.com/investors/annual-report/annual-report-archive/annual-report-2024.html,,pending,document_location_only,"Open the archive landing page in a real browser and locate the direct PDF for the FULL statutory Annual Report and Accounts 2024 (not the shorter 'Annual Review' or 'Performance Summary' documents).",Direct PDF URL confirmed as the full Annual Report and Accounts.,National Storage Mechanism (NSM) filing if lloydsbankinggroup.com cannot be reached even manually.,approved,"Carried forward unresolved from Loop 4."
Lloyds Banking Group,LLOY,Lloyds Banking Group scales adoption of Microsoft 365 Copilot to supercharge their AI transformation,https://www.lloydsbankinggroup.com/media/press-releases/2025/lloyds-banking-group-2025/lloyds-scales-adoption-of-copilot.html,,pending,application_error_domain_wide,"Open the URL directly in a real browser.",Verbatim quote confirming live/operational status and explicit generative-AI/Copilot language.,Lloyds' FY2025 results presentation or transcript.,approved_if_operational_and_quantified,"Carried forward unresolved from Loop 4."
Lloyds Banking Group,LLOY,Lloyds Banking Group unveils UK's first multi-feature AI-powered financial assistant,https://www.lloydsbankinggroup.com/media/press-releases/2025/lloyds-banking-group-2025/lloyds-banking-group-unveils-uks-first-ai-powered-financial-assistant.html,,pending,application_error_domain_wide,"Open the URL directly in a real browser.",Verbatim quote confirming explicit generative-AI/LLM language and accurate deployment stage.,None identified.,approved_only_if_genai_and_status_confirmed,"Carried forward unresolved from Loop 4."
BAE Systems,BA,BAE Systems Annual Report 2025,https://investors.baesystems.com/results-centre,https://investors.baesystems.com/dam/jcr:105fe9f2-cff7-4960-9d99-956aba996540/BAE-Systems-Annual-Report-2025.2026-03-24-10-33-48.pdf,approved,incapsula_bot_protection,"Manually download via a real browser and place at sources/bae-systems/.",Genuine PDF, not an Incapsula challenge-page stub.,None -- must be the official investors.baesystems.com PDF.,proceed_to_extraction_once_placed,"Carried forward unresolved from Loop 4."
BAE Systems,BA,BAE Systems Annual Report 2024,https://investors.baesystems.com/results-centre,https://investors.baesystems.com/dam/jcr:f57706a5-0a28-441a-8829-0e0c213436c1/BAE-Systems-Annual-Report-2024.2025-04-29-16-28-37.pdf,approved,incapsula_bot_protection,"Same manual action as the 2025 report.",Same as above.,None.,proceed_to_extraction_once_placed,"Carried forward unresolved from Loop 4."
Unilever,ULVR,Google Cloud partnership pioneers next-generation of consumer goods technologies,https://www.unilever.com/news/press-and-media/press-releases/2026/google-cloud-partnership-pioneers-next-generation-of-consumer-goods-technologies/,,pending,403_domain_wide,"Open the URL directly in a real browser.",Verbatim quote distinguishing a concrete generative-AI task from general AI/data-partnership commentary.,Unilever's Q4/FY2025 results announcement PDF.,approved_if_specific_genai_task_confirmed,"Carried forward unresolved from Loop 4."
Unilever,ULVR,Unilever reinvents product shoots with AI for faster content creation,https://www.unilever.com/news/news-search/2025/unilever-reinvents-product-shoots-with-ai-for-faster-content-creation/,,pending,403_domain_wide,"Open the URL directly in a real browser.",Verbatim quote naming a specific generative-AI tool used operationally.,None identified.,approved_if_operational_and_genai_confirmed,"Carried forward unresolved from Loop 4."
Sage Group,SGE,Sage Non-Financial Statement 2025,https://www.sage.com/en-gb/company/sustainability-and-society/,https://www.sage.com/de-de/-/media/files/company/documents/pdf/sustainability-and-society/2025-reports/non-financial-statement.pdf,pending,document_location_only,"Open sage.com investor pages in a real browser to confirm whether a group-wide Non-Financial Statement exists.",Confirmation the document is the full group document, not a Germany-specific filing.,The equivalent section within the main Annual Report and Accounts 2025.,approved_if_confirmed_group_wide,"Carried forward unresolved from Loop 4."
Sage Group,SGE,Celebrating One Year of Sage Copilot,https://www.sage.com/en-us/news/press-releases/2025/02/celebrating-one-year-of-sage-copilot/,,pending,403_domain_wide,"Open the URL directly in a real browser.",Verbatim quote confirming a concrete task/user-group/deployment stage for Sage Copilot.,Sage's FY2025 results announcement.,approved_if_confirmed,"Carried forward unresolved from Loop 4. Customer-facing GenAI products DO qualify under this project's precedent (RELX) provided a concrete task/user-group/deployment-stage is directly verified."
Sage Group,SGE,Sage Copilot -- Generative AI finance assistant (product page),https://www.sage.com/en-us/sage-copilot/,,pending,403_domain_wide,"Open the URL directly in a real browser.",Verbatim on-page quote (not the page title alone).,None identified.,optional_corroborating_if_confirmed,"Carried forward unresolved from Loop 4."
BP,BP,bp looks to leverage power of generative AI with Copilot for Microsoft 365,https://www.bp.com/en/global/corporate/news-and-insights/press-releases/bp-looks-to-leverage-power-of-generative-ai-with-copilot-for-microsoft-365.html,,pending,403_domain_wide,"Open the URL directly in a real browser.",Verbatim quote confirming live/operational rollout and internal user-group scale.,None found.,approved_if_operational_confirmed,"Carried forward unresolved from Loop 4."
BP,BP,Breaking new ground: wells AI and the automated upstream (Wells Assistant),https://www.bp.com/en/global/corporate/news-and-insights/speeches/breaking-new-ground-wells-ai-and-the-automated-upstream.html,,pending,403_domain_wide,"Open the URL directly in a real browser.",Verbatim quote confirming Wells Assistant is generative/LLM-based, distinguishing from predictive-maintenance/industrial-AI tools.,None found.,approved_if_genai_basis_confirmed,"Carried forward unresolved from Loop 4. Highest-value pending BP lead."
Imperial Brands,IMB,Imperial Brands Annual Report and Accounts 2025,https://www.imperialbrandsplc.com/investor-hub/annual-report-2025,https://www.imperialbrandsplc.com/content/dam/imperialbrands/corporate/documents/investor-hub/reports/oar-2025/imperial-brands-2025-annual-report.pdf.downloadasset.pdf,approved,403_domain_wide,"Open the direct_download_url in a real browser (imperialbrandsplc.com returns HTTP 403 to all automated fetch attempts on both this and the previous-year report; one follow-up search for an alternative official URL found only the same link).",Direct-download or manual save of the full PDF text so it can be screened for explicit generative-AI/LLM/copilot language.,None found this session.,approved_if_downloaded,"No GenAI evidence found via search prior to the block; genuinely undetermined whether the full report discloses an operational use case."
Imperial Brands,IMB,Imperial Brands Annual Report and Accounts 2024,https://www.imperialbrandsplc.com/investor-hub/annual-report-2024,https://www.imperialbrandsplc.com/content/dam/imperialbrands/corporate/documents/investors/reports/oar-2024/imperial-brands-2024-annual-report.pdf.downloadasset.pdf,approved,403_domain_wide,"Same manual action as the current-year report.",Same as above.,None found this session.,approved_if_downloaded,"Same domain-wide block."
Haleon,HLN,Haleon plc Annual Report and Form 20-F 2025,https://www.haleon.com/investors/annual-report-2025,https://www.haleon.com/content/dam/haleon/corporate/documents/investors/oar-2025/Annual-Report-and-Form-20-F-2025.pdf.downloadasset.pdf,approved,403_domain_wide,"Open the direct_download_url in a real browser (haleon.com returns HTTP 403 to all automated fetch attempts even on the corrected direct-PDF content/dam URL, on both this and the previous-year report; the initial landing-page URL separately failed with a near-empty 0-character JS-redirect-stub extraction, a different failure mode confirmed before the corrected URL was found; one follow-up search for an alternative official URL was used to find the corrected link, which itself was then blocked).",Direct-download or manual save of the full PDF text so it can be screened for explicit generative-AI/LLM/copilot language.,None found this session.,approved_if_downloaded,"Prior search found strong evidence of a July 2026 five-year Microsoft agentic-AI/Copilot/Azure partnership and news reports of internal Copilot pilot data (40% report-generation time cut) -- these are dated after this report's typical publication window so may not be reflected in the AR text, but are a strong signal a real operational disclosure may exist once the document is accessed."
Haleon,HLN,Haleon plc Annual Report and Form 20-F 2024 (Strategic Report),https://www.haleon.com/investors/annual-reports,https://www.haleon.com/content/dam/haleon/corporate/documents/investors/oar-2024/haleon-annual-report-2024-strategic-report.pdf.downloadasset.pdf,approved,403_domain_wide,"Same manual action as the current-year report.",Same as above.,None found this session.,approved_if_downloaded,"Same domain-wide block, confirmed on the corrected direct-PDF URL."
Computacenter,CCC,Computacenter 2025 Annual Report & Accounts,https://www.computacenter.com/who-we-are/news/computacenter-2025-annual-report-accounts,https://investors.computacenter.com/static-files/cef18bb9-9750-4d16-adbe-39bbeb650da4,approved,timeout_domain_wide,"Open the direct_download_url in a real browser (investors.computacenter.com has timed out on every automated fetch attempt this session -- twice via direct WebFetch of the page, and twice via 03_download_sources.py's download attempt for both this and the previous-year report -- a persistent domain-wide failure, not a one-off). One follow-up search for an alternative official URL was used (the computacenter.com news-page redirect, which points to the same blocked host); a second alternative (an FCA National Storage Mechanism data.fca.org.uk artefact) returned HTTP 403 Forbidden and could not be confirmed as the correct document without fetching it. Company is an IT services/reseller -- once accessed, screen carefully to distinguish Computacenter's OWN operational GenAI adoption from GenAI products/services it merely resells to clients.",Direct-download or manual save of the full PDF text so it can be screened for explicit generative-AI/LLM/copilot language.,None found this session.,approved_if_downloaded,"No GenAI evidence found via search prior to the block; genuinely undetermined whether the full report discloses an operational use case."
Computacenter,CCC,Computacenter 2024 Annual Report & Accounts,https://www.computacenter.com/who-we-are/news/computacenter-2024-annual-report-and-accounts,https://investors.computacenter.com/static-files/0b3cd58c-0f8c-410a-a0c0-123de21cf08c,approved,timeout_domain_wide,"Same manual action as the current-year report.",Same as above.,None found this session.,approved_if_downloaded,"Same domain-wide timeout block."
