duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Informa,INF-REJ-002,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.6) of INF_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Informa,INF-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.8) of INF_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Informa,INF-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.9) of INF_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Informa,INF-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.10) of INF_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Informa,INF-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.11) of INF_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Informa,INF-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.13) of INF_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Informa,INF-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.14) of INF_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Informa,INF-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.16) of INF_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Informa,INF-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.19) of INF_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Informa,INF-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.21) of INF_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Informa,INF-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.22) of INF_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,Informa,INF-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.23) of INF_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
