staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
ITRK-REJ-001,Intertek,ITRK,"Intertek Annual Report & Accounts 2025 (Strategic Report, Combined)",ITRK_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.8,AI,B,5,"precision Science-Based Customer Excellence Intertek innovation in action: smarter AI, stronger supply chains True to our pioneering spirit, innovative new solutions such as AI 2 and SupplyTek are already helping our clients to navi ||| it, innovative new solutions such as AI 2 and SupplyTek are already helping our clients to navigate a rapidly changing world. From smarter, safer AI to resilient, re -en gineered supply chains, our end-to-end consulting, training and assurance solutions deliver trust, agility and competitive a ||| st, agility and competitive advantage – helping to turn risks into opportunities. “ WITH ORGANISATIONS ACROSS EVERY INDUSTRY RACING TO INTEGRATE AI INTO THEIR SYSTEMS, INTERTEK OFFERS THE SOLUTIONS THEY NEED THROUGH THE WORLD’S FIRST INDEPENDENT, END-TO-END AI ASSURANCE PROGRAMME, AI 2 . ||| TERTEK OFFERS THE SOLUTIONS THEY NEED THROUGH THE WORLD’S FIRST INDEPENDENT, END-TO-END AI ASSURANCE PROGRAMME, AI 2 . BY EM BEDDING ADVANCED, AI-POWERED TECHNOLOGIES INCLUDING OUR PEOPLE ASSURANCE PARTNERSHIP WITH SYNTHESIA TO S CALE HIGH-QUALITY, MULTI-LINGUAL TRAINING AT SPEED, WE E ||| POWER OUR CLIENTS TO MOVE AHEAD WITH SMARTER, SAFER AND MORE TRUSTED SOLUTIONS.” ALI KNAPP, VICE PRESIDENT PEOPLE ASSURANCE FIND OUT MORE ABOUT AI 2 O U R INDUSTRY-LEADING INNOVATION By harnessing our Science-based Customer Excellence, we provide our clients with tailored, end-to-end T otal",no,no,vague_general_ai_reference,DUPG-001,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail -- describes Intertek's general 'AI2' assurance service (certifying OTHER companies' AI systems), distinct from the genuine generative-AI (Synthesia) finding captured separately as ITRK-OP-001."
ITRK-REJ-002,Intertek,ITRK,"Intertek Annual Report & Accounts 2025 (Strategic Report, Combined)",ITRK_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.15,AI,B,6,"orter product cycles are increasing the need for testing, inspection and c ertification in new technologies such as electric vehicles, batteries, AI-driven devices and m edical equipment. Supply chain complexity and risk management are fuelling the need for systemic, Risk-based Quality Assuran ||| gas investment remains robust. Digitisation and data-driven assurance are accelerating the adoption of traceability, digital product passports and AI-enabled quality m anagement. READ MORE IN OUR BUSINESS MODEL ON PAGE 1.20 Pioneering innovations and investments in growth True to our pioneering ||| compliant with regulations, allowing them to achieve faster market access amidst a rapidly evolving global l andscape. As Artificial Intelligence (‘AI’) reshapes our world at an unprecedented pace, we recently introduced Intertek AI 2, the world’s first independent, end-to-end AI assurance progra ||| an unprecedented pace, we recently introduced Intertek AI 2, the world’s first independent, end-to-end AI assurance programme. Covering the entire AI life cycle from ideation through to deployment and beyond, Intertek AI 2 provides organisations across various industries with comprehensive assu ||| loyment and beyond, Intertek AI 2 provides organisations across various industries with comprehensive assurance solutions designed to ensure their AI systems are smarter, safer and trusted. To help customers respond to the new EU Deforestation Regulation (‘EUDR’), we launched a comprehensive sui ||| Unmanned Robotics Services that enable safe, efficient inspections across offshore wind farms, oil rigs and pipelines. Leveraging our expertise in AI, robotics and data science, this collaboration provides clients with high -qu ality, actionable insights that protect personnel and optimise opera",no,no,vague_general_ai_reference,DUPG-002,rejected,,
ITRK-REJ-003,Intertek,ITRK,"Intertek Annual Report & Accounts 2025 (Strategic Report, Combined)",ITRK_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.23,AI,B,1,"se critical factors, we ensure continuity of service, optimise power usage and enable facilities to scale effectively alongside rising digital and AI-driven workloads. SCAN TO WATCH EXPLORE OUR NEW DATA CENTRE SERVICES",no,no,vague_general_ai_reference,,rejected,,
ITRK-REJ-004,Intertek,ITRK,"Intertek Annual Report & Accounts 2025 (Strategic Report, Combined)",ITRK_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.38,AI,B,3,"ial Report2: Sustainability Report1: Strategic Report Operating review Consumer Products Continued Intertek AI² Building smarter, safer, trusted AI Intertek AI² is the world’s first independent, end-to-end AI assurance programme, designed to give organisations confidence at every stage of th ||| Intertek AI² is the world’s first independent, end-to-end AI assurance programme, designed to give organisations confidence at every stage of the AI life cycle. From ideation through deployment and beyond, AI² delivers comprehensive, science-based solutions that ensure systems are smarter, saf ||| and trusted. By setting the highest standards of reliability and integrity, Intertek drives innovation and uniquely empowers customers to harness AI responsibly. VISIT: INTERTEK.COM Advancing respiratory product testing Intertek Electrical has expanded its capabilities in respiratory protect",no,no,vague_general_ai_reference,DUPG-003,rejected,,
ITRK-REJ-005,Intertek,ITRK,"Intertek Annual Report & Accounts 2025 (Strategic Report, Combined)",ITRK_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.43,AI;generative AI,A;B,2,"nnual Report & Accounts 2025 1.41 3: Financial Report2: Sustainability Report1: Strategic Report Intertek People Assurance Powering training with generative AI Intertek People Assurance has partnered with Synthesia, the UK’s largest generative AI media company, to deliver consistent, high-quality traini ||| gest generative AI media company, to deliver consistent, high-quality training content across our global frontline teams. By integrating advanced AI -po wered video technology into our products, Intertek’s People Assurance clients can scale dynamic, multi-lingual, branded training videos to loc",no,no,vague_general_ai_reference,DUPG-004,rejected,correct,"REVIEW: this row's genuine Synthesia/generative-AI content was used directly to author ITRK-OP-001. Marked 'correct' (excluded from rejected promotion) since the content is not itself vague, it was simply mis-routed to rejected by the keyword-window matcher."
ITRK-REJ-006,Intertek,ITRK,"Intertek Annual Report & Accounts 2025 (Strategic Report, Combined)",ITRK_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.50,AI,B,1,"ith DroneQ Robotics to deliver global advanced unmanned robotics services (‘AURS’) for ports, industry, and offshore energy. Combining robotics, AI, and data science, this enables inspections, surveys, 3D imaging, and non-destructive testing in risky or inaccessible conditions. From subsea cor",no,no,vague_general_ai_reference,,rejected,,
ITRK-REJ-007,Intertek,ITRK,"Intertek Annual Report & Accounts 2025 (Strategic Report, Combined)",ITRK_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.61,AI,B,1,"s and regulations; failure to identify and take advantage of the impact of changes to our clients’ operations and supply chains of factors such as AI, Cyber threats and climate change. Possible impact • Failure to maximise revenue opportunities. • Failure to take advantage of new opportunities. • L",no,no,vague_general_ai_reference,,rejected,,
ITRK-REJ-008,Intertek,ITRK,"Intertek Annual Report & Accounts 2025 (Strategic Report, Combined)",ITRK_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.62,AI,B,1,"improved to minimise the impact if a failure does occur. • Global information security policies in place (IT, data protection, cyber security, and AI use). • Adherence to IT finance systems controls (part of CMCs) and IT general c ontrols. • Internal and external audit testing. • Processes to ens",no,no,audit_analytics,,rejected,,
ITRK-REJ-009,Intertek,ITRK,"Intertek Annual Report & Accounts 2025 (Strategic Report, Combined)",ITRK_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.84,AI,B,1,"sustainability topics in a consistent and transparent manner. We partnered with Datamaran to a pply a technology-enabled methodology supported by AI and natural language pr ocessing. This enabled us to systematically analyse a broad range of public information, ensuring our assessment remained",no,no,vague_general_ai_reference,,rejected,,
ITRK-REJ-010,Intertek,ITRK,"Intertek Annual Report & Accounts 2025 (Strategic Report, Combined)",ITRK_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.103,AI,B,1,nsiveness were key to the project’s success and have reinforced our position as a trusted cyber security partner to Toshiba. LEARN MORE ABOUT OUR AI AND CYBER SECURITY RESILIENCE S ERVICES In action 2.25 Intertek Group plc Annual Report & Accounts 2025 3: Financial Report2: Sustainability Report,no,no,vague_general_ai_reference,,rejected,,
