duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Anglo American plc,AAL-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.29) of AAL_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Anglo American plc,AAL-GOV-001,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.30) of AAL_company_annual_report_current_fy2025_2026-03.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-003,Anglo American plc,AAL-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.30) of AAL_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Anglo American plc,AAL-GOV-002,governance_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.33) of AAL_company_annual_report_current_fy2025_2026-03.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-005,Anglo American plc,AAL-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (p.33) of AAL_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Anglo American plc,AAL-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.44) of AAL_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Anglo American plc,AAL-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.117) of AAL_company_annual_report_current_fy2025_2026-03.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-008,Anglo American plc,AAL-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.31) of AAL_company_annual_report_previous_fy2024_2025-03.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-009,Anglo American plc,AAL-REJ-018,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.31) of AAL_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Anglo American plc,AAL-REJ-001;AAL-REJ-014,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,1.00,Passages in AAL_company_annual_report_current_fy2025_2026-03.pdf and AAL_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 1.00).,yes,,
DUPG-011,Anglo American plc,AAL-REJ-001;AAL-REJ-015,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,1.00,Passages in AAL_company_annual_report_current_fy2025_2026-03.pdf and AAL_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 1.00).,yes,,
DUPG-012,Anglo American plc,AAL-REJ-002;AAL-REJ-014,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.91,Passages in AAL_company_annual_report_current_fy2025_2026-03.pdf and AAL_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.91).,yes,,
DUPG-013,Anglo American plc,AAL-REJ-002;AAL-REJ-015,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.91,Passages in AAL_company_annual_report_current_fy2025_2026-03.pdf and AAL_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.91).,yes,,
