staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
PSON-REJ-001,Pearson plc,PSON,Pearson and Microsoft Announce Multi-Year Partnership to Transform the Future of Learning and Work with AI,PSON_company_press_release_n-a.html,,press_release,company_primary,not_applicable,AI,B,1,e: PSON_company_press_release_n-a.html Title: Pearson and Microsoft Announce Multi-Year Partnership to Transform the Future of Learning and Work with AI | Pearson plc Skip to main content Open menu Our Company Open link menu Our Company Our Business Units Our Products and Services Our Strategy,no,yes,webpage_boilerplate,,rejected,,
PSON-REJ-002,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.3,AI,B,2,"Pearson continues to evolve with purpose, continuing to innovate and leverage AI to create sustainable value for learners, partners and shareholders.” The Strategic report, up to and including page 69, was approved for issue b ||| arson plc website where you can find the online version of this report. Strategic report At a glance 2 2025 highlights 3 Business unit overviews 4 AI is accelerating demand for trusted skills assessment and verification 6 Using AI to improve efficiency, performance and learning outcomes 7 Chair’s",no,no,vague_general_ai_reference,DUPG-001,rejected,,
PSON-REJ-003,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.6,AI,B,3,"federal government hiring and spend reductions, the business grew, securing new contracts and expanding enterprise partnerships. We also integrated AI to drive efficiencies in assessment generation, and strengthened our global delivery infrastructure. Clinical Assessment delivered strong growth d ||| included the launch of Revibe, a wearable device designed to support individuals experiencing challenges with focus and attention, the pilot of an AI-powered psychological report writing assistant and the release of D-KEFS Advanced, a fully digital neuropsychology assessment. US Student Assessmen ||| s and securing new wins. We are also expanding internationally, enhancing operational excellence and accelerating innovation, particularly through AI. Virtual Learning Virtual Learning (VL) delivers high-quality online learning solutions for K12 students through two main offerings: Partner Schoo",no,no,vague_general_ai_reference,DUPG-002,rejected,,
PSON-REJ-004,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.7,AI,B,10,"dents in their transition to the workforce. We opened two new schools, taking our total to 41 across 31 states. We also deepened the integration of AI into our study tools, contributing to higher course scores and end-of-semester pass rates. Our 2026 priorities focus on continuing to capture growi ||| r US virtual schooling, further strengthening of our marketing and enrolment capabilities, targeted school expansion and the ongoing application of AI to personalise teaching and learning. Higher Education Higher Education (HE) provides leading learning experiences across the Post-Secondary and ||| kets, with additional reach into K12 education through Honours, AP®, Dual Enrolment, and Career and Technical Education (CTE). In 2025, we provided AI-powered learning experiences that delivered measurable improvements in learning outcomes. Adoption continued to grow across our key platforms, all ||| integrate advanced learning capabilities to support more personalised, adaptive and engaging experiences. The new ‘Go Deeper’ functionality in our AI study tools encourages critical thinking by prompting learners with challenging follow-up questions. We continued to see strong traction in our In ||| ee strong traction in our Inclusive Access offerings. We also expanded the successful monetisation of Study Prep (formerly ‘Channels’) through new AI-driven diagnostics and coaching features, helping students build confidence ahead of assessments, and extended reach into international markets. I ||| n for enterprises; as well as our online offering, Mondly by Pearson. In 2025, Institutional advanced its digital learning capabilities through new AI-powered tools for students and teachers, including Smart Lesson Generator for educators. Wizard by Pearson continued to grow in Brazil, supported b ||| ent of Home Affairs. Mondly by Pearson expanded its suite of engaging online learning experiences with the launch of the Digital Language Tutor, an AI-driven product designed to support enterprise learners to improve their workplace English proficiency. In 2025, in collaboration with our Enterpris ||| ed with Pearson’s Global Scale of English, our proprietary rubric to benchmark English language proficiency. For 2026, we will continue leveraging AI and digital technologies to enhance learning and assessment offerings. Our priorities include continued strong operational performance, refreshin ||| tional BTEC expansion strategies. Enterprise Solutions helps companies address evolving talent needs in a rapidly changing economy, particularly as AI reshapes workforce requirements. Through Credly, TalentLens, Faethm and IT Pro, we support businesses in assessing skills gaps, planning talent st ||| oking to 2026, we will continue to address the growing market need for trusted talent solutions that enable employees to work more effectively with AI. We will drive value from our existing partners while expanding our partner ecosystem, and will also broaden our validated skills data to support",no,no,vague_general_ai_reference,DUPG-003,rejected,,
PSON-REJ-005,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.8,AI,B,3,"AI is accelerating demand for trusted skills assessment and verification Confident in the future due to the mega trends of demographics and AI which ||| of demographics and AI which are driving upskilling demand, as well as Pearson’s unique characteristics and enduring competitive strengths. Why AI strengthens Pearson’s position Advances in AI are driving large-scale reconfiguration of industries, occupations and educational approaches, providi ||| nfrastructure level quality, operational strength, and breadth of services that are embedded in the learning ecosystems alongside our investments in AI driven innovation delivers strong, durable cash flows and profitability. And our deep and enduring competitive advantages provide a unique platform",no,no,vague_general_ai_reference,DUPG-004,rejected,,
PSON-REJ-006,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.9,AI,B,4,"Powered by learning science and data-informed design, our AI tools deliver engaging, personalised experiences that spark critical thinking and drive student success.” Tony Prentice Chief Product Officer Usi ||| ols deliver engaging, personalised experiences that spark critical thinking and drive student success.” Tony Prentice Chief Product Officer Using AI to improve efficiency, performance and learning outcomes From operations to products, AI is enhancing execution at scale. Improving efficiency and s ||| esigned to prompt higher- order thinking • Communication Coach: a Microsoft Teams–integrated product providing real-time, role-specific feedback • AI-enhanced exam preparation, including adaptive practice tests and the GCSE Exam Practice Assistant • AI-enabled tools aligned to trusted frameworks, ||| am Practice Assistant • AI-enabled tools aligned to trusted frameworks, including speaking practice aligned to the Global Scale of English Scaling AI through a disciplined operating model The AI Centre for Enablement (C4E) provides shared standards, tools and expertise to accelerate experimentatio",no,no,vague_general_ai_reference,DUPG-006,rejected,,
PSON-REJ-007,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.10,AI,B,2,"periences to more people, faster. When applied thoughtfully AI supports higher-order outcomes in reasoning and problem- solving. When a learner uses AI as a teleportation device, taking them straight to the answer, they don’t learn, but when AI is used as a map – accompanying them through the diffe ||| t learn, but when AI is used as a map – accompanying them through the different stages to get to the endpoint – it enhances learning. Investment in AI across products and services is increasingly translating into differentiated offerings, improved customer outcomes and commercial opportunity. Pea",no,no,vague_general_ai_reference,DUPG-007,rejected,,
PSON-REJ-008,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.11,AI,B,1,"on my observations in last year’s annual report, and the extraordinary changes we have witnessed over the last 12 months with the seismic forces of AI and demographic change continuing to reshape our world, it is clear to me that Pearson’s purpose – helping people realise the life they imagine thr",no,no,vague_general_ai_reference,,rejected,,
PSON-REJ-009,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.12,AI,B,6,"digital products together with expanding its customer base with the first state-wide adoption of our digital offering. We also launched Revibe, an AI-enabled wearable powered by Samsung Electronics to support focus and self-regulation. In UK & International Qualifications, we introduced the GCSE ||| Samsung Electronics to support focus and self-regulation. In UK & International Qualifications, we introduced the GCSE Exam Practice Assistant – an AI-powered tool for personalised revision. Pearson Professional Assessments secured several new contracts, and US Student Assessment announced a part ||| ive assessment. • In Higher Education, our core US courseware business led the way by delivering a good performance, supported by the expansion of AI features in our offering. The new ‘Go Deeper’ functionality in our AI study tools encourages critical thinking by prompting learners with challengi ||| ew ‘Go Deeper’ functionality in our AI study tools encourages critical thinking by prompting learners with challenging follow-up questions. As our AI becomes more embedded in the student learning process, we are seeing learners deepening their cognitive ability and becoming more engaged with our ||| offerings. We opened two new schools, bringing our total to 41 schools across 31 states, and embedded our career programme across the network. Our AI tools are contributing to improved student outcomes with higher grades and pass rates. • In English Language Learning, Institutional saw continued ||| rscalers and leading professional services enterprises. Meeting the moment: skills for an evolving workforce The world of work is changing – fast. AI is reshaping industries, roles and expectations. Learners, workers and employers alike are grappling with how to keep pace. We believe this gives P",no,no,vague_general_ai_reference,DUPG-008,rejected,,
PSON-REJ-010,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.13,AI,B,1,"gine a future where employees receive real-time, personalised learning without leaving their daily workflow. That future is already here. Building AI literacy for all As AI becomes ubiquitous, AI literacy will be a foundational skill – essential for all learners, workers and organisations. At Pea",no,no,predictive_personalisation,,rejected,,
