company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Bunzl,BNZL,,BNZL_company_annual_report_current_fy2025_2025.pdf,p.14,automation,B,"Furthermore, the business continues to look for opportunities to utilise technology to drive efficiency, such as through investments in warehouse automation. In December 2024 Bunzl announced a £200 million share buyback programme for 2025, which commenced at the start of 2025 and was completed by Octo",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Bunzl,BNZL,,BNZL_company_annual_report_current_fy2025_2025.pdf,p.20,automation,B,and improved and standardised service for our customers Expect improved service levels with fill rates of 98% and delivery capability in 24 hours Automation in Denmark Ongoing project to extend our largest warehouse in the Nordics to increase capacity to support growth Goods-to-person system combining s,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Bunzl,BNZL,,BNZL_company_annual_report_current_fy2025_2025.pdf,p.20,automation,B,Goods-to-person system combining shelves and pallets to automate up to 90% of the picking process 72 robots to move inventory shelves and pallets Automation in Germany Automation system implemented in a large German warehouse Will automate up to 60% of our order lines using efficient tote-to-person syst,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Bunzl,BNZL,,BNZL_company_annual_report_current_fy2025_2025.pdf,p.43,AI,B,"erformance across the Group. Sessions highlighted leadership development, emerging customer needs, and the commercial value of sustainability and AI. Workshops on profitable growth, innovation and acquisitions reinforced the importance of disciplined execution. The event fostered meaningful co",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Bunzl,BNZL,,BNZL_company_annual_report_current_fy2025_2025.pdf,p.73,AI,B,"e as Bunzl is increasing its connectivity with third parties and its digital footprint through acquisition and investment in e-commerce platforms, AI initiatives, and efficiency enhancing IT systems. • Weak cyber defences, both now and in the future, through a failure to keep up with increasing cy",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Bunzl,BNZL,,BNZL_company_annual_report_current_fy2025_2025.pdf,p.83,AI,B,"allocation, business performance, talent development and succession, sustainability as a competitive advantage, digital acceleration and technology/AI as an enabler, portfolio management, operating model improvements, organic growth, and own brands. BOARD SITE VISITS SHAREHOLDER ENGAGEMENT Themes",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Bunzl,BNZL,,BNZL_company_annual_report_current_fy2025_2025.pdf,p.100,AI,B,"emained a key area of focus for the Committee in 2025 amid a rapidly evolving threat landscape, including in relation to Artificial Intelligence (‘AI’) enabled risks and ransomware. The Chief Information Officer and Chief Information Security Officer provided regular information security update",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Bunzl,BNZL,,BNZL_company_annual_report_current_fy2025_2025.pdf,p.105,generative AI,A,"nd reinforced oversight. The Company’s AI policy defines acceptable use and governs the use of company, supplier, and customer data within external Generative AI tools. In addition, a Data Security & AI Risk Approach was implemented across the Group to address key risks, including privacy, cyber security, reg",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Bunzl,BNZL,,BNZL_company_annual_report_current_fy2025_2025.pdf,p.105,AI,B,"mmittee is confident that the Board will be well positioned to make the required declaration under Provision 29 when it becomes applicable. CYBER: AI GOVERNANCE As part of the Committee’s ongoing prioritisation of cyber and information security, it also oversaw Bunzl’s approach to AI during 2025.",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Bunzl,BNZL,,BNZL_company_annual_report_current_fy2025_2025.pdf,p.105,AI,B,"ion of cyber and information security, it also oversaw Bunzl’s approach to AI during 2025. With the Committee’s support, the Group strengthened its AI governance through the adoption of updated policies, enhanced risk management measures, and reinforced oversight. The Company’s AI policy defines a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
