staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
DCC-REJ-001,DCC plc,DCC,DCC plc Annual Report and Accounts 2025,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.57,RAG,A,1,"090 IPCC Climate Scenario 2020 2030 2040 2050 2090 Lowest (RCP 2.6) Medium (RCP 4.5) Highest (RCP 8.5) Level of Risk (Low to High) DCC Risk register RAG rating that period. This is expressed as the Modelled Average Annual Loss (‘MAAL’) for each site, against four climate scenarios, ranging from beni",no,no,vague_general_ai_reference,,rejected,,
DCC-REJ-002,DCC plc,DCC,DCC plc Annual Report and Accounts 2025,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.68,automation,B,1,"us identify internal talent and ensure talent management processes are embedded consistently across the Group. The platform currently supports the automation of succession planning, reward, learning and performance management processes. This year, we successfully rolled out a global learning management",no,no,ordinary_automation,DUPG-011,rejected,,
DCC-REJ-003,DCC plc,DCC,DCC plc Annual Report and Accounts 2025,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.76,AI;generative AI,A;B,3,"engthened its mitigation measures and resources in this area. In the year under review, we implemented an internal policy on the Acceptable Use of Generative AI applications for Group and divisional employees, in order to ensure that our IT integrity and data protection standards continue to reflect techno ||| cial or reputational damage. Emerging risks in this area include the increased sophistication of cyberthreats because of artificial intelligence (‘AI’). As global cybercrime trends continue to evolve, the Group has strengthened its mitigation measures and resources in this area. In the year unde ||| to ensure that our IT integrity and data protection standards continue to reflect technological developments, while also allowing the benefits of AI to be explored. Cyber Security Measures Our Group IT Security team guides our approach to cyber security. This includes detailed and specific techni",no,no,vague_general_ai_reference,DUPG-001,rejected,correct,"Contains a genuine, specific governance disclosure -- 'we implemented an internal policy on the Acceptable Use of Generative AI applications for Group and divisional employees' -- distinct from vague general-AI-governance mentions elsewhere. Split out to new governance staging row DCC-GOV-001. This row (DCC-REJ-003) marked reviewer_decision=correct to exclude it from rejected-findings promotion, since its qualifying content has moved to DCC-GOV-001."
DCC-REJ-004,DCC plc,DCC,DCC plc Annual Report and Accounts 2025,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.81,AI,B,1,"se to the risk. Emerging risks are regularly reviewed and reported on as part of our overall risk process. Key emerging risks at present include how AI will impact the way work is done within DCC and with our suppliers, customers and other stakeholders. New risks are also continuing to emerge as a",no,no,vague_general_ai_reference,DUPG-012,rejected,,
DCC-REJ-005,DCC plc,DCC,DCC plc Annual Report and Accounts 2025,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.82,AI,B,1,"l control. Emerging Risks Emerging risks in this area include new tariffs, their impact on supply chains and the effects of new technology such as AI. Climate Change Transitional climate change risks and opportunities, including changes in policy, regulation, technology and societal views, coul",no,no,vague_general_ai_reference,,rejected,,
DCC-REJ-006,DCC plc,DCC,DCC plc Annual Report and Accounts 2025,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.83,AI,B,2,"e to work for all of our colleagues. HR initiatives support key areas of culture and engagement, inclusion and employee experience. The impact of AI on key business processes and on working practices is being actively considered. The development of our people is described in more detail in th ||| s described in more detail in the Sustainability Review on page 62. Emerging Risks Emerging risks in this area include how new technology, such as AI, will affect the scale and nature of skills needed within the Group and the steps the Group should take to develop and retain these. Acquisitions",no,no,vague_general_ai_reference,DUPG-002,rejected,,
DCC-REJ-007,DCC plc,DCC,DCC plc Annual Report and Accounts 2025,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.85,AI,B,1,"ke adjustments to them as necessary. Emerging Risks Emerging risks in this area include the increased sophistication of cyber attacks because of AI. Geopolitical and Naturally- Occurring Events Geopolitical confrontation, military conflict, a systemic financial crisis, major adverse public poli",no,no,vague_general_ai_reference,,rejected,,
DCC-REJ-008,DCC plc,DCC,DCC plc Annual Report and Accounts 2025,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.115,AI,B,1,"rategy that was announced in November 2024 and on relevant external trends such as geopolitical changes and developments in artificial intelligence (AI). • The Committee considered reports from the Group Finance team, the Group Legal & Compliance team, the Group IT team and from divisional managem",no,no,vague_general_ai_reference,,rejected,,
DCC-REJ-009,DCC plc,DCC,DCC plc Annual Report and Accounts 2025,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,,annual_report_current,company_primary,p.134,AI,B,2,"used on Shareholder Value Creation, including DCC Energy’s Cleaner Energy in Your Power Strategy Drive Adoption of Digital Technologies, including AI Successful Pilots run in a number of Group Businesses and Pipeline of Further Projects in Place ESG Objectives Maximum of 15% bonus payable Reduc ||| Cleaner Energy in Your Power Strategy Group Financing Successfully establish Public Bond Programme Drive Adoption of Digital Technologies, including AI Successful Pilots run in a number of Group Businesses and Pipeline of Further Projects in Place ESG Objectives Maximum of 15% bonus payable Redu",no,no,vague_general_ai_reference,DUPG-003,rejected,,
DCC-REJ-010,DCC plc,DCC,DCC plc Annual Report and Accounts 2024,DCC_company_annual_report_previous_fy2023-24_2024-05.pdf,,annual_report_previous,company_primary,p.11,AI;generative AI,A;B,4,"tive across the Group where we identified clear innovation opportunities. AI’s role in helping drive our innovation agenda is clear. Unlike purely generative AI strategies, the DCC AI platform is designed to not only drive business performance but also to enhance our service offerings, ensuring that each ||| y tailored to enhance business outcomes. Our focus is on practical, actionable AI solutions that drive business value, rather than exploratory or generative AI technologies. We have successfully built the platform and rolled out our initial models within our Healthcare division focused on enhancing rev ||| mer retention, and distribution efficiency. The unique advantage of our approach lies in the centralisation of this technology. By consolidating AI development into a single, cohesive platform, we eliminate the need for each business unit to develop its own systems or hire specialised data s ||| a culture of knowledge- sharing and continuous improvement. Moreover, by maintaining a standardised framework and methodology, we ensure that our AI initiatives are scalable and adaptable, capable of meeting the diverse needs of our global operations. This strategic approach allows us to crea",no,no,vague_general_ai_reference,DUPG-004,rejected,,
