staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
RIO-REJ-001,Rio Tinto,RIO,Rio Tinto 2025 Annual Report,RIO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.8,AI,B,1,"vers of metals demand remain robust (ie population growth, industrialisation and urbanisation in emerging markets), with new drivers emerging (eg AI data centres, robotics). Energy transition • Global electricity demand continues to grow. • Although timelines to net zero are slipping, renewable",no,no,vague_general_ai_reference,,rejected,,
RIO-REJ-002,Rio Tinto,RIO,Rio Tinto 2025 Annual Report,RIO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.40,AI,B,1,"einforcing the need for continued focus. We empower leaders to turn survey insights into meaningful conversations that drive progress. With advanced AI sentiment analysis, leaders gain a clearer view of employee feedback, uncover deeper insights and better understand what results mean for their te",no,no,vague_general_ai_reference,,rejected,,
RIO-REJ-003,Rio Tinto,RIO,Rio Tinto 2025 Annual Report,RIO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.54,AI,B,1,versity partners in Europe to recover critical minerals and remediate alkaline seepage from bauxite residue deposit areas. • We have been trialling AI-driven workflows and remotely operated platforms to help us track our progress and predict trajectories towards rehabilitation and closure completi,no,no,vague_general_ai_reference,,rejected,,
RIO-REJ-004,Rio Tinto,RIO,Rio Tinto 2025 Annual Report,RIO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.92,AI;generative AI,A;B,2,"lude regulatory uncertainty and implementation of AI systems, which could impact compliance obligations or result in loss of sensitive information. Generative AI is a fast-moving and evolving technology where vendors often prioritise feature release over security. As a result, increased use of AI also comes ||| e analytics. See principal risk 11, and our climate disclosures on page 53 for further details on our Climate Action Plan. Artificial intelligence (AI) and advancing technologies continue to unlock transformative opportunities for businesses, driving efficiency, data-driven insights, and accelerat",no,no,vague_general_ai_reference,DUPG-001,rejected,accept,"REVIEW: confirmed correctly rejected. Generic risk-factor/opportunity boilerplate from the Annual Report's principal-risks section -- no concrete Rio Tinto task, user group or deployment described. Not connected to RIO-OP-001 (different document, different context; no corroboration relationship)."
RIO-REJ-005,Rio Tinto,RIO,Rio Tinto 2025 Annual Report,RIO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.94,artificial intelligence,B,1,"nables us to achieve results at, or above, plan to grow shareholder value. Adopting advanced technologies, including autonomy, machine learning and artificial intelligence may also add benefits to how we manage operating performance, improve safety and unlock business value. This also allows us to deliver on our Peopl",no,no,vague_general_ai_reference,,rejected,,
RIO-REJ-006,Rio Tinto,RIO,Rio Tinto 2025 Annual Report,RIO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.100,artificial intelligence,B,3,"beyond the protection of our information, assets, and people. It supports our ability to rapidly adopt new technology solutions, which may include artificial intelligence, that have the potential to unlock value through improved efficiency, better insights and improved control. Our robust cyber security capability al ||| als, as well as enhance our customer value proposition. Threats Cyber threats are evolving and becoming more advanced, including through the use of artificial intelligence to bypass security controls. Cyber incidents can occur due to malicious external or internal attacks, either directly or through third-party busine ||| our attack surface and introduces new vulnerabilities, particularly as we adopt emerging, autonomous or disruptive technologies, which may include artificial intelligence, to automate and inform our decision-making and operating environment. Key exposures Our greatest exposures continue to be through our global ecosys",no,no,vague_general_ai_reference,DUPG-002,rejected,,
RIO-REJ-007,Rio Tinto,RIO,Rio Tinto 2025 Annual Report,RIO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.101,automation,B,2,"nd aligning our employee relations practices with our company values reinforces trust, stability and workforce resilience. We are also accelerating automation and advanced technologies to reduce reliance on scarce skills and enable safer, higher-value work. This supports productivity, role redesign, and f ||| skills and pathways through graduate, apprenticeship and local employment programs, alongside reskilling initiatives that prepare the workforce for automation and technology-enabled change. Strategic report | Our approach to risk management Annual Report 2025 99 riotinto.com",no,no,ordinary_automation,DUPG-003,rejected,,
RIO-REJ-008,Rio Tinto,RIO,Rio Tinto 2024 Annual Report,RIO_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.6,artificial intelligence,B,1,"h more global volatility, the underlying drivers of population growth, an expanding global middle class, the push for more localised manufacturing, artificial intelligence, and the energy transition continue to underpin demand for what we do. The world needs the copper, aluminium, iron ore, and minerals we provide; o",no,no,vague_general_ai_reference,,rejected,,
RIO-REJ-009,Rio Tinto,RIO,Rio Tinto 2024 Annual Report,RIO_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.13,artificial intelligence,B,1,"s. – In 2025, we will invest in new partnerships with Chinese suppliers to trial new construction methods, innovations and technologies – including artificial intelligence – to develop orebodies faster and reduce our capital intensity. – We will manage our pipeline of opportunities to deliver high- quality growth opti",no,no,vague_general_ai_reference,,rejected,,
RIO-REJ-010,Rio Tinto,RIO,Rio Tinto 2024 Annual Report,RIO_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.30,AI,B,1,"ows into copper amplified this rally, with copper demand seen as a major beneficiary of both the energy transition and data centre investment for AI. Prices subsequently retreated as supply outperformed expectations, US rate cuts continued to be delayed, and exchange inventory rose to a 4-year",no,no,vague_general_ai_reference,,rejected,,
RIO-REJ-011,Rio Tinto,RIO,Rio Tinto 2024 Annual Report,RIO_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.88,automation,B,1,isdictions where we operate. – We continued to enhance our Third- Party Risk Management (TPRM) framework. We piloted a new TPRM system to increase automation and improve risk management exposure from third parties. We expect the new system to launch across the Group in 2025. – We continued to invest i,no,no,ordinary_automation,,rejected,,
RIO-REJ-012,Rio Tinto,RIO,Rio Tinto 2024 Annual Report,RIO_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.92,AI,B,1,"cipal risks 2, 4 and 8 on pages 92, 93 and 95 and the Climate Action Plan on pages 41-75 for further details. Generative Artificial Intelligence (AI) and advancing technologies have the potential to unlock transformative opportunities for businesses through enhancing efficiency, and data-drive",no,no,vague_general_ai_reference,,rejected,,
RIO-REJ-013,Rio Tinto,RIO,Rio Tinto 2024 Annual Report,RIO_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.134,AI,B,1,"of core systems (Finance, HR, HSE) and studies around the renewal of the SAP Real Time Business Suite of tools, plus initial investments in digital/AI. – Delivered an effective 2025 planning process centred around the need to drive enhanced competitiveness. Impeccable ESG Maintain relentless focus o",no,no,vague_general_ai_reference,,rejected,,
RIO-REJ-014,Rio Tinto,RIO,Using Artificial Intelligence and data science for better operations,RIO_company_strategy_or_technology_webpage_using-artificial-intelligence-and-data-science-for-better-op_2024-07-25.html,,strategy_or_technology_webpage,company_primary,not_applicable,automation,B,1,ollows We’re advancing palm cockatoo research with technology trials at Weipa Automating Australia’s place in Space Meet the engineer using mining automation technology in Space for astronomical benefits on Earth © Rio Tinto 2026. All Rights Reserved. Finding better ways™ to provide the materials the wor,no,no,ordinary_automation,,rejected,,
