company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.7,artificial intelligence,B,"ng digital landscape in which we operate, and the evolving threats we face. The introduction of Athena will support our work, including the use of Artificial Intelligence and effective global collaboration, within a modern security model. As we look to FY26, the programme will focus on large-scale migration across",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.20,automation,B,"ich will give us a more agile, secure and efficient foundation from which to deliver our customer solutions, increasing standardisation and process automation, and improving business control. Increasing global market opportunity in defence and nuclear A combination of continued global insecurity, rising g",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.49,automation,B,"Craft under our Hurracan contract, with 24 vessels expected to be delivered over the next two years, and the contract extension of the Gun System Automation to enable continued support to the Type 45 destroyers including electro-optical controls, sensor platforms and other onboard systems. Babcock Inter",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.55,AI,B,"rgy Civil nuclear has a key role to play in tackling climate change, particularly given the growing demand for energy from new technologies such as AI and quantum computing. At the same time, governments are becoming increasingly concerned to onshore energy generation and ensure the security of t",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.91,AI,B,urope by teaming up with the Institution of Mechanical Engineers on its Uncrewed Aerial Systems (UAS) challenge and Formula Student as its official AI partner. Thousands of undergraduate engineering students from all over the world took part in the competitions. Supporting events like these meant,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.94,AI,B,"adapt to changing market conditions and offer specialised expertise in areas such as advanced materials, cyber security, unmanned aerial systems, AI and additive manufacturing. This collaboration fosters robust and prosperous relationships, ensuring high levels of customer service and reliability",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.100,AI,B,ddress the challenges faced by the cyber industry to source suitably qualified experts through investment and development of its own workforce. Our AI-driven risk resilience solution that provides real-time monitoring of our supply chain is continually developed to provide the most up-to-date and,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.103,AI,B,"etermine if circumstances change that require us to take additional actions. Our strategic Risk Resilience tool enables real-time monitoring through AI and machine-learning technology. It enables us to map our supply chain ecosystem, monitor activities, and proactively identify hidden risks in our",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.108,AI,B,"s articulated in the bottom-up risk register process. The Committee undertook a dedicated thought leadership session with an external specialist on AI ethics entitled “Why AI Ethics matter for effective risk oversight”, to reduce the likelihood of unintended consequences. The Committee also commi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.112,AI,B,"ion of budgets away from traditional large, complex platforms to smaller, uncrewed platforms and cyber. Speed of technology advancement including AI The speed of technology evolution across multiple domains, including AI, is unprecedented and this brings with it unprecedented levels of risk and o",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.112,artificial intelligence,B,"e tools to support emerging risk identification. Last year’s emerging risks were geopolitical tension, supply chain global sanctions circumvention, artificial intelligence, and personal security, all of which remain on the Groups risk radar; however, the following two risks are demanding particular focus. Emerging risk",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.118,AI,B,"ssed delivery schedules. Cybersecurity threats present notable risks to supply chains, as increasingly sophisticated attacks, such as ransomware and AI-powered cybercrime can disrupt operations and compromise sensitive data. Weak security protocols, reliance on sub-tier suppliers and outdated techn",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.123,artificial intelligence,B,"ucts and platforms. This includes understanding how best to safely exploit relevant emerging technologies such as machine learning, automation and artificial intelligence. 11. Resourcing, retention and skills Likelihood: Likely Impact: Moderate The Group operates in many specialised engineering and technical domains,",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.125,AI,B,"vels through independent technical assurance management systems, with a focus on Product Safety, Product Security, Product Quality and Responsible AI Use, and reporting across a range of technical performance metrics to enhance our understanding of the technical risk profile across our Company,",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_current_fy2025_2025-07.pdf,p.136,RAG,A,hroughout the year and across all levels of our key customers. • Order intake by sector • Safety balanced scorecard • Major operational programmes’ RAG status Investors • Reports from Investor Relations • Treasury reports • Investor meetings/roadshow • AGM The Board engaged directly with its investo,likely_genai,medium,"Stage A high-precision generative-AI term 'RAG' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Babcock International,BAB,,BAB_company_annual_report_previous_fy2024_2024-07.pdf,p.88,AI,B,"to our ability to deliver quality products and services. Rigorous due diligence ensures compliance and risk management, while our risk resilience AI-driven solution monitors our vast supply chain ecosystem. Through these efforts, Babcock builds a resilient and responsible supply chain. In the up",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_previous_fy2024_2024-07.pdf,p.89,AI,B,"t. You can read our Modern Slavery Transparency Statement here Additionally, our strategic Risk Resilience tool enables real-time monitoring though AI and machine learning technology, tracking and generating alerts for indicators such as compensation, employee satisfaction, diversity, workforce ri",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_previous_fy2024_2024-07.pdf,p.96,AI,B,"ceability; and collaborating with partners to maintain transparency and prevent illicit diversions. Artificial intelligence Artificial intelligence (AI) is a rapidly developing, emerging technology that provides significant improvements in decision-making. The application of AI offers significant be",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_previous_fy2024_2024-07.pdf,p.96,AI,B,"AI offers significant benefits to business operations, however there are several risks that need to be considered when assessing the application of AI: • The risk to the traceability, integrity and repeatability of business decisions and product/services performance through use of AI with an uncont",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_previous_fy2024_2024-07.pdf,p.96,AI,B,formance through use of AI with an uncontrolled data source or an unknown learning algorithm • The risk that data provided by Babcock as input to an AI engine will then become available to unknown users of the internet or who have access to the same AI database • The risk to Babcock’s future competi,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_previous_fy2024_2024-07.pdf,p.96,AI,B,the internet or who have access to the same AI database • The risk to Babcock’s future competitiveness as a result of not leveraging the benefits of AI There are various risk mitigation options that should be assessed for each potential application of AI including using specifically developed learni,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_previous_fy2024_2024-07.pdf,p.96,AI,B,"ation options that should be assessed for each potential application of AI including using specifically developed learning engines, implementing the AI on a limited access server accessing a controlled set of data and/or ensuring the final decision is made by a human with the output from AI being u",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Babcock International,BAB,,BAB_company_annual_report_previous_fy2024_2024-07.pdf,p.102,artificial intelligence,B,"ucts and platforms. This includes understanding how best to safely exploit relevant emerging technologies such as machine learning, automation and artificial intelligence. Likelihood: Very unlikely Impact: Severe Compliance with legislation or other regulatory requirements Our businesses are subject to the laws, regul",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
