staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
ENT-GOV-001,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.19,AI,B,1,"nued progress in embedding a strong ethical and compliance culture. We appointed a new Chief Technology and Information Officer and established an AI Governance Committee to ensure responsible use of artificial intelligence, alongside robust cybersecurity and data privacy oversight. 4 Create an",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Governance Committee, AI Governance Hub, SAFE AI principles)."
ENT-GOV-002,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.28,AI,B,1,ies (commercial) Key enablers (operational) Goal Organic Growth Grow presence and leadership in markets People and Culture Product and Technology AI Enablement Governance Deliver significant shareholder value Margin Expansion Drive expansion through scale and operational leverage Cash Gene,no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Governance Committee, AI Governance Hub, SAFE AI principles)."
ENT-GOV-003,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.30,AI,B,1,". Governance 167. Financial Statements Determination at Play 28 Entain plc Annual Report 2025 As consumer expectations shift towards conversational, AI-powered experiences, Sportingbet Brazil identified a huge opportunity to reimagine how customers discover betting opportunities – particularly for",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Governance Committee, AI Governance Hub, SAFE AI principles)."
ENT-GOV-004,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.30,AI,B,1,"In the Americas & Southern Europe (ASE) region, we’ve adopted a deliberate strategy of piloting responsible AI initiatives quickly, learning through real-world experimentation, and scaling successful solutions to other markets. SportingBOT exemplifies this",no,no,safeguards_and_responsible_use,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Governance Committee, AI Governance Hub, SAFE AI principles)."
ENT-GOV-005,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.45,AI,B,1,"g markets 4 Ensure ethics and integrity are at the core of our organisation and culture 4 Provide industry-leading cybersecurity, data privacy and AI governance 4 Maintain clear and robust governance processes for each of our material sustainability topics Sustainability & Compliance Committee",no,no,ai_governance_framework,DUPG-009,governance,accept," REVIEW: genuine AI-governance disclosure (AI Governance Committee, AI Governance Hub, SAFE AI principles)."
ENT-GOV-006,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.55,AI,B,1,"ogrammes, supported by on-site visits to further test the effectiveness of our procedures. Provide industry-leading cybersecurity, data privacy and AI governance 4 Strengthened the governance of AI across the Group through establishing an AI Governance Committee and AI Governance Hub, to ensure AI",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Governance Committee, AI Governance Hub, SAFE AI principles)."
ENT-GOV-007,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.58,AI,B,3,"detection systems in place between operators, integrity monitoring bodies and gambling regulators. Ensuring trustworthy artificial intelligence (“AI”) usage at Entain In 2025, we expanded our efforts to strengthen the governance of AI across the Group to ensure innovation is delivered responsibl ||| nded our efforts to strengthen the governance of AI across the Group to ensure innovation is delivered responsibly and securely. We established an AI Governance Committee to provide oversight of AI-related risks, maintain compliance, and guide the development and deployment of AI systems. To em ||| oversight of AI-related risks, maintain compliance, and guide the development and deployment of AI systems. To embed best practice, we launched an AI Governance Hub, serving as a central resource that offers guidance, standards, and training materials to build AI literacy among colleagues. Our",no,no,ai_governance_framework,DUPG-002,governance,accept," REVIEW: genuine AI-governance disclosure (AI Governance Committee, AI Governance Hub, SAFE AI principles)."
ENT-GOV-008,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.58,AI,B,2,"g as a central resource that offers guidance, standards, and training materials to build AI literacy among colleagues. Our AI Policy includes SAFE AI principles, namely Security, Awareness, Fairness, Education, Accountability, and Integrity, which set out a clear foundation for responsible AI u ||| , which set out a clear foundation for responsible AI use. These measures help us to strike the right balance: realising the benefits of utilising AI, mitigating risks associated with its use, and building trust with our customers and partners. Safeguarding our corporate and customer information",no,no,safeguards_and_responsible_use,DUPG-003,governance,accept," REVIEW: genuine AI-governance disclosure (AI Governance Committee, AI Governance Hub, SAFE AI principles)."
ENT-GOV-009,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.59,AI,B,2,"esenting 78.5% (2024: 81.5%)9 of our operations. These measures help us to reduce systemic risk and safeguard continuity in regulated markets. As AI adoption accelerates across Entain, cybersecurity has played a central role in shaping policy and enforcing safeguards through the AI Governance C ||| rity has played a central role in shaping policy and enforcing safeguards through the AI Governance Committee. At the same time, we are leveraging AI within cybersecurity to enhance threat detection and audit automation – scaling our defences while enabling innovation. Looking ahead, cybersecur",no,no,ai_governance_framework,DUPG-004,governance,accept," REVIEW: genuine AI-governance disclosure (AI Governance Committee, AI Governance Hub, SAFE AI principles)."
ENT-GOV-010,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.78,AI,B,1,"e engagements provided exposure to a wide range of teams and functions, including; product and technology transformation; platform modernisation; AI governance; retail operations; customer care, finance and; talent development programmes. Board members also participated in town halls and open",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Governance Committee, AI Governance Hub, SAFE AI principles)."
