company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Standard Chartered,STAN,,STAN_company_annual_report_current_fy2025_2026-02.pdf,p.7,AI,B,"• Third, and related to the first two factors, is the contest for strategic resources that underpin the adoption of AI and data-intensive technologies. This is driving unprecedented demand for data centres, reliable energy and critical minerals, further reshaping g",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Chartered,STAN,,STAN_company_annual_report_current_fy2025_2026-02.pdf,p.10,AI,B,"n serving our clients in the most productive way – through continuous transformation of our technology, adoption of advanced data skills (including AI), simplification of our processes, and disciplined expense management – has served us well. Initiatives such as Fit for Growth and other ongoing t",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Chartered,STAN,,STAN_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"rvices, trade and payments. • Address evolving client demand and drive client satisfaction with investments in digitisation, product innovation and AI capabilities. • Enhance our ability to serve sophisticated financial institutions in fast-growing client segments such as Sponsors and Fintech. •",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Chartered,STAN,,STAN_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"igital platforms, client centres, people and brand. • Deliver personalised and trusted advisory and differentiated solutions to clients, leveraging AI and digital tools to grow client engagement and wealth penetration. • Build a robust pipeline of future affluent clients as we continue to reshape",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Chartered,STAN,,STAN_company_annual_report_current_fy2025_2026-02.pdf,p.16,generative AI,A,"antidote to economic scarring concerns. Within emerging markets, countries in Asia are best placed to take advantage of digitalisation, including generative AI (GenAI). • Relatively younger populations, and the adoption of digital technology, will allow emerging markets to become increasingly important to",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Standard Chartered,STAN,,STAN_company_annual_report_current_fy2025_2026-02.pdf,p.16,AI,B,"ct the US to grow by 2.3 per cent in 2026, on the back of strong business investment and spending, supported by corporate tax cuts and the race for AI adoption. We expect euro area growth to be more muted at 1.1 per cent given trade pressures – from US tariffs, increasing competition from China a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Chartered,STAN,,STAN_company_annual_report_current_fy2025_2026-02.pdf,p.17,AI,B,"consumption, amid the prolonged housing-market correction. China’s total factor productivity gains should continue to fuel growth, aided by rapid AI adoption. The 15th Five Year Plan (FYP) continues to push for consumption-based and technology-driven growth, underlining China’s structural transi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Chartered,STAN,,STAN_company_annual_report_current_fy2025_2026-02.pdf,p.17,AI,B,"ed period of tariff-reprieve and the front-loading of exports to the US. However, normalisation of exports may be a growth drag in 2026. Meanwhile, AI-related activity may continue to support growth, either via manufacturing or investment. More domestically driven economies, including those of In",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Chartered,STAN,,STAN_company_annual_report_current_fy2025_2026-02.pdf,p.18,AI,B,".3% 2.0% US We expect a gradual acceleration of US growth in 2026, underpinned by strong investment growth amid corporate tax cuts and the race for AI build out. Despite softer employment growth, which partly reflects supply-side factors such as lower immigration, we expect high productivity growt",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Standard Chartered,STAN,,STAN_company_annual_report_current_fy2025_2026-02.pdf,p.18,AI,B,"will continue to benefit from rising South–South trade as global trade is re-routed in a more fragmented world. In parallel, policymakers’ focus on AI should add impetus to the US–GCC investment corridor. Europe Actual and projected growth by market in 2025 and 2026 2026 2025 1.2% 1.4% 2026 2025 1.",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
