staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_finding_type,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
IAG-STR-001,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.76,AI,B,1,"route network adaptation; political risk and government policy changes, including policy shift or greater protectionism, pace of transformation; AI adoption and the impact to workforce and future skill sets; managing the cost base; the Group’s industrial relations landscape and challenges in",no,no,technology_strategy,DUPG-013,strategic,accept," REVIEW: general AI risk-factor/opportunity-identification language (workforce impact, business-case development), no discrete task, product name or deployment stage -- correctly excluded from operational count. No explicit generative-AI/LLM/copilot language found anywhere in either annual report."
IAG-STR-002,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.85,AI,B,1,"er service and brand experience • Critical skill sets are not in place to execute on the required transformation plan or to exploit innovation and AI opportunities and drive the business forward • Technical licensed staff, including pilots and engineers, need to be secured to maintain operations",no,no,embedding_ai_into_operations,DUPG-014,strategic,accept," REVIEW: general AI risk-factor/opportunity-identification language (workforce impact, business-case development), no discrete task, product name or deployment stage -- correctly excluded from operational count. No explicit generative-AI/LLM/copilot language found anywhere in either annual report."
IAG-STR-003,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.88,agentic AI,A,1,"ty and availability of data are not sufficient and ready to exploit AI use cases • Lack of accuracy or insufficient human oversight of AI tools and agentic AI development and outputs within technical teams and by employees in the operating companies could result in errors, suboptimal business decisions o",no,no,embedding_ai_into_operations,,strategic,accept," REVIEW: general AI risk-factor/opportunity-identification language (workforce impact, business-case development), no discrete task, product name or deployment stage -- correctly excluded from operational count. No explicit generative-AI/LLM/copilot language found anywhere in either annual report."
IAG-STR-004,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.88,AI,B,1,"f resilience, to ensure that the Group is well prepared for any further external headwinds that may impact the aviation industry. Opportunities for AI adoption to drive efficiencies and better insights have been identified across the Group’s businesses with business cases and implementation subjec",no,no,technology_strategy,DUPG-015,strategic,accept," REVIEW: general AI risk-factor/opportunity-identification language (workforce impact, business-case development), no discrete task, product name or deployment stage -- correctly excluded from operational count. No explicit generative-AI/LLM/copilot language found anywhere in either annual report."
IAG-STR-005,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.89,agentic AI,A,1,"ess model; • Areas of risk or opportunity for the Group, such as workforce availability, migration, war for talent and critical skill sets, AI and agentic AI adoption, outcomes of mis- and dis-information, and workforce demographic changes; • Airframe and engine availability, performance and reliability",no,no,technology_strategy,,strategic,accept," REVIEW: general AI risk-factor/opportunity-identification language (workforce impact, business-case development), no discrete task, product name or deployment stage -- correctly excluded from operational count. No explicit generative-AI/LLM/copilot language found anywhere in either annual report."
IAG-STR-006,International Airlines Group,IAG,IAG Annual Report and Accounts 2024,IAG_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.77,AI,B,1,"route network adaptation; political risk and government changes, including potential policy change with new governments, pace of transformation; AI adoption and future skillset; managing the cost base; the Group’s industrial relations landscape and challenges in securing collective agreements",no,no,technology_strategy,DUPG-013,strategic,accept," REVIEW: general AI risk-factor/opportunity-identification language (workforce impact, business-case development), no discrete task, product name or deployment stage -- correctly excluded from operational count. No explicit generative-AI/LLM/copilot language found anywhere in either annual report."
IAG-STR-007,International Airlines Group,IAG,IAG Annual Report and Accounts 2024,IAG_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.86,AI,B,1,"r service and brand experience. • Critical skillsets are not in place to execute on the required transformation plan or to exploit innovation and AI opportunities and drive the business forward. • Technical licensed staff, including pilots and engineers, need to be secured to maintain operation",no,no,embedding_ai_into_operations,DUPG-014,strategic,accept," REVIEW: general AI risk-factor/opportunity-identification language (workforce impact, business-case development), no discrete task, product name or deployment stage -- correctly excluded from operational count. No explicit generative-AI/LLM/copilot language found anywhere in either annual report."
IAG-STR-008,International Airlines Group,IAG,IAG Annual Report and Accounts 2024,IAG_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.89,AI,B,1,"rands and our customers. • The levels of data capture, data storage and security and availability of data, are not sufficient and ready to exploit AI use cases. • Lack of accuracy or insufficient human oversight of AI tools and outputs could result in errors or suboptimal business decisions. • Th",no,no,embedding_ai_into_operations,,strategic,accept," REVIEW: general AI risk-factor/opportunity-identification language (workforce impact, business-case development), no discrete task, product name or deployment stage -- correctly excluded from operational count. No explicit generative-AI/LLM/copilot language found anywhere in either annual report."
IAG-STR-009,International Airlines Group,IAG,IAG Annual Report and Accounts 2024,IAG_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.89,AI,B,1,"f resilience, to ensure that the Group is well prepared for any further external headwinds that may impact the aviation industry. Opportunities for AI adoption to drive efficiencies and better insights have been identified across the Group’s businesses with business cases and implementation subjec",no,no,technology_strategy,DUPG-015,strategic,accept," REVIEW: general AI risk-factor/opportunity-identification language (workforce impact, business-case development), no discrete task, product name or deployment stage -- correctly excluded from operational count. No explicit generative-AI/LLM/copilot language found anywhere in either annual report."
IAG-STR-010,International Airlines Group,IAG,IAG Annual Report and Accounts 2024,IAG_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.90,AI,B,1,"aviation and the Group’s business model; • areas of risk or opportunity for the Group, such as workforce availability, migration, war for talent, AI adoption, outcomes of mis- and dis-information, and workforce demographic changes; • structural changes in how customers travel; • airframe and e",no,no,technology_strategy,,strategic,accept," REVIEW: general AI risk-factor/opportunity-identification language (workforce impact, business-case development), no discrete task, product name or deployment stage -- correctly excluded from operational count. No explicit generative-AI/LLM/copilot language found anywhere in either annual report."
