company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
BAE Systems,BA,,BA_company_annual_report_current_fy2025.pdf,p.9,AI,B,"As the future of defence and security evolves, and the impact of Artificial Intelligence (AI) increases, our product portfolio needs to be fit for the future. The evolution of defence strategy and the pace of product innovation mean that",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BAE Systems,BA,,BA_company_annual_report_current_fy2025.pdf,p.26,AI,B,"nabling systems to continue missions without maintaining constant communication, while also making communications more resistant to interference. AI also plays an integral role in both autonomy and electronic warfare advancements. We made significant progress in autonomy. For example, in our Ma",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BAE Systems,BA,,BA_company_annual_report_current_fy2025.pdf,p.26,AI,B,to respond. The latest INTeACT™ version provides a more collaborative way of working with third-party developers – we are exploring possible new AI-based enhancements with UK-based SMEs. 24 BAE Systems plc Annual Report 2025 Our investment in technology,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BAE Systems,BA,,BA_company_annual_report_current_fy2025.pdf,p.27,generative AI,A,"hem easier for our customers to deploy as an integral part of combat teams. This year, we demonstrated the use of Large Language Models (LLMs) and generative AI to operate drones. This delivers two key benefits. For the operators, this means that non-expert users can command the drones using natural langu",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
BAE Systems,BA,,BA_company_annual_report_current_fy2025.pdf,p.27,generative AI,A,"y reduces training and operator workload. For the drone, it increases flexibility, as the drone can understand the intent of the operator and use generative AI to reconfigure itself to perform unexpected tasks like search and rescue or identifying specific enemy activities. Throughout these activities, th",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
BAE Systems,BA,,BA_company_annual_report_current_fy2025.pdf,p.29,AI,B,"s, offering greater product endurance or even speed. In collaboration with Strathclyde University and the University of Southampton, we harnessed AI-assisted design tools to develop more efficient naval hulls. Testing physical models of these cutting-edge hull forms suggested that a 130m-length",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BAE Systems,BA,,BA_company_annual_report_current_fy2025.pdf,p.49,AI,B,"iness focused on delivering synthetic environments to transform modern battlespace simulation. – We are using OneArc’s VBS4 platform to develop an AI-enabled embedded training capability for the Bradley Fighting Vehicle that integrates virtual and real-world systems to improve readiness, reduce",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BAE Systems,BA,,BA_company_annual_report_current_fy2025.pdf,p.49,AI,B,"ness maintains a pipeline of qualified business opportunities aligned to current US Government priorities. – We seek to accelerate growth by using AI, automation and autonomy to modernise offerings in digital labour, counter-UAS and UAS, decision advantage and platform digitisation. – In our UK",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BAE Systems,BA,,BA_company_annual_report_current_fy2025.pdf,p.53,AI,B,"ale its digital skills provision, engaging over 8,000 employees. We prioritised the introduction of learning packages focused on cyber awareness, AI and digital effectiveness, as well as a variety of digital specialist technical training. Since 2020 in the UK, we have spent over £1bn on educat",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
BAE Systems,BA,,BA_company_annual_report_current_fy2025.pdf,p.56,artificial intelligence,B,"the US to support its Pathways Program, which is designed for high school students to explore web development, cyber security, data science and an artificial intelligence curriculum. Creating opportunity To help more young people into work in the UK, we helped found Movement to Work in 2014. Working in partnership w",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
