company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.3,AI,B,l needs. – We build and maintain deep partnerships with our customers. – We support an open ecosystem. – We offer integrated solutions including AI functionality. – We operate an AI-enabled data machine and distribution. For more detail on our strategy – refer to pages 11 to 13. For more detai,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.5,AI,B,"hrough our partnership approach, we operate and grow critical platforms that are developed in partnership with the industry. – Our LSEG Everywhere AI strategy is a natural extension of our open model, delivering our data in an easy-to-access way to where our customers are working. High-quality an",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.7,AI,B,"mies and enabling sustainable growth. From supporting our customers through the volatility of early April, helping them navigate the new world of AI with our trusted data, or sharing our insights with governments and regulators, we played a key role in keeping the markets moving in 2025. We have",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.7,AI,B,"025. We have aligned LSEG to a number of very strong and long-term industry trends. The growing demand for data in decision- making is not new, but AI is driving that demand to new heights. Electronification and digitalisation of trading also continue at pace, and through Tradeweb and our digital",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.7,AI,B,"d view of private markets that others cannot match. Our Analytics business continued to grow, supported by strong sales of our Analytics API with AI enablement and natural language functionality. Strategic partnerships with Snowflake and Databricks have expanded the distribution channels to mak",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.8,Copilot,A,"abricks, OpenAI, Snowflake and others. We also announced the next step in our strategic partnership with Microsoft, with agents built in Microsoft Copilot Studio, and deployed in Microsoft 365 Copilot, enabled with LSEG data. Intelligent Enterprise: we are deploying AI across our own business and ope",likely_genai,medium,"Stage A high-precision generative-AI term 'Copilot' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.8,AI,B,"the assets we have built and brought together under one roof, and our proven track record of delivering real value through long-term partnership. AI strategy Artificial intelligence is transforming financial markets. With our unmatched data, infrastructure and partnerships, LSEG is at the foref",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.8,AI,B,"forming financial markets. With our unmatched data, infrastructure and partnerships, LSEG is at the forefront of this change. Our LSEG Everywhere AI strategy encompasses three key pillars: Trusted Data, Transformative Products, and Intelligent Enterprise. Trusted Data: customer demand for data",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.8,AI,B,"added to, ensuring our customers always work with the most current and most precise information available. Transformative Products: we are applying AI to the products we build for our customers to reimagine how financial services professionals work – with speed, simplicity and insight. The intro",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.8,AI,B,"sight. The introduction of the Model Context Protocol (MCP) is creating a new era of data-driven innovation. It gives us the ability to have LSEG AI-ready data safely presented alongside large language models (LLMs) and we have announced partnerships with Anthropic, Databricks, OpenAI, Snowflak",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.8,AI,B,"nnovate faster and serve our customers better. For example, in our data operations, we are extracting content nine times faster where we are using AI; and in customer operations, we have reduced the mean time to resolve customer queries by 40%. Growth outlook LSEG has changed beyond all recogniti",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.10,Claude,A,"nities. Leveraging Model Context Protocol to allow governed access to our data, we have partnered with a number of providers, including Anthropic (Claude), OpenAI, Rogo, Snowflake and Databricks to serve our customers wherever they choose to work. A key differentiator is the freshness and scale of",likely_genai,medium,"Stage A high-precision generative-AI term 'Claude' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.10,AI,B,"that are shaping financial markets and the global economy. Demand for data and its integration into workflows Rise of new technologies including AI Electronification of financial markets and digitalisation of trading Regulation, risk management and capital optimisation Increased macroeconomi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.10,AI,B,"h as private markets. Customers also increasingly expect end-to-end experiences, and to be met in their preferred channels and commercial models. AI is amplifying demand for reliable, auditable and proprietary data, particularly as firms seek to power advanced analytics and algorithmic strategi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.10,AI,B,"amplifying demand for reliable, auditable and proprietary data, particularly as firms seek to power advanced analytics and algorithmic strategies. AI is also creating new opportunities for innovation and raising client expectations for functionality and personalisation, including tools that can",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.10,AI,B,"and personalisation, including tools that can deliver advanced insights and more intuitive user experiences. Advances in technology, particularly AI, are also driving opportunities for significant operational efficiencies through process automation. Electronification of financial markets contin",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.10,AI,B,"nitiatives such as custom index creation in FTSE Russell, allow us to deliver flexible, integrated solutions. We are executing our LSEG Everywhere AI strategy built on trusted data and our open approach to unlock new opportunities. Leveraging Model Context Protocol to allow governed access to ou",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.11,Claude,A,"nities. Leveraging Model Context Protocol to allow governed access to our data, we have partnered with a number of providers, including Anthropic (Claude), OpenAI, Rogo, Snowflake and Databricks to serve our customers wherever they choose to work. A key differentiator is the freshness and scale of",likely_genai,medium,"Stage A high-precision generative-AI term 'Claude' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"Market trends and our response continued Demand for data and its integration into workflows Rise of new technologies including AI Electronification of financial markets and digitalisation of trading Regulation, risk management and capital optimisation Increased macroeconomi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"h as private markets. Customers also increasingly expect end-to-end experiences, and to be met in their preferred channels and commercial models. AI is amplifying demand for reliable, auditable and proprietary data, particularly as firms seek to power advanced analytics and algorithmic strategi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"amplifying demand for reliable, auditable and proprietary data, particularly as firms seek to power advanced analytics and algorithmic strategies. AI is also creating new opportunities for innovation and raising client expectations for functionality and personalisation, including tools that can",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"and personalisation, including tools that can deliver advanced insights and more intuitive user experiences. Advances in technology, particularly AI, are also driving opportunities for significant operational efficiencies through process automation. Electronification of financial markets contin",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"nitiatives such as custom index creation in FTSE Russell, allow us to deliver flexible, integrated solutions. We are executing our LSEG Everywhere AI strategy built on trusted data and our open approach to unlock new opportunities. Leveraging Model Context Protocol to allow governed access to ou",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.13,LLM,A,"distribution Purpose and strategy continued Trusted Data We curate trusted, high-quality data to scale AI in financial services through our open, LLM-agnostic partnership approach. Transformative Products We are reimagining how financial services professionals work, with AI-enabled products tha",likely_genai,medium,"Stage A high-precision generative-AI term 'LLM' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.13,AI,B,"AI Strategy – LSEG Everywhere Artificial intelligence is transforming financial markets. With our unmatched data, infrastructure and partnerships, we a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
London Stock Exchange Group,LSEG,,LSEG_company_annual_report_current_fy2025_2026-02.pdf,p.13,AI,B,"ta value chain. Global, multi-asset class FMI and data provider across the trade lifecycle Open ecosystem Integrated solutions, including AI functionality Trusted to deliver services meeting business- critical needs Deep partnership with our customers AI-enabled data machine and di",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
